bin_low_MeV,bin_high_MeV,sigma_bin_mb,eta
0.0,5.0,24787051.757253665,0.017857142857142856
5.0,10.0,24787051.757253665,0.017857142857142856
10.0,15.0,24787051.757253665,0.017857142857142856
15.0,20.0,24787051.757253665,0.017857142857142856
20.0,25.0,24787051.757253665,0.017857142857142856
25.0,30.0,24787051.757253665,0.017857142857142856
30.0,35.0,24787051.757253665,0.017857142857142856
35.0,40.0,24787051.757253665,0.017857142857142856
40.0,45.0,24787051.757253665,0.017857142857142856
45.0,50.0,24787051.757253665,0.017857142857142856
50.0,55.0,24787051.757253665,0.017857142857142856
55.0,60.0,24787051.757253665,0.017857142857142856
60.0,65.0,24787051.757253665,0.017857142857142856
65.0,70.0,24787051.757253665,0.017857142857142856
70.0,75.0,24787051.757253665,0.017857142857142856
75.0,80.0,24787051.757253665,0.017857142857142856
80.0,85.0,24787051.757253665,0.017857142857142856
85.0,90.0,24787051.757253665,0.017857142857142856
90.0,95.0,24787051.757253665,0.017857142857142856
95.0,100.0,24787051.757253665,0.017857142857142856
100.0,105.0,24787051.757253665,0.017857142857142856
105.0,110.0,24787051.757253665,0.017857142857142856
110.0,115.0,24787051.757253665,0.017857142857142856
115.0,120.0,24787051.757253665,0.017857142857142856
120.0,125.0,24787051.757253665,0.017857142857142856
125.0,130.0,24787051.757253665,0.017857142857142856
130.0,135.0,24787051.757253665,0.017857142857142856
135.0,140.0,24787051.757253665,0.017857142857142856
140.0,145.0,24787051.757253665,0.017857142857142856
145.0,150.0,24787051.757253665,0.017857142857142856
150.0,155.0,24787051.757253665,0.017857142857142856
155.0,160.0,24787051.757253665,0.017857142857142856
160.0,165.0,24787051.757253665,0.017857142857142856
165.0,170.0,24787051.757253665,0.017857142857142856
170.0,175.0,24787051.757253665,0.017857142857142856
175.0,180.0,24787051.757253665,0.017857142857142856
180.0,185.0,24787051.757253665,0.017857142857142856
185.0,190.0,24787051.757253665,0.017857142857142856
190.0,195.0,24787051.757253665,0.017857142857142856
195.0,200.0,24787051.757253665,0.017857142857142856
200.0,205.0,24787051.757253665,0.017857142857142856
205.0,210.0,24787051.757253665,0.017857142857142856
210.0,215.0,24787051.757253665,0.017857142857142856
215.0,220.0,24787051.757253665,0.017857142857142856
220.0,225.0,24787051.757253665,0.017857142857142856
225.0,230.0,24787051.757253665,0.017857142857142856
230.0,235.0,24787051.757253665,0.017857142857142856
235.0,240.0,24787051.757253665,0.017857142857142856
240.0,245.0,24787051.757253665,0.017857142857142856
245.0,250.0,24787051.757253665,0.017857142857142856
250.0,255.0,24787051.757253665,0.017857142857142856
255.0,260.0,24787051.757253665,0.017857142857142856
260.0,265.0,24787051.757253665,0.017857142857142856
265.0,270.0,24787051.757253665,0.017857142857142856
270.0,275.0,24787051.757253665,0.017857142857142856
275.0,280.0,24787051.757253665,0.017857142857142856
280.0,285.0,0.0,0.0
285.0,290.0,0.0,0.0
290.0,295.0,0.0,0.0
295.0,300.0,0.0,0.0
300.0,305.0,0.0,0.0
305.0,310.0,0.0,0.0
310.0,315.0,0.0,0.0
315.0,320.0,0.0,0.0
320.0,325.0,0.0,0.0
325.0,330.0,0.0,0.0
330.0,335.0,0.0,0.0
335.0,340.0,0.0,0.0
340.0,345.0,0.0,0.0
345.0,350.0,0.0,0.0
350.0,355.0,0.0,0.0
355.0,360.0,0.0,0.0
360.0,365.0,0.0,0.0
365.0,370.0,0.0,0.0
370.0,375.0,0.0,0.0
375.0,380.0,0.0,0.0
380.0,385.0,0.0,0.0
385.0,390.0,0.0,0.0
390.0,395.0,0.0,0.0
395.0,400.0,0.0,0.0
