E_lab_MeV,sigma_tot_mb
5.0,2672712254153.871
10.0,668178064022.3079
15.0,296967497324.665
20.0,167044516669.0737
25.0,106910404713.80745
30.0,74243071052.87105
35.0,54546027572.12328
40.0,41760890481.207214
45.0,32996495504.04227
50.0,26727123152.713642
55.0,22088246893.229992
60.0,18560289628.38658
65.0,15814568608.072664
70.0,13636267886.372364
75.0,11878508854.763765
80.0,10440342370.799965
85.0,9248089914.096245
90.0,8249123969.500779
95.0,7403734684.544547
100.0,6681780846.018814
105.0,6060297720.259161
110.0,5522061756.492808
115.0,5052241563.844901
120.0,4640072423.396524
125.0,4276272754.955965
130.0,3953666079.050051
135.0,3666224152.6341715
140.0,3409019126.995403
145.0,3177984330.1405654
150.0,2969627208.6989617
155.0,2781125013.9607496
160.0,2610037743.0485554
165.0,2454260295.2041354
170.0,2311974628.942179
175.0,2181745448.2686734
180.0,2062233143.6677754
185.0,1952289478.5958498
190.0,1850861902.5927587
195.0,1757184924.4935515
200.0,1670397366.7566392
205.0,1589925110.9440677
210.0,1515098352.430026
215.0,1445438659.1791549
220.0,1380515442.4177186
225.0,1319850270.179366
230.0,1263060396.7493806
235.0,1209906606.4275055
240.0,1160006153.5073035
245.0,1113119822.0065124
250.0,1069056239.1355873
255.0,1027528345.729063
260.0,988392612.1507081
265.0,951457665.7140751
270.0,916532133.5958498
275.0,883520329.4056653
280.0,852230880.369278
285.0,822615943.2540873
290.0,794484145.290053
295.0,767787643.3946362
300.0,742382907.9171124
305.0,718269938.8574674
310.0,695257363.4504323
315.0,673345181.6975473
320.0,652485550.4101261
325.0,632582783.1689159
330.0,613541193.6666219
335.0,595360781.8715627
340.0,577993704.5952039
345.0,561344275.4576691
350.0,545412494.4624959
355.0,530150518.3914542
360.0,515558347.2512288
365.0,501492451.55654967
370.0,488048517.6388115
375.0,475111721.83986604
380.0,462691632.8020685
385.0,450749975.97522116
390.0,439262829.7668158
395.0,428211056.9030998
400.0,417570735.759918
