input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_p_2n_3p_10.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,10.0,-28.29561059421679,668178064022.3079,n;p
4He_p_2n_3p_100.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,100.0,-28.29561059421679,6681780846.018814,n;p
4He_p_2n_3p_105.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,105.0,-28.29561059421679,6060297720.259161,n;p
4He_p_2n_3p_110.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,110.0,-28.29561059421679,5522061756.492808,n;p
4He_p_2n_3p_115.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,115.0,-28.29561059421679,5052241563.844901,n;p
4He_p_2n_3p_120.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,120.0,-28.29561059421679,4640072423.396524,n;p
4He_p_2n_3p_125.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,125.0,-28.29561059421679,4276272754.955965,n;p
4He_p_2n_3p_130.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,130.0,-28.29561059421679,3953666079.050051,n;p
4He_p_2n_3p_135.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,135.0,-28.29561059421679,3666224152.6341715,n;p
4He_p_2n_3p_140.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,140.0,-28.29561059421679,3409019126.995403,n;p
4He_p_2n_3p_145.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,145.0,-28.29561059421679,3177984330.1405654,n;p
4He_p_2n_3p_15.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,15.0,-28.29561059421679,296967497324.665,n;p
4He_p_2n_3p_150.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,150.0,-28.29561059421679,2969627208.6989617,n;p
4He_p_2n_3p_155.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,155.0,-28.29561059421679,2781125013.9607496,n;p
4He_p_2n_3p_160.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,160.0,-28.29561059421679,2610037743.0485554,n;p
4He_p_2n_3p_165.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,165.0,-28.29561059421679,2454260295.2041354,n;p
4He_p_2n_3p_170.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,170.0,-28.29561059421679,2311974628.942179,n;p
4He_p_2n_3p_175.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,175.0,-28.29561059421679,2181745448.2686734,n;p
4He_p_2n_3p_180.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,180.0,-28.29561059421679,2062233143.6677754,n;p
4He_p_2n_3p_185.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,185.0,-28.29561059421679,1952289478.5958498,n;p
4He_p_2n_3p_190.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,190.0,-28.29561059421679,1850861902.5927587,n;p
4He_p_2n_3p_195.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,195.0,-28.29561059421679,1757184924.4935515,n;p
4He_p_2n_3p_20.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,20.0,-28.29561059421679,167044516669.0737,n;p
4He_p_2n_3p_200.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,200.0,-28.29561059421679,1670397366.7566392,n;p
4He_p_2n_3p_205.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,205.0,-28.29561059421679,1589925110.9440677,n;p
4He_p_2n_3p_210.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,210.0,-28.29561059421679,1515098352.430026,n;p
4He_p_2n_3p_215.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,215.0,-28.29561059421679,1445438659.1791549,n;p
4He_p_2n_3p_220.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,220.0,-28.29561059421679,1380515442.4177186,n;p
4He_p_2n_3p_225.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,225.0,-28.29561059421679,1319850270.179366,n;p
4He_p_2n_3p_230.0MeV.out,he4_p_2n_3p,multi_body,multibody_flat,230.0,-28.29561059421679,1263060396.7493806,n;p
