bin_low_MeV,bin_high_MeV,sigma_bin_mb,eta
0.0,5.0,21305772.00923195,0.025
5.0,10.0,21305772.00923195,0.025
10.0,15.0,21305772.00923195,0.025
15.0,20.0,21305772.00923195,0.025
20.0,25.0,21305772.00923195,0.025
25.0,30.0,21305772.00923195,0.025
30.0,35.0,21305772.00923195,0.025
35.0,40.0,21305772.00923195,0.025
40.0,45.0,21305772.00923195,0.025
45.0,50.0,21305772.00923195,0.025
50.0,55.0,21305772.00923195,0.025
55.0,60.0,21305772.00923195,0.025
60.0,65.0,21305772.00923195,0.025
65.0,70.0,21305772.00923195,0.025
70.0,75.0,21305772.00923195,0.025
75.0,80.0,21305772.00923195,0.025
80.0,85.0,21305772.00923195,0.025
85.0,90.0,21305772.00923195,0.025
90.0,95.0,21305772.00923195,0.025
95.0,100.0,21305772.00923195,0.025
100.0,105.0,21305772.00923195,0.025
105.0,110.0,21305772.00923195,0.025
110.0,115.0,21305772.00923195,0.025
115.0,120.0,21305772.00923195,0.025
120.0,125.0,21305772.00923195,0.025
125.0,130.0,21305772.00923195,0.025
130.0,135.0,21305772.00923195,0.025
135.0,140.0,21305772.00923195,0.025
140.0,145.0,21305772.00923195,0.025
145.0,150.0,21305772.00923195,0.025
150.0,155.0,21305772.00923195,0.025
155.0,160.0,21305772.00923195,0.025
160.0,165.0,21305772.00923195,0.025
165.0,170.0,21305772.00923195,0.025
170.0,175.0,21305772.00923195,0.025
175.0,180.0,21305772.00923195,0.025
180.0,185.0,21305772.00923195,0.025
185.0,190.0,21305772.00923195,0.025
190.0,195.0,21305772.00923195,0.025
195.0,200.0,21305772.00923195,0.025
200.0,205.0,0.0,0.0
205.0,210.0,0.0,0.0
210.0,215.0,0.0,0.0
215.0,220.0,0.0,0.0
220.0,225.0,0.0,0.0
225.0,230.0,0.0,0.0
230.0,235.0,0.0,0.0
235.0,240.0,0.0,0.0
240.0,245.0,0.0,0.0
245.0,250.0,0.0,0.0
250.0,255.0,0.0,0.0
255.0,260.0,0.0,0.0
260.0,265.0,0.0,0.0
265.0,270.0,0.0,0.0
270.0,275.0,0.0,0.0
275.0,280.0,0.0,0.0
280.0,285.0,0.0,0.0
285.0,290.0,0.0,0.0
290.0,295.0,0.0,0.0
295.0,300.0,0.0,0.0
300.0,305.0,0.0,0.0
305.0,310.0,0.0,0.0
310.0,315.0,0.0,0.0
315.0,320.0,0.0,0.0
320.0,325.0,0.0,0.0
325.0,330.0,0.0,0.0
330.0,335.0,0.0,0.0
335.0,340.0,0.0,0.0
340.0,345.0,0.0,0.0
345.0,350.0,0.0,0.0
350.0,355.0,0.0,0.0
355.0,360.0,0.0,0.0
360.0,365.0,0.0,0.0
365.0,370.0,0.0,0.0
370.0,375.0,0.0,0.0
375.0,380.0,0.0,0.0
380.0,385.0,0.0,0.0
385.0,390.0,0.0,0.0
390.0,395.0,0.0,0.0
395.0,400.0,0.0,0.0
