bin_low_MeV,bin_high_MeV,sigma_bin_mb,eta
0.0,5.0,20005679.939300157,0.018867924528301886
5.0,10.0,20005679.939300157,0.018867924528301886
10.0,15.0,20005679.939300157,0.018867924528301886
15.0,20.0,20005679.939300157,0.018867924528301886
20.0,25.0,20005679.939300157,0.018867924528301886
25.0,30.0,20005679.939300157,0.018867924528301886
30.0,35.0,20005679.939300157,0.018867924528301886
35.0,40.0,20005679.939300157,0.018867924528301886
40.0,45.0,20005679.939300157,0.018867924528301886
45.0,50.0,20005679.939300157,0.018867924528301886
50.0,55.0,20005679.939300157,0.018867924528301886
55.0,60.0,20005679.939300157,0.018867924528301886
60.0,65.0,20005679.939300157,0.018867924528301886
65.0,70.0,20005679.939300157,0.018867924528301886
70.0,75.0,20005679.939300157,0.018867924528301886
75.0,80.0,20005679.939300157,0.018867924528301886
80.0,85.0,20005679.939300157,0.018867924528301886
85.0,90.0,20005679.939300157,0.018867924528301886
90.0,95.0,20005679.939300157,0.018867924528301886
95.0,100.0,20005679.939300157,0.018867924528301886
100.0,105.0,20005679.939300157,0.018867924528301886
105.0,110.0,20005679.939300157,0.018867924528301886
110.0,115.0,20005679.939300157,0.018867924528301886
115.0,120.0,20005679.939300157,0.018867924528301886
120.0,125.0,20005679.939300157,0.018867924528301886
125.0,130.0,20005679.939300157,0.018867924528301886
130.0,135.0,20005679.939300157,0.018867924528301886
135.0,140.0,20005679.939300157,0.018867924528301886
140.0,145.0,20005679.939300157,0.018867924528301886
145.0,150.0,20005679.939300157,0.018867924528301886
150.0,155.0,20005679.939300157,0.018867924528301886
155.0,160.0,20005679.939300157,0.018867924528301886
160.0,165.0,20005679.939300157,0.018867924528301886
165.0,170.0,20005679.939300157,0.018867924528301886
170.0,175.0,20005679.939300157,0.018867924528301886
175.0,180.0,20005679.939300157,0.018867924528301886
180.0,185.0,20005679.939300157,0.018867924528301886
185.0,190.0,20005679.939300157,0.018867924528301886
190.0,195.0,20005679.939300157,0.018867924528301886
195.0,200.0,20005679.939300157,0.018867924528301886
200.0,205.0,20005679.939300157,0.018867924528301886
205.0,210.0,20005679.939300157,0.018867924528301886
210.0,215.0,20005679.939300157,0.018867924528301886
215.0,220.0,20005679.939300157,0.018867924528301886
220.0,225.0,20005679.939300157,0.018867924528301886
225.0,230.0,20005679.939300157,0.018867924528301886
230.0,235.0,20005679.939300157,0.018867924528301886
235.0,240.0,20005679.939300157,0.018867924528301886
240.0,245.0,20005679.939300157,0.018867924528301886
245.0,250.0,20005679.939300157,0.018867924528301886
250.0,255.0,20005679.939300157,0.018867924528301886
255.0,260.0,20005679.939300157,0.018867924528301886
260.0,265.0,20005679.939300157,0.018867924528301886
265.0,270.0,0.0,0.0
270.0,275.0,0.0,0.0
275.0,280.0,0.0,0.0
280.0,285.0,0.0,0.0
285.0,290.0,0.0,0.0
290.0,295.0,0.0,0.0
295.0,300.0,0.0,0.0
300.0,305.0,0.0,0.0
305.0,310.0,0.0,0.0
310.0,315.0,0.0,0.0
315.0,320.0,0.0,0.0
320.0,325.0,0.0,0.0
325.0,330.0,0.0,0.0
330.0,335.0,0.0,0.0
335.0,340.0,0.0,0.0
340.0,345.0,0.0,0.0
345.0,350.0,0.0,0.0
350.0,355.0,0.0,0.0
355.0,360.0,0.0,0.0
360.0,365.0,0.0,0.0
365.0,370.0,0.0,0.0
370.0,375.0,0.0,0.0
375.0,380.0,0.0,0.0
380.0,385.0,0.0,0.0
385.0,390.0,0.0,0.0
390.0,395.0,0.0,0.0
395.0,400.0,0.0,0.0
