input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_p_2p_3H_10.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,10.0,-19.813814502830216,668178064022.3079,p;t
4He_p_2p_3H_100.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,100.0,-19.813814502830216,6681780846.018814,p;t
4He_p_2p_3H_105.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,105.0,-19.813814502830216,6060297720.259161,p;t
4He_p_2p_3H_110.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,110.0,-19.813814502830216,5522061756.492808,p;t
4He_p_2p_3H_115.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,115.0,-19.813814502830216,5052241563.844901,p;t
4He_p_2p_3H_120.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,120.0,-19.813814502830216,4640072423.396524,p;t
4He_p_2p_3H_125.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,125.0,-19.813814502830216,4276272754.955965,p;t
4He_p_2p_3H_130.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,130.0,-19.813814502830216,3953666079.050051,p;t
4He_p_2p_3H_135.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,135.0,-19.813814502830216,3666224152.6341715,p;t
4He_p_2p_3H_140.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,140.0,-19.813814502830216,3409019126.995403,p;t
4He_p_2p_3H_145.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,145.0,-19.813814502830216,3177984330.1405654,p;t
4He_p_2p_3H_15.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,15.0,-19.813814502830216,296967497324.665,p;t
4He_p_2p_3H_150.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,150.0,-19.813814502830216,2969627208.6989617,p;t
4He_p_2p_3H_155.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,155.0,-19.813814502830216,2781125013.9607496,p;t
4He_p_2p_3H_160.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,160.0,-19.813814502830216,2610037743.0485554,p;t
4He_p_2p_3H_165.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,165.0,-19.813814502830216,2454260295.2041354,p;t
4He_p_2p_3H_170.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,170.0,-19.813814502830216,2311974628.942179,p;t
4He_p_2p_3H_175.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,175.0,-19.813814502830216,2181745448.2686734,p;t
4He_p_2p_3H_180.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,180.0,-19.813814502830216,2062233143.6677754,p;t
4He_p_2p_3H_185.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,185.0,-19.813814502830216,1952289478.5958498,p;t
4He_p_2p_3H_190.0MeV.out,he4_p_2p_t,multi_body,multibody_flat,190.0,-19.813814502830216,1850861902.5927587,p;t
