theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,1140000000000.0,0.99993
1.0,6280.384064,0.55084
2.0,613.585274,0.86093
3.0,861.281706,6.1164
4.0,947.865578,21.266
5.0,910.872746,49.871
6.0,814.163383,92.381
7.0,692.539712,145.48
8.0,566.041609,202.7
9.0,446.608449,255.96
10.0,340.963014,297.55
11.0,252.168457,321.85
12.0,180.724442,326.31
13.0,125.457172,311.6
14.0,84.249398,281.07
15.0,54.603083,239.71
16.0,34.031283,193.1
17.0,20.294557,146.51
18.0,11.512743,104.28
19.0,6.189218,69.462
20.0,3.182651,43.767
21.0,1.653875,27.587
22.0,1.006623,20.181
23.0,0.832692,19.897
24.0,0.865981,24.474
25.0,0.945859,31.394
26.0,0.988267,38.274
27.0,0.962454,43.231
28.0,0.8717,45.159
29.0,0.737287,43.824
30.0,0.58586,39.76
31.0,0.440661,33.992
32.0,0.316892,27.665
33.0,0.220832,21.732
34.0,0.151643,16.758
35.0,0.104393,12.91
36.0,0.072971,10.064
37.0,0.052033,7.9774
38.0,0.037787,6.4207
39.0,0.027906,5.2402
40.0,0.021062,4.3589
41.0,0.016464,3.7456
42.0,0.013573,3.3859
43.0,0.011968,3.2658
44.0,0.011277,3.3586
45.0,0.011117,3.6058
46.0,0.011067,3.9013
47.0,0.010711,4.0954
48.0,0.009751,4.0363
49.0,0.00813,3.6366
50.0,0.006071,2.9292
51.0,0.00399,2.0731
52.0,0.002311,1.2909
53.0,0.001279,0.76687
54.0,0.000872,0.55997
55.0,0.000851,0.5854
56.0,0.000919,0.67549
57.0,0.00087,0.68228
58.0,0.000667,0.55735
59.0,0.000406,0.36079
60.0,0.000211,0.19974
61.0,0.000144,0.14411
62.0,0.000169,0.17997
63.0,0.000205,0.23123
64.0,0.000192,0.2286
65.0,0.000135,0.17041
66.0,9.489e-05,0.12628
67.0,0.000128,0.17929
68.0,0.000237,0.35049
69.0,0.000364,0.56589
70.0,0.000425,0.69648
71.0,0.000376,0.64736
72.0,0.000239,0.43214
73.0,9.2534e-05,0.1752
74.0,1.718e-05,0.034083
75.0,4.4754e-05,0.092958
76.0,0.000139,0.30227
77.0,0.000225,0.51014
78.0,0.000239,0.56661
79.0,0.000173,0.4288
80.0,7.4222e-05,0.19164
81.0,7.6863e-06,0.020681
82.0,1.1916e-05,0.033387
83.0,7.3343e-05,0.21384
84.0,0.00014,0.42362
85.0,0.00016,0.50283
86.0,0.000119,0.38916
87.0,4.9341e-05,0.16754
88.0,3.3069e-06,0.011646
89.0,1.5542e-05,0.056731
90.0,7.8213e-05,0.29573
91.0,0.000147,0.57634
92.0,0.000174,0.70562
93.0,0.000141,0.58943
94.0,7.0635e-05,0.30563
95.0,1.2269e-05,0.05483
96.0,4.2496e-06,0.019603
97.0,4.8709e-05,0.2318
98.0,0.000111,0.54489
99.0,0.000145,0.7353
100.0,0.000127,0.66322
101.0,7.04e-05,0.37746
102.0,1.5572e-05,0.085908
103.0,1.5108e-06,0.0085716
104.0,3.7131e-05,0.21654
105.0,9.5858e-05,0.57433
106.0,0.000135,0.83147
107.0,0.000127,0.80163
108.0,7.742e-05,0.5016
109.0,2.2075e-05,0.14666
110.0,9.3387e-08,0.00063594
111.0,2.6473e-05,0.1847
112.0,8.1641e-05,0.58328
113.0,0.000126,0.91958
114.0,0.000127,0.95185
115.0,8.5143e-05,0.65154
116.0,2.9712e-05,0.23243
117.0,4.5542e-07,0.0036404
118.0,1.8026e-05,0.14717
119.0,6.9546e-05,0.57973
120.0,0.000118,1.0032
121.0,0.000128,1.1143
122.0,9.3425e-05,0.82682
123.0,3.8111e-05,0.34381
124.0,2.2981e-06,0.021124
125.0,1.2097e-05,0.11325
126.0,6.1089e-05,0.58232
127.0,0.000115,1.1128
128.0,0.000135,1.3299
129.0,0.000107,1.0714
130.0,5.0538e-05,0.5157
131.0,6.43e-06,0.066677
132.0,6.4841e-06,0.068304
133.0,5.1424e-05,0.55008
134.0,0.00011,1.191
135.0,0.00014,1.5387
136.0,0.000119,1.3354
137.0,6.3303e-05,0.71748
138.0,1.1783e-05,0.13537
139.0,3.357e-06,0.039082
140.0,4.6386e-05,0.54702
141.0,0.000112,1.3403
142.0,0.000155,1.8722
143.0,0.000144,1.7564
144.0,8.5675e-05,1.0601
145.0,2.2462e-05,0.28106
146.0,5.8656e-07,0.0074195
147.0,3.8416e-05,0.49106
148.0,0.000112,1.4418
149.0,0.000169,2.2075
150.0,0.00017,2.2324
151.0,0.000111,1.475
152.0,3.5494e-05,0.47582
153.0,4.7806e-08,0.00064636
154.0,3.5964e-05,0.49027
155.0,0.000124,1.7076
156.0,0.000206,2.857
157.0,0.000224,3.1254
158.0,0.000163,2.2834
159.0,6.4296e-05,0.90891
160.0,2.4673e-06,0.035099
161.0,2.9996e-05,0.42929
162.0,0.000139,1.9964
163.0,0.00026,3.7585
164.0,0.000308,4.4863
165.0,0.000246,3.5907
166.0,0.000112,1.6496
167.0,9.5562e-06,0.14085
168.0,3.1815e-05,0.47072
169.0,0.000196,2.9114
170.0,0.000417,6.205
171.0,0.000551,8.2247
172.0,0.000494,7.3997
173.0,0.000269,4.036
174.0,4.0788e-05,0.61351
175.0,4.5497e-05,0.68549
176.0,0.000455,6.865
177.0,0.001259,19.021
178.0,0.002236,33.803
179.0,0.003037,45.92
179.99,0.003345,50.595
