input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_p_2p_dn_10.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,10.0,-26.071044550925617,668178064022.3079,d;n;p
4He_p_2p_dn_100.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,100.0,-26.071044550925617,6681780846.018814,d;n;p
4He_p_2p_dn_105.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,105.0,-26.071044550925617,6060297720.259161,d;n;p
4He_p_2p_dn_110.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,110.0,-26.071044550925617,5522061756.492808,d;n;p
4He_p_2p_dn_115.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,115.0,-26.071044550925617,5052241563.844901,d;n;p
4He_p_2p_dn_120.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,120.0,-26.071044550925617,4640072423.396524,d;n;p
4He_p_2p_dn_125.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,125.0,-26.071044550925617,4276272754.955965,d;n;p
4He_p_2p_dn_130.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,130.0,-26.071044550925617,3953666079.050051,d;n;p
4He_p_2p_dn_135.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,135.0,-26.071044550925617,3666224152.6341715,d;n;p
4He_p_2p_dn_140.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,140.0,-26.071044550925617,3409019126.995403,d;n;p
4He_p_2p_dn_145.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,145.0,-26.071044550925617,3177984330.1405654,d;n;p
4He_p_2p_dn_15.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,15.0,-26.071044550925617,296967497324.665,d;n;p
4He_p_2p_dn_150.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,150.0,-26.071044550925617,2969627208.6989617,d;n;p
4He_p_2p_dn_155.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,155.0,-26.071044550925617,2781125013.9607496,d;n;p
4He_p_2p_dn_160.0MeV.out,he4_p_2p_dn,multi_body,multibody_flat,160.0,-26.071044550925617,2610037743.0485554,d;n;p
