theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,5586400000000000.0,1.0
1.0,55673000.0,0.99652
2.0,3452500.0,0.98862
3.0,675080.0,0.97837
4.0,211230.0,0.96717
5.0,85578.0,0.95622
6.0,40879.0,0.94663
7.0,21914.0,0.9395
8.0,12806.0,0.93592
9.0,8010.942502,0.93699
10.0,5299.305599,0.9438
11.0,3675.74121,0.95744
12.0,2656.823351,0.97899
13.0,1991.513298,1.0095
14.0,1542.018629,1.0499
15.0,1229.102535,1.1012
16.0,1005.356547,1.1642
17.0,841.428181,1.2397
18.0,718.59406,1.3283
19.0,624.59366,1.4306
20.0,551.209915,1.5469
21.0,492.820575,1.6776
22.0,445.506857,1.8227
23.0,406.491425,1.9822
24.0,373.776112,2.1558
25.0,345.903667,2.343
26.0,321.798196,2.5434
27.0,300.656485,2.7561
28.0,281.87285,2.9801
29.0,264.986406,3.2144
30.0,249.643597,3.4577
31.0,235.571226,3.7085
32.0,222.556825,3.9652
33.0,210.434219,4.2263
34.0,199.072791,4.4898
35.0,188.369434,4.7539
36.0,178.242453,5.0167
37.0,168.626918,5.276
38.0,159.471082,5.53
39.0,150.733607,5.7765
40.0,142.381396,6.0136
41.0,134.387894,6.2393
42.0,126.731736,6.4518
43.0,119.395681,6.6492
44.0,112.365751,6.8299
45.0,105.630544,6.9924
46.0,99.180679,7.1353
47.0,93.008345,7.2577
48.0,87.106936,7.3584
49.0,81.470752,7.4368
50.0,76.094757,7.4924
51.0,70.97438,7.5251
52.0,66.105358,7.535
53.0,61.483598,7.5222
54.0,57.105077,7.4875
55.0,52.965756,7.4318
56.0,49.061509,7.3562
57.0,45.388076,7.2622
58.0,41.941016,7.1515
59.0,38.715685,7.0262
60.0,35.707209,6.8883
61.0,32.910471,6.7404
62.0,30.320111,6.5851
63.0,27.930516,6.4253
64.0,25.735833,6.264
65.0,23.729969,6.1043
66.0,21.906608,5.9496
67.0,20.259222,5.8031
68.0,18.781091,5.6682
69.0,17.465319,5.5484
70.0,16.304859,5.447
71.0,15.292529,5.3675
72.0,14.421043,5.3131
73.0,13.683027,5.287
74.0,13.07105,5.2922
75.0,12.577648,5.3317
76.0,12.195345,5.408
77.0,11.916685,5.5237
78.0,11.734251,5.6809
79.0,11.640693,5.8816
80.0,11.628749,6.1274
81.0,11.691274,6.4197
82.0,11.821256,6.7594
83.0,12.011844,7.1473
84.0,12.256362,7.5837
85.0,12.548336,8.0686
86.0,12.881505,8.6015
87.0,13.249846,9.182
88.0,13.647581,9.8088
89.0,14.069201,10.481
90.0,14.509471,11.196
91.0,14.963445,11.953
92.0,15.426478,12.749
93.0,15.894229,13.582
94.0,16.362674,14.449
95.0,16.828106,15.347
96.0,17.287143,16.274
97.0,17.736728,17.226
98.0,18.174128,18.199
99.0,18.596939,19.191
100.0,19.003076,20.198
101.0,19.390775,21.218
102.0,19.758585,22.246
103.0,20.105361,23.279
104.0,20.43026,24.315
105.0,20.732726,25.351
106.0,21.012483,26.384
107.0,21.269524,27.413
108.0,21.504095,28.433
109.0,21.716685,29.445
110.0,21.908012,30.446
111.0,22.079002,31.436
112.0,22.230781,32.414
113.0,22.364652,33.378
114.0,22.482081,34.33
115.0,22.584679,35.27
116.0,22.674183,36.198
117.0,22.75244,37.117
118.0,22.821387,38.026
119.0,22.883033,38.929
120.0,22.93944,39.827
121.0,22.992708,40.724
122.0,23.044954,41.623
123.0,23.098294,42.526
124.0,23.154827,43.437
125.0,23.216621,44.36
126.0,23.285693,45.299
127.0,23.363993,46.258
128.0,23.453394,47.241
129.0,23.555674,48.253
130.0,23.672503,49.297
131.0,23.805434,50.378
132.0,23.955889,51.5
133.0,24.125148,52.667
134.0,24.314345,53.882
135.0,24.524452,55.149
136.0,24.75628,56.471
137.0,25.010468,57.851
138.0,25.287481,59.291
139.0,25.587605,60.793
140.0,25.910946,62.359
141.0,26.257429,63.99
142.0,26.626796,65.686
143.0,27.01861,67.447
144.0,27.432255,69.273
145.0,27.866942,71.161
146.0,28.321713,73.111
147.0,28.795443,75.119
148.0,29.286854,77.182
149.0,29.794514,79.297
150.0,30.316852,81.458
151.0,30.852164,83.662
152.0,31.398627,85.902
153.0,31.954304,88.172
154.0,32.51716,90.466
155.0,33.085072,92.776
156.0,33.655844,95.094
157.0,34.227216,97.413
158.0,34.796881,99.725
159.0,35.362498,102.02
160.0,35.921704,104.29
161.0,36.47213,106.52
162.0,37.011414,108.72
163.0,37.537214,110.85
164.0,38.047225,112.93
165.0,38.539187,114.94
166.0,39.010906,116.86
167.0,39.460258,118.7
168.0,39.885208,120.43
169.0,40.283822,122.06
170.0,40.654271,123.58
171.0,40.994853,124.98
172.0,41.303991,126.25
173.0,41.580251,127.39
174.0,41.822349,128.38
175.0,42.029153,129.23
176.0,42.199696,129.94
177.0,42.333179,130.49
178.0,42.428975,130.88
179.0,42.486633,131.12
179.99,42.505881,131.2
