bin_low_MeV,bin_high_MeV,sigma_bin_mb,eta
0.0,5.0,0.0,0.0
5.0,10.0,0.0,0.0
10.0,15.0,0.0,0.0
15.0,20.0,0.0,0.0
20.0,25.0,0.0,0.0
25.0,30.0,8.060547747246569e-05,4.587193775048888e-14
30.0,35.0,3.818892798760434e-05,2.1733015948000462e-14
35.0,40.0,3.829019089735422e-05,2.1790643866575432e-14
40.0,45.0,2.6167707215728486e-05,1.4891834576415133e-14
45.0,50.0,2.1086077707857335e-05,1.1999919538311926e-14
50.0,55.0,3.467739816161209e-05,1.9734632182555667e-14
55.0,60.0,1.7206188990465158e-05,9.791905650126298e-15
60.0,65.0,4.190537433969694e-05,2.3848016082755054e-14
65.0,70.0,1.5571316377617603e-05,8.861512616326084e-15
70.0,75.0,2.5259167903569327e-05,1.4374792061711672e-14
75.0,80.0,2.0246731549329115e-05,1.1522254298399779e-14
80.0,85.0,7.23650773206209e-05,4.118239139883223e-14
85.0,90.0,2.1008288562480086e-05,1.195565035281361e-14
90.0,95.0,2.0960543468965288e-05,1.1928478998877394e-14
95.0,100.0,4.016767082914587e-05,2.2859102800875002e-14
100.0,105.0,0.00020300941810339843,1.155310492786688e-13
105.0,110.0,0.00016068681493949168,9.144559158211772e-14
110.0,115.0,0.00010912811767912533,6.210394600931248e-14
115.0,120.0,0.00018301881757979647,1.0415455711500905e-13
120.0,125.0,0.0004109154086080308,2.338486990641939e-13
125.0,130.0,0.0011462612104619304,6.523281610740549e-13
130.0,135.0,0.004977378867227079,2.8325868255793503e-12
135.0,140.0,0.006932256486009501,3.945092169515105e-12
140.0,145.0,0.016424318418811076,9.346949310724838e-12
145.0,150.0,0.03457551098789512,1.9676649000309586e-11
150.0,155.0,0.10786334404896342,6.138417337039887e-11
155.0,160.0,0.24640379253984396,1.402264435035837e-10
160.0,165.0,1.6959959015620334,9.651778124893977e-10
165.0,170.0,65.96157146384664,3.753820701760107e-08
170.0,175.0,1757184856.4160807,0.9999999612576514
175.0,180.0,0.0,0.0
180.0,185.0,0.0,0.0
185.0,190.0,0.0,0.0
190.0,195.0,0.0,0.0
195.0,200.0,0.0,0.0
200.0,205.0,0.0,0.0
205.0,210.0,0.0,0.0
210.0,215.0,0.0,0.0
215.0,220.0,0.0,0.0
220.0,225.0,0.0,0.0
225.0,230.0,0.0,0.0
230.0,235.0,0.0,0.0
235.0,240.0,0.0,0.0
240.0,245.0,0.0,0.0
245.0,250.0,0.0,0.0
250.0,255.0,0.0,0.0
255.0,260.0,0.0,0.0
260.0,265.0,0.0,0.0
265.0,270.0,0.0,0.0
270.0,275.0,0.0,0.0
275.0,280.0,0.0,0.0
280.0,285.0,0.0,0.0
285.0,290.0,0.0,0.0
290.0,295.0,0.0,0.0
295.0,300.0,0.0,0.0
300.0,305.0,0.0,0.0
305.0,310.0,0.0,0.0
310.0,315.0,0.0,0.0
315.0,320.0,0.0,0.0
320.0,325.0,0.0,0.0
325.0,330.0,0.0,0.0
330.0,335.0,0.0,0.0
335.0,340.0,0.0,0.0
340.0,345.0,0.0,0.0
345.0,350.0,0.0,0.0
350.0,355.0,0.0,0.0
355.0,360.0,0.0,0.0
360.0,365.0,0.0,0.0
365.0,370.0,0.0,0.0
370.0,375.0,0.0,0.0
375.0,380.0,0.0,0.0
380.0,385.0,0.0,0.0
385.0,390.0,0.0,0.0
390.0,395.0,0.0,0.0
395.0,400.0,0.0,0.0
