input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_p_d_3He_10.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,10.0,-18.35305520229575,668178064022.3079,d
4He_p_d_3He_100.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,100.0,-18.35305520229575,6681780846.018814,d
4He_p_d_3He_105.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,105.0,-18.35305520229575,6060297720.259161,d
4He_p_d_3He_110.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,110.0,-18.35305520229575,5522061756.492808,d
4He_p_d_3He_115.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,115.0,-18.35305520229575,5052241563.844901,d
4He_p_d_3He_120.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,120.0,-18.35305520229575,4640072423.396524,d
4He_p_d_3He_125.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,125.0,-18.35305520229575,4276272754.955965,d
4He_p_d_3He_130.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,130.0,-18.35305520229575,3953666079.050051,d
4He_p_d_3He_135.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,135.0,-18.35305520229575,3666224152.6341715,d
4He_p_d_3He_140.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,140.0,-18.35305520229575,3409019126.995403,d
4He_p_d_3He_145.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,145.0,-18.35305520229575,3177984330.1405654,d
4He_p_d_3He_15.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,15.0,-18.35305520229575,296967497324.665,d
4He_p_d_3He_150.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,150.0,-18.35305520229575,2969627208.6989617,d
4He_p_d_3He_155.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,155.0,-18.35305520229575,2781125013.9607496,d
4He_p_d_3He_160.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,160.0,-18.35305520229575,2610037743.0485554,d
4He_p_d_3He_165.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,165.0,-18.35305520229575,2454260295.2041354,d
4He_p_d_3He_170.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,170.0,-18.35305520229575,2311974628.942179,d
4He_p_d_3He_175.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,175.0,-18.35305520229575,2181745448.2686734,d
4He_p_d_3He_180.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,180.0,-18.35305520229575,2062233143.6677754,d
4He_p_d_3He_185.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,185.0,-18.35305520229575,1952289478.5958498,d
4He_p_d_3He_190.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,190.0,-18.35305520229575,1850861902.5927587,d
4He_p_d_3He_195.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,195.0,-18.35305520229575,1757184924.4935515,d
4He_p_d_3He_20.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,20.0,-18.35305520229575,167044516669.0737,d
4He_p_d_3He_200.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,200.0,-18.35305520229575,1670397366.7566392,d
4He_p_d_3He_205.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,205.0,-18.35305520229575,1589925110.9440677,d
4He_p_d_3He_210.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,210.0,-18.35305520229575,1515098352.430026,d
4He_p_d_3He_215.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,215.0,-18.35305520229575,1445438659.1791549,d
4He_p_d_3He_220.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,220.0,-18.35305520229575,1380515442.4177186,d
4He_p_d_3He_225.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,225.0,-18.35305520229575,1319850270.179366,d
4He_p_d_3He_230.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,230.0,-18.35305520229575,1263060396.7493806,d
4He_p_d_3He_235.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,235.0,-18.35305520229575,1209906606.4275055,d
4He_p_d_3He_240.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,240.0,-18.35305520229575,1160006153.5073035,d
4He_p_d_3He_245.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,245.0,-18.35305520229575,1113119822.0065124,d
4He_p_d_3He_25.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,25.0,-18.35305520229575,106910404713.80745,d
4He_p_d_3He_250.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,250.0,-18.35305520229575,1069056239.1355873,d
4He_p_d_3He_255.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,255.0,-18.35305520229575,1027528345.729063,d
4He_p_d_3He_260.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,260.0,-18.35305520229575,988392612.1507081,d
4He_p_d_3He_265.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,265.0,-18.35305520229575,951457665.7140751,d
4He_p_d_3He_270.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,270.0,-18.35305520229575,916532133.5958498,d
4He_p_d_3He_275.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,275.0,-18.35305520229575,883520329.4056653,d
4He_p_d_3He_280.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,280.0,-18.35305520229575,852230880.369278,d
4He_p_d_3He_285.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,285.0,-18.35305520229575,822615943.2540873,d
4He_p_d_3He_290.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,290.0,-18.35305520229575,794484145.290053,d
4He_p_d_3He_295.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,295.0,-18.35305520229575,767787643.3946362,d
4He_p_d_3He_30.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,30.0,-18.35305520229575,74243071052.87105,d
4He_p_d_3He_300.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,300.0,-18.35305520229575,742382907.9171124,d
4He_p_d_3He_305.0MeV.out,he4_p_d_he3,two_body,two_body_kinematics,305.0,-18.35305520229575,718269938.8574674,d
