bin_low_MeV,bin_high_MeV,sigma_bin_mb,eta
0.0,5.0,16324316.792215168,0.022727272727272728
5.0,10.0,16324316.792215168,0.022727272727272728
10.0,15.0,16324316.792215168,0.022727272727272728
15.0,20.0,16324316.792215168,0.022727272727272728
20.0,25.0,16324316.792215168,0.022727272727272728
25.0,30.0,16324316.792215168,0.022727272727272728
30.0,35.0,16324316.792215168,0.022727272727272728
35.0,40.0,16324316.792215168,0.022727272727272728
40.0,45.0,16324316.792215168,0.022727272727272728
45.0,50.0,16324316.792215168,0.022727272727272728
50.0,55.0,16324316.792215168,0.022727272727272728
55.0,60.0,16324316.792215168,0.022727272727272728
60.0,65.0,16324316.792215168,0.022727272727272728
65.0,70.0,16324316.792215168,0.022727272727272728
70.0,75.0,16324316.792215168,0.022727272727272728
75.0,80.0,16324316.792215168,0.022727272727272728
80.0,85.0,16324316.792215168,0.022727272727272728
85.0,90.0,16324316.792215168,0.022727272727272728
90.0,95.0,16324316.792215168,0.022727272727272728
95.0,100.0,16324316.792215168,0.022727272727272728
100.0,105.0,16324316.792215168,0.022727272727272728
105.0,110.0,16324316.792215168,0.022727272727272728
110.0,115.0,16324316.792215168,0.022727272727272728
115.0,120.0,16324316.792215168,0.022727272727272728
120.0,125.0,16324316.792215168,0.022727272727272728
125.0,130.0,16324316.792215168,0.022727272727272728
130.0,135.0,16324316.792215168,0.022727272727272728
135.0,140.0,16324316.792215168,0.022727272727272728
140.0,145.0,16324316.792215168,0.022727272727272728
145.0,150.0,16324316.792215168,0.022727272727272728
150.0,155.0,16324316.792215168,0.022727272727272728
155.0,160.0,16324316.792215168,0.022727272727272728
160.0,165.0,16324316.792215168,0.022727272727272728
165.0,170.0,16324316.792215168,0.022727272727272728
170.0,175.0,16324316.792215168,0.022727272727272728
175.0,180.0,16324316.792215168,0.022727272727272728
180.0,185.0,16324316.792215168,0.022727272727272728
185.0,190.0,16324316.792215168,0.022727272727272728
190.0,195.0,16324316.792215168,0.022727272727272728
195.0,200.0,16324316.792215168,0.022727272727272728
200.0,205.0,16324316.792215168,0.022727272727272728
205.0,210.0,16324316.792215168,0.022727272727272728
210.0,215.0,16324316.792215168,0.022727272727272728
215.0,220.0,16324316.792215168,0.022727272727272728
220.0,225.0,0.0,0.0
225.0,230.0,0.0,0.0
230.0,235.0,0.0,0.0
235.0,240.0,0.0,0.0
240.0,245.0,0.0,0.0
245.0,250.0,0.0,0.0
250.0,255.0,0.0,0.0
255.0,260.0,0.0,0.0
260.0,265.0,0.0,0.0
265.0,270.0,0.0,0.0
270.0,275.0,0.0,0.0
275.0,280.0,0.0,0.0
280.0,285.0,0.0,0.0
285.0,290.0,0.0,0.0
290.0,295.0,0.0,0.0
295.0,300.0,0.0,0.0
300.0,305.0,0.0,0.0
305.0,310.0,0.0,0.0
310.0,315.0,0.0,0.0
315.0,320.0,0.0,0.0
320.0,325.0,0.0,0.0
325.0,330.0,0.0,0.0
330.0,335.0,0.0,0.0
335.0,340.0,0.0,0.0
340.0,345.0,0.0,0.0
345.0,350.0,0.0,0.0
350.0,355.0,0.0,0.0
355.0,360.0,0.0,0.0
360.0,365.0,0.0,0.0
365.0,370.0,0.0,0.0
370.0,375.0,0.0,0.0
375.0,380.0,0.0,0.0
380.0,385.0,0.0,0.0
385.0,390.0,0.0,0.0
390.0,395.0,0.0,0.0
395.0,400.0,0.0,0.0
