input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_p_p_2d_10.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,10.0,-23.846478507633616,668178064022.3079,d;p
4He_p_p_2d_100.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,100.0,-23.846478507633616,6681780846.018814,d;p
4He_p_p_2d_105.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,105.0,-23.846478507633616,6060297720.259161,d;p
4He_p_p_2d_110.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,110.0,-23.846478507633616,5522061756.492808,d;p
4He_p_p_2d_115.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,115.0,-23.846478507633616,5052241563.844901,d;p
4He_p_p_2d_120.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,120.0,-23.846478507633616,4640072423.396524,d;p
4He_p_p_2d_125.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,125.0,-23.846478507633616,4276272754.955965,d;p
4He_p_p_2d_130.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,130.0,-23.846478507633616,3953666079.050051,d;p
4He_p_p_2d_135.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,135.0,-23.846478507633616,3666224152.6341715,d;p
4He_p_p_2d_140.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,140.0,-23.846478507633616,3409019126.995403,d;p
4He_p_p_2d_145.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,145.0,-23.846478507633616,3177984330.1405654,d;p
4He_p_p_2d_15.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,15.0,-23.846478507633616,296967497324.665,d;p
4He_p_p_2d_150.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,150.0,-23.846478507633616,2969627208.6989617,d;p
4He_p_p_2d_155.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,155.0,-23.846478507633616,2781125013.9607496,d;p
4He_p_p_2d_160.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,160.0,-23.846478507633616,2610037743.0485554,d;p
4He_p_p_2d_165.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,165.0,-23.846478507633616,2454260295.2041354,d;p
4He_p_p_2d_170.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,170.0,-23.846478507633616,2311974628.942179,d;p
4He_p_p_2d_175.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,175.0,-23.846478507633616,2181745448.2686734,d;p
4He_p_p_2d_180.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,180.0,-23.846478507633616,2062233143.6677754,d;p
4He_p_p_2d_185.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,185.0,-23.846478507633616,1952289478.5958498,d;p
4He_p_p_2d_190.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,190.0,-23.846478507633616,1850861902.5927587,d;p
4He_p_p_2d_195.0MeV.out,he4_p_p_2d,multi_body,multibody_flat,195.0,-23.846478507633616,1757184924.4935515,d;p
