theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,3491400000000.0,0.99997
1.0,28066.0,0.80379
2.0,1151.106176,0.52739
3.0,417.979514,0.96923
4.0,439.055832,3.2166
5.0,468.331209,8.3727
6.0,466.167522,17.272
7.0,441.001103,30.251
8.0,402.185271,47.028
9.0,356.480507,66.712
10.0,308.544928,87.922
11.0,261.533581,109.0
12.0,217.504158,128.23
13.0,177.692186,144.11
14.0,142.715411,155.47
15.0,112.737759,161.61
16.0,87.605067,162.31
17.0,66.956543,157.83
18.0,50.313295,148.8
19.0,37.145308,136.12
20.0,26.919091,120.88
21.0,19.129028,104.19
22.0,13.315849,87.169
23.0,9.075553,70.809
24.0,6.061731,55.938
25.0,3.983676,43.174
26.0,2.602091,32.906
27.0,1.723664,25.281
28.0,1.195365,20.221
29.0,0.898926,17.447
30.0,0.745713,16.525
31.0,0.672022,16.927
32.0,0.634713,18.094
33.0,0.607105,19.509
34.0,0.57508,20.752
35.0,0.533453,21.541
36.0,0.482708,21.738
37.0,0.426268,21.34
38.0,0.368417,20.441
39.0,0.312939,19.188
40.0,0.262437,17.735
41.0,0.218205,16.209
42.0,0.180453,14.699
43.0,0.148701,13.25
44.0,0.122167,11.881
45.0,0.100043,10.596
46.0,0.081647,9.3982
47.0,0.066451,8.2965
48.0,0.054051,7.3056
49.0,0.044112,6.4426
50.0,0.036329,5.7232
51.0,0.030403,5.1577
52.0,0.026039,4.7489
53.0,0.022937,4.4899
54.0,0.020791,4.3618
55.0,0.01929,4.3306
56.0,0.018122,4.3476
57.0,0.017004,4.353
58.0,0.015709,4.2858
59.0,0.014111,4.0975
60.0,0.012199,3.7653
61.0,0.010072,3.3007
62.0,0.007907,2.7478
63.0,0.005902,2.1722
64.0,0.004217,1.6423
65.0,0.00294,1.21
66.0,0.002067,0.89822
67.0,0.001524,0.69826
68.0,0.001199,0.57902
69.0,0.000988,0.50216
70.0,0.000818,0.43718
71.0,0.000659,0.37014
72.0,0.000514,0.30316
73.0,0.000399,0.24645
74.0,0.000321,0.20811
75.0,0.000276,0.18729
76.0,0.000246,0.17451
77.0,0.000213,0.1583
78.0,0.000173,0.1342
79.0,0.000136,0.11023
80.0,0.000125,0.10509
81.0,0.000158,0.13893
82.0,0.000242,0.22121
83.0,0.000359,0.34169
84.0,0.000475,0.4702
85.0,0.00055,0.56632
86.0,0.000557,0.59536
87.0,0.00049,0.54346
88.0,0.000369,0.42462
89.0,0.000231,0.27578
90.0,0.000115,0.14181
91.0,4.4653e-05,0.057071
92.0,2.4271e-05,0.032093
93.0,3.7676e-05,0.051512
94.0,5.9575e-05,0.084172
95.0,6.8725e-05,0.10028
96.0,5.781e-05,0.087075
97.0,3.5426e-05,0.055048
98.0,1.9742e-05,0.031631
99.0,2.7474e-05,0.045363
100.0,6.3914e-05,0.10869
101.0,0.000119,0.20843
102.0,0.000172,0.30928
103.0,0.000199,0.36934
104.0,0.000189,0.36034
105.0,0.000144,0.28252
106.0,8.2833e-05,0.16642
107.0,2.9031e-05,0.059864
108.0,2.9191e-06,0.0061755
109.0,1.0945e-05,0.023744
110.0,4.3752e-05,0.097287
111.0,8.1365e-05,0.18536
112.0,0.000103,0.24086
113.0,9.8292e-05,0.23471
114.0,6.9958e-05,0.17092
115.0,3.4097e-05,0.085197
116.0,1.0718e-05,0.027377
117.0,1.3765e-05,0.035928
118.0,4.3962e-05,0.1172
119.0,8.8226e-05,0.24015
120.0,0.000126,0.34983
121.0,0.000139,0.3938
122.0,0.000121,0.34851
123.0,7.8971e-05,0.23263
124.0,3.3268e-05,0.099854
125.0,4.5789e-06,0.013998
126.0,5.7703e-06,0.017961
127.0,3.5307e-05,0.11185
128.0,7.8038e-05,0.2515
129.0,0.000113,0.36902
130.0,0.000122,0.40586
131.0,0.000101,0.34261
132.0,6.1126e-05,0.21025
133.0,2.1927e-05,0.076588
134.0,3.8205e-06,0.013546
135.0,1.6935e-05,0.060931
136.0,5.6065e-05,0.20462
137.0,0.000103,0.38092
138.0,0.000135,0.50608
139.0,0.000136,0.5175
140.0,0.000106,0.4065
141.0,5.7886e-05,0.22571
142.0,1.6766e-05,0.066176
143.0,3.4555e-06,0.013802
144.0,2.6224e-05,0.10595
145.0,7.5829e-05,0.30982
146.0,0.000129,0.53465
147.0,0.000161,0.67374
148.0,0.000156,0.65693
149.0,0.000115,0.4881
150.0,5.7708e-05,0.24809
151.0,1.3662e-05,0.059274
152.0,6.1963e-06,0.027124
153.0,4.2176e-05,0.18621
154.0,0.000107,0.47782
155.0,0.000172,0.77257
156.0,0.000206,0.92993
157.0,0.000191,0.86793
158.0,0.000133,0.6093
159.0,6.053e-05,0.2794
160.0,1.1415e-05,0.053025
161.0,1.539e-05,0.071917
162.0,7.8948e-05,0.37104
163.0,0.00018,0.85025
164.0,0.000276,1.3095
165.0,0.000322,1.5366
166.0,0.000294,1.4103
167.0,0.000202,0.97169
168.0,8.8303e-05,0.42661
169.0,1.4697e-05,0.071253
170.0,3.4496e-05,0.16778
171.0,0.000168,0.82132
172.0,0.000391,1.9136
173.0,0.000638,3.1273
174.0,0.000826,4.0579
175.0,0.000888,4.3707
176.0,0.0008,3.9409
177.0,0.000591,2.9155
178.0,0.000338,1.6688
179.0,0.000135,0.66525
179.99,5.7217e-05,0.28257
