bin_low_MeV,bin_high_MeV,sigma_bin_mb,eta
0.0,5.0,8117397.066702955,0.017543859649122806
5.0,10.0,8117397.066702955,0.017543859649122806
10.0,15.0,8117397.066702955,0.017543859649122806
15.0,20.0,8117397.066702955,0.017543859649122806
20.0,25.0,8117397.066702955,0.017543859649122806
25.0,30.0,8117397.066702955,0.017543859649122806
30.0,35.0,8117397.066702955,0.017543859649122806
35.0,40.0,8117397.066702955,0.017543859649122806
40.0,45.0,8117397.066702955,0.017543859649122806
45.0,50.0,8117397.066702955,0.017543859649122806
50.0,55.0,8117397.066702955,0.017543859649122806
55.0,60.0,8117397.066702955,0.017543859649122806
60.0,65.0,8117397.066702955,0.017543859649122806
65.0,70.0,8117397.066702955,0.017543859649122806
70.0,75.0,8117397.066702955,0.017543859649122806
75.0,80.0,8117397.066702955,0.017543859649122806
80.0,85.0,8117397.066702955,0.017543859649122806
85.0,90.0,8117397.066702955,0.017543859649122806
90.0,95.0,8117397.066702955,0.017543859649122806
95.0,100.0,8117397.066702955,0.017543859649122806
100.0,105.0,8117397.066702955,0.017543859649122806
105.0,110.0,8117397.066702955,0.017543859649122806
110.0,115.0,8117397.066702955,0.017543859649122806
115.0,120.0,8117397.066702955,0.017543859649122806
120.0,125.0,8117397.066702955,0.017543859649122806
125.0,130.0,8117397.066702955,0.017543859649122806
130.0,135.0,8117397.066702955,0.017543859649122806
135.0,140.0,8117397.066702955,0.017543859649122806
140.0,145.0,8117397.066702955,0.017543859649122806
145.0,150.0,8117397.066702955,0.017543859649122806
150.0,155.0,8117397.066702955,0.017543859649122806
155.0,160.0,8117397.066702955,0.017543859649122806
160.0,165.0,8117397.066702955,0.017543859649122806
165.0,170.0,8117397.066702955,0.017543859649122806
170.0,175.0,8117397.066702955,0.017543859649122806
175.0,180.0,8117397.066702955,0.017543859649122806
180.0,185.0,8117397.066702955,0.017543859649122806
185.0,190.0,8117397.066702955,0.017543859649122806
190.0,195.0,8117397.066702955,0.017543859649122806
195.0,200.0,8117397.066702955,0.017543859649122806
200.0,205.0,8117397.066702955,0.017543859649122806
205.0,210.0,8117397.066702955,0.017543859649122806
210.0,215.0,8117397.066702955,0.017543859649122806
215.0,220.0,8117397.066702955,0.017543859649122806
220.0,225.0,8117397.066702955,0.017543859649122806
225.0,230.0,8117397.066702955,0.017543859649122806
230.0,235.0,8117397.066702955,0.017543859649122806
235.0,240.0,8117397.066702955,0.017543859649122806
240.0,245.0,8117397.066702955,0.017543859649122806
245.0,250.0,8117397.066702955,0.017543859649122806
250.0,255.0,8117397.066702955,0.017543859649122806
255.0,260.0,8117397.066702955,0.017543859649122806
260.0,265.0,8117397.066702955,0.017543859649122806
265.0,270.0,8117397.066702955,0.017543859649122806
270.0,275.0,8117397.066702955,0.017543859649122806
275.0,280.0,8117397.066702955,0.017543859649122806
280.0,285.0,8117397.066702955,0.017543859649122806
285.0,290.0,0.0,0.0
290.0,295.0,0.0,0.0
295.0,300.0,0.0,0.0
300.0,305.0,0.0,0.0
305.0,310.0,0.0,0.0
310.0,315.0,0.0,0.0
315.0,320.0,0.0,0.0
320.0,325.0,0.0,0.0
325.0,330.0,0.0,0.0
330.0,335.0,0.0,0.0
335.0,340.0,0.0,0.0
340.0,345.0,0.0,0.0
345.0,350.0,0.0,0.0
350.0,355.0,0.0,0.0
355.0,360.0,0.0,0.0
360.0,365.0,0.0,0.0
365.0,370.0,0.0,0.0
370.0,375.0,0.0,0.0
375.0,380.0,0.0,0.0
380.0,385.0,0.0,0.0
385.0,390.0,0.0,0.0
390.0,395.0,0.0,0.0
395.0,400.0,0.0,0.0
