input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
4He_p_pn_3He_10.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,10.0,-20.57762124558692,668178064022.3079,he3;n;p
4He_p_pn_3He_100.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,100.0,-20.57762124558692,6681780846.018814,he3;n;p
4He_p_pn_3He_105.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,105.0,-20.57762124558692,6060297720.259161,he3;n;p
4He_p_pn_3He_110.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,110.0,-20.57762124558692,5522061756.492808,he3;n;p
4He_p_pn_3He_115.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,115.0,-20.57762124558692,5052241563.844901,he3;n;p
4He_p_pn_3He_120.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,120.0,-20.57762124558692,4640072423.396524,he3;n;p
4He_p_pn_3He_125.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,125.0,-20.57762124558692,4276272754.955965,he3;n;p
4He_p_pn_3He_130.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,130.0,-20.57762124558692,3953666079.050051,he3;n;p
4He_p_pn_3He_135.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,135.0,-20.57762124558692,3666224152.6341715,he3;n;p
4He_p_pn_3He_140.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,140.0,-20.57762124558692,3409019126.995403,he3;n;p
4He_p_pn_3He_145.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,145.0,-20.57762124558692,3177984330.1405654,he3;n;p
4He_p_pn_3He_15.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,15.0,-20.57762124558692,296967497324.665,he3;n;p
4He_p_pn_3He_150.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,150.0,-20.57762124558692,2969627208.6989617,he3;n;p
4He_p_pn_3He_155.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,155.0,-20.57762124558692,2781125013.9607496,he3;n;p
4He_p_pn_3He_160.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,160.0,-20.57762124558692,2610037743.0485554,he3;n;p
4He_p_pn_3He_165.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,165.0,-20.57762124558692,2454260295.2041354,he3;n;p
4He_p_pn_3He_170.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,170.0,-20.57762124558692,2311974628.942179,he3;n;p
4He_p_pn_3He_175.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,175.0,-20.57762124558692,2181745448.2686734,he3;n;p
4He_p_pn_3He_180.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,180.0,-20.57762124558692,2062233143.6677754,he3;n;p
4He_p_pn_3He_185.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,185.0,-20.57762124558692,1952289478.5958498,he3;n;p
4He_p_pn_3He_190.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,190.0,-20.57762124558692,1850861902.5927587,he3;n;p
4He_p_pn_3He_195.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,195.0,-20.57762124558692,1757184924.4935515,he3;n;p
4He_p_pn_3He_20.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,20.0,-20.57762124558692,167044516669.0737,he3;n;p
4He_p_pn_3He_200.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,200.0,-20.57762124558692,1670397366.7566392,he3;n;p
4He_p_pn_3He_205.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,205.0,-20.57762124558692,1589925110.9440677,he3;n;p
4He_p_pn_3He_210.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,210.0,-20.57762124558692,1515098352.430026,he3;n;p
4He_p_pn_3He_215.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,215.0,-20.57762124558692,1445438659.1791549,he3;n;p
4He_p_pn_3He_220.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,220.0,-20.57762124558692,1380515442.4177186,he3;n;p
4He_p_pn_3He_225.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,225.0,-20.57762124558692,1319850270.179366,he3;n;p
4He_p_pn_3He_230.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,230.0,-20.57762124558692,1263060396.7493806,he3;n;p
4He_p_pn_3He_235.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,235.0,-20.57762124558692,1209906606.4275055,he3;n;p
4He_p_pn_3He_240.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,240.0,-20.57762124558692,1160006153.5073035,he3;n;p
4He_p_pn_3He_245.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,245.0,-20.57762124558692,1113119822.0065124,he3;n;p
4He_p_pn_3He_25.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,25.0,-20.57762124558692,106910404713.80745,he3;n;p
4He_p_pn_3He_250.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,250.0,-20.57762124558692,1069056239.1355873,he3;n;p
4He_p_pn_3He_255.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,255.0,-20.57762124558692,1027528345.729063,he3;n;p
4He_p_pn_3He_260.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,260.0,-20.57762124558692,988392612.1507081,he3;n;p
4He_p_pn_3He_265.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,265.0,-20.57762124558692,951457665.7140751,he3;n;p
4He_p_pn_3He_270.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,270.0,-20.57762124558692,916532133.5958498,he3;n;p
4He_p_pn_3He_275.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,275.0,-20.57762124558692,883520329.4056653,he3;n;p
4He_p_pn_3He_280.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,280.0,-20.57762124558692,852230880.369278,he3;n;p
4He_p_pn_3He_285.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,285.0,-20.57762124558692,822615943.2540873,he3;n;p
4He_p_pn_3He_290.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,290.0,-20.57762124558692,794484145.290053,he3;n;p
4He_p_pn_3He_295.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,295.0,-20.57762124558692,767787643.3946362,he3;n;p
4He_p_pn_3He_30.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,30.0,-20.57762124558692,74243071052.87105,he3;n;p
4He_p_pn_3He_300.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,300.0,-20.57762124558692,742382907.9171124,he3;n;p
4He_p_pn_3He_305.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,305.0,-20.57762124558692,718269938.8574674,he3;n;p
4He_p_pn_3He_310.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,310.0,-20.57762124558692,695257363.4504323,he3;n;p
4He_p_pn_3He_315.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,315.0,-20.57762124558692,673345181.6975473,he3;n;p
4He_p_pn_3He_320.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,320.0,-20.57762124558692,652485550.4101261,he3;n;p
4He_p_pn_3He_325.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,325.0,-20.57762124558692,632582783.1689159,he3;n;p
4He_p_pn_3He_330.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,330.0,-20.57762124558692,613541193.6666219,he3;n;p
4He_p_pn_3He_335.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,335.0,-20.57762124558692,595360781.8715627,he3;n;p
4He_p_pn_3He_340.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,340.0,-20.57762124558692,577993704.5952039,he3;n;p
4He_p_pn_3He_345.0MeV.out,he4_p_pn_he3,multi_body,multibody_flat,345.0,-20.57762124558692,561344275.4576691,he3;n;p
