bin_low_MeV,bin_high_MeV,sigma_bin_mb,eta
0.0,5.0,0.0,0.0
5.0,10.0,0.0,0.0
10.0,15.0,0.0,0.0
15.0,20.0,0.0,0.0
20.0,25.0,0.0,0.0
25.0,30.0,0.0,0.0
30.0,35.0,0.0,0.0
35.0,40.0,0.00100136674753437,2.5817417883858564e-13
40.0,45.0,0.0005412890199317962,1.3955611026562249e-13
45.0,50.0,0.0003884064779137934,1.0013965786050736e-13
50.0,55.0,0.00036057732543605967,9.29646956337273e-14
55.0,60.0,0.0004582731431627395,1.181528073616774e-13
60.0,65.0,0.0002963116727326821,7.639560927743131e-14
65.0,70.0,0.0003527976054713586,9.095891421705219e-14
70.0,75.0,0.0003316491377852167,8.550637817867466e-14
75.0,80.0,0.00036069665319339497,9.299546093109567e-14
80.0,85.0,0.00029978541982095486,7.72912170097791e-14
85.0,90.0,0.0004258449774754396,1.0979211926396034e-13
90.0,95.0,0.0004379787595452777,1.1292047281654252e-13
95.0,100.0,0.0004870146558629781,1.2556299594466527e-13
100.0,105.0,0.0005711064341532866,1.472436897170852e-13
105.0,110.0,0.000594710763532906,1.5332940044157634e-13
110.0,115.0,0.0006900886048927219,1.7791988732672447e-13
115.0,120.0,0.0014410552568483613,3.715354624206583e-13
120.0,125.0,0.0018250331402921982,4.705333320766888e-13
125.0,130.0,0.00413169066141734,1.0652399296790731e-12
130.0,135.0,0.006909732103246425,1.7814795789282284e-12
135.0,140.0,0.0239140109006127,6.16555337213328e-12
140.0,145.0,0.09763562974272139,2.5172593953495644e-11
145.0,150.0,0.2630120587113561,6.78102428002979e-11
150.0,155.0,1.210421222777407,3.1207298026303576e-10
155.0,160.0,35.55754804478365,9.16751109479046e-09
160.0,165.0,3878647905.230522,0.9999999904156198
165.0,170.0,0.0,0.0
170.0,175.0,0.0,0.0
175.0,180.0,0.0,0.0
180.0,185.0,0.0,0.0
185.0,190.0,0.0,0.0
190.0,195.0,0.0,0.0
195.0,200.0,0.0,0.0
200.0,205.0,0.0,0.0
205.0,210.0,0.0,0.0
210.0,215.0,0.0,0.0
215.0,220.0,0.0,0.0
220.0,225.0,0.0,0.0
225.0,230.0,0.0,0.0
230.0,235.0,0.0,0.0
235.0,240.0,0.0,0.0
240.0,245.0,0.0,0.0
245.0,250.0,0.0,0.0
250.0,255.0,0.0,0.0
255.0,260.0,0.0,0.0
260.0,265.0,0.0,0.0
265.0,270.0,0.0,0.0
270.0,275.0,0.0,0.0
275.0,280.0,0.0,0.0
280.0,285.0,0.0,0.0
285.0,290.0,0.0,0.0
290.0,295.0,0.0,0.0
295.0,300.0,0.0,0.0
300.0,305.0,0.0,0.0
305.0,310.0,0.0,0.0
310.0,315.0,0.0,0.0
315.0,320.0,0.0,0.0
320.0,325.0,0.0,0.0
325.0,330.0,0.0,0.0
330.0,335.0,0.0,0.0
335.0,340.0,0.0,0.0
340.0,345.0,0.0,0.0
345.0,350.0,0.0,0.0
350.0,355.0,0.0,0.0
355.0,360.0,0.0,0.0
360.0,365.0,0.0,0.0
365.0,370.0,0.0,0.0
370.0,375.0,0.0,0.0
375.0,380.0,0.0,0.0
380.0,385.0,0.0,0.0
385.0,390.0,0.0,0.0
390.0,395.0,0.0,0.0
395.0,400.0,0.0,0.0
