E_lab_MeV,sigma_tot_mb
5.0,5026884513909.571
10.0,1256745050056.0676
15.0,558521460357.2784
20.0,314181478688.10815
25.0,201075381243.34372
30.0,139635150162.1472
35.0,102590164231.60149
40.0,78544174381.54832
45.0,62062193649.00561
50.0,50268846016.54603
55.0,41544160907.83214
60.0,34908309687.51079
65.0,29744593580.157635
70.0,25646823858.733498
75.0,22341337449.569168
80.0,19635804711.16348
85.0,17393872535.353935
90.0,15514591783.969927
95.0,13924762367.04012
100.0,12566972450.437494
105.0,11398641589.005655
110.0,10385801116.563614
115.0,9502615706.217337
120.0,8727077487.002934
125.0,8042919774.20469
130.0,7436268040.061012
135.0,6895639917.466943
140.0,6411466766.8446455
145.0,5977050540.900602
150.0,5585214760.66722
155.0,5230696674.087869
160.0,4908711961.4980345
165.0,4615911598.446481
170.0,4348420287.2483835
175.0,4103463121.8545637
180.0,3878647942.4049582
185.0,3671821804.787294
190.0,3481118824.524798
195.0,3304912333.193319
200.0,3141719191.429591
205.0,2990343319.3018537
210.0,2849636479.6762605
215.0,2718641809.4187446
220.0,2596450287.393808
225.0,2482344265.6403813
230.0,2375558253.023691
235.0,2275565974.3736615
240.0,2181745467.8018537
245.0,2093570458.8379495
250.0,2010658201.5741482
255.0,1932578107.250528
260.0,1858995273.5015004
265.0,1789479111.2818906
270.0,1723838248.3981771
275.0,1661689939.0104907
280.0,1602890653.5352635
285.0,1547153332.8149161
290.0,1494238760.8842661
295.0,1444003408.0405116
300.0,1396303744.8245726
305.0,1350900555.428464
310.0,1307650310.1412728
315.0,1266457322.5855966
320.0,1227178063.1948464
325.0,1189716845.587418
330.0,1153930139.9453511
335.0,1119722260.3892853
340.0,1087045363.489643
345.0,1055755919.6781781
350.0,1025806085.7730176
355.0,997100175.3961663
360.0,969590345.3626832
365.0,943228752.3713586
370.0,917919710.1501361
375.0,893567532.4549221
380.0,870220062.3635632
385.0,847733770.2999156
390.0,826156499.4622161
395.0,805392563.4686657
400.0,785346275.9358865
