input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
7Li_p_4He_4He_10.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,10.0,17.34545262438446,1256745050056.0676,he4
7Li_p_4He_4He_100.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,100.0,17.34545262438446,12566972450.437494,he4
7Li_p_4He_4He_105.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,105.0,17.34545262438446,11398641589.005655,he4
7Li_p_4He_4He_110.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,110.0,17.34545262438446,10385801116.563614,he4
7Li_p_4He_4He_115.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,115.0,17.34545262438446,9502615706.217337,he4
7Li_p_4He_4He_120.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,120.0,17.34545262438446,8727077487.002934,he4
7Li_p_4He_4He_125.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,125.0,17.34545262438446,8042919774.20469,he4
7Li_p_4He_4He_130.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,130.0,17.34545262438446,7436268040.061012,he4
7Li_p_4He_4He_135.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,135.0,17.34545262438446,6895639917.466943,he4
7Li_p_4He_4He_140.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,140.0,17.34545262438446,6411466766.8446455,he4
7Li_p_4He_4He_145.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,145.0,17.34545262438446,5977050540.900602,he4
7Li_p_4He_4He_15.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,15.0,17.34545262438446,558521460357.2784,he4
7Li_p_4He_4He_150.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,150.0,17.34545262438446,5585214760.66722,he4
7Li_p_4He_4He_155.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,155.0,17.34545262438446,5230696674.087869,he4
7Li_p_4He_4He_160.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,160.0,17.34545262438446,4908711961.4980345,he4
7Li_p_4He_4He_165.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,165.0,17.34545262438446,4615911598.446481,he4
7Li_p_4He_4He_170.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,170.0,17.34545262438446,4348420287.2483835,he4
7Li_p_4He_4He_175.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,175.0,17.34545262438446,4103463121.8545637,he4
7Li_p_4He_4He_180.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,180.0,17.34545262438446,3878647942.4049582,he4
7Li_p_4He_4He_185.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,185.0,17.34545262438446,3671821804.787294,he4
7Li_p_4He_4He_190.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,190.0,17.34545262438446,3481118824.524798,he4
7Li_p_4He_4He_195.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,195.0,17.34545262438446,3304912333.193319,he4
7Li_p_4He_4He_20.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,20.0,17.34545262438446,314181478688.10815,he4
7Li_p_4He_4He_200.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,200.0,17.34545262438446,3141719191.429591,he4
7Li_p_4He_4He_205.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,205.0,17.34545262438446,2990343319.3018537,he4
7Li_p_4He_4He_210.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,210.0,17.34545262438446,2849636479.6762605,he4
7Li_p_4He_4He_215.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,215.0,17.34545262438446,2718641809.4187446,he4
7Li_p_4He_4He_220.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,220.0,17.34545262438446,2596450287.393808,he4
7Li_p_4He_4He_225.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,225.0,17.34545262438446,2482344265.6403813,he4
7Li_p_4He_4He_230.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,230.0,17.34545262438446,2375558253.023691,he4
7Li_p_4He_4He_235.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,235.0,17.34545262438446,2275565974.3736615,he4
7Li_p_4He_4He_240.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,240.0,17.34545262438446,2181745467.8018537,he4
7Li_p_4He_4He_245.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,245.0,17.34545262438446,2093570458.8379495,he4
7Li_p_4He_4He_25.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,25.0,17.34545262438446,201075381243.34372,he4
7Li_p_4He_4He_250.0MeV.out,li7_p_he4_he4,two_body,two_body_kinematics,250.0,17.34545262438446,2010658201.5741482,he4
