theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,4202600000000.0,0.99996
1.0,30615.0,0.72839
2.0,1683.664597,0.64084
3.0,1294.73353,2.4942
4.0,1370.602436,8.3418
5.0,1321.722548,19.63
6.0,1184.509402,36.459
7.0,1005.237417,57.285
8.0,815.06514,79.177
9.0,633.825317,98.54
10.0,473.28545,112.04
11.0,339.232301,117.45
12.0,233.046607,114.14
13.0,153.065751,103.13
14.0,95.786718,86.687
15.0,56.871028,67.725
16.0,31.906952,49.111
17.0,16.913737,33.122
18.0,8.608727,21.151
19.0,4.485467,13.656
20.0,2.763145,10.308
21.0,2.265688,10.252
22.0,2.277239,12.384
23.0,2.405004,15.589
24.0,2.465662,18.902
25.0,2.400207,21.611
26.0,2.215246,23.273
27.0,1.94567,23.707
28.0,1.633001,22.949
29.0,1.314337,21.192
30.0,1.017878,18.739
31.0,0.762073,15.946
32.0,0.556437,13.178
33.0,0.402911,10.756
34.0,0.29736,8.9144
35.0,0.231191,7.7555
36.0,0.19323,7.2289
37.0,0.17181,7.1453
38.0,0.156823,7.2285
39.0,0.141294,7.1974
40.0,0.122057,6.8524
41.0,0.099393,6.1338
42.0,0.075805,5.1296
43.0,0.054418,4.0282
44.0,0.037588,3.0369
45.0,0.026143,2.3003
46.0,0.019401,1.8553
47.0,0.015785,1.6372
48.0,0.013619,1.5293
49.0,0.011763,1.4272
50.0,0.009814,1.2844
51.0,0.00793,1.1176
52.0,0.006439,0.97563
53.0,0.005499,0.89426
54.0,0.004971,0.86638
55.0,0.004532,0.84517
56.0,0.003899,0.77712
57.0,0.003021,0.6426
58.0,0.002102,0.47643
59.0,0.001463,0.35296
60.0,0.001335,0.34228
61.0,0.001701,0.46304
62.0,0.002292,0.66155
63.0,0.002724,0.83289
64.0,0.002705,0.87524
65.0,0.002188,0.74811
66.0,0.001386,0.50029
67.0,0.000655,0.24927
68.0,0.0003,0.12043
69.0,0.000423,0.17864
70.0,0.00088,0.39061
71.0,0.001373,0.64063
72.0,0.001619,0.7929
73.0,0.001493,0.76665
74.0,0.001081,0.58178
75.0,0.000618,0.34844
76.0,0.000348,0.20492
77.0,0.000387,0.23815
78.0,0.000672,0.43219
79.0,0.001005,0.67491
80.0,0.001172,0.821
81.0,0.001064,0.7763
82.0,0.000731,0.55526
83.0,0.000351,0.27744
84.0,0.000125,0.10256
85.0,0.000164,0.13977
86.0,0.000431,0.38232
87.0,0.000767,0.7065
88.0,0.000982,0.93783
89.0,0.000958,0.94886
90.0,0.000715,0.73356
91.0,0.000391,0.41484
92.0,0.000162,0.17846
93.0,0.000149,0.16874
94.0,0.000345,0.40459
95.0,0.000631,0.76455
96.0,0.000841,1.0518
97.0,0.000856,1.1048
98.0,0.000669,0.89092
99.0,0.000386,0.53001
100.0,0.000163,0.23091
101.0,0.00012,0.17486
102.0,0.000274,0.41064
103.0,0.000534,0.82175
104.0,0.00075,1.1871
105.0,0.000802,1.3034
106.0,0.00066,1.1024
107.0,0.000405,0.69413
108.0,0.000177,0.31098
109.0,9.9464e-05,0.17926
110.0,0.000211,0.39012
111.0,0.000445,0.84296
112.0,0.000669,1.2962
113.0,0.000756,1.5
114.0,0.00066,1.339
115.0,0.000435,0.90243
116.0,0.000208,0.4407
117.0,0.000105,0.22857
118.0,0.000185,0.40901
119.0,0.000401,0.90669
120.0,0.000634,1.4625
121.0,0.000753,1.7738
122.0,0.000694,1.6653
123.0,0.000488,1.1934
124.0,0.00025,0.6233
125.0,0.000113,0.28661
126.0,0.000153,0.39592
127.0,0.000349,0.91955
128.0,0.000594,1.5902
129.0,0.000752,2.0471
130.0,0.000736,2.0374
131.0,0.000556,1.5631
132.0,0.000312,0.89073
133.0,0.000142,0.41112
134.0,0.000144,0.42309
135.0,0.000321,0.96074
136.0,0.000581,1.763
137.0,0.000783,2.4085
138.0,0.000817,2.5465
139.0,0.000664,2.0982
140.0,0.00041,1.3124
141.0,0.000198,0.64066
142.0,0.00015,0.49193
143.0,0.000302,1.0013
144.0,0.000579,1.942
145.0,0.000836,2.8364
146.0,0.000936,3.2123
147.0,0.000827,2.867
148.0,0.000569,1.9935
149.0,0.000308,1.0907
150.0,0.000196,0.6999
151.0,0.000307,1.1066
152.0,0.000597,2.1707
153.0,0.000923,3.3853
154.0,0.00112,4.1412
155.0,0.001089,4.0588
156.0,0.000854,3.2069
157.0,0.000551,2.0846
158.0,0.000358,1.3654
159.0,0.000401,1.5358
160.0,0.00068,2.6241
161.0,0.001074,4.171
162.0,0.001401,5.4687
163.0,0.001515,5.9476
164.0,0.001395,5.5018
165.0,0.001153,4.5725
166.0,0.000987,3.9297
167.0,0.001065,4.258
168.0,0.001436,5.7633
169.0,0.001991,8.0184
170.0,0.002511,10.146
171.0,0.002778,11.259
172.0,0.002692,10.939
173.0,0.002333,9.4991
174.0,0.00193,7.8739
175.0,0.001757,7.1814
176.0,0.001993,8.1584
177.0,0.002625,10.756
178.0,0.003441,14.109
179.0,0.004121,16.905
179.99,0.004385,17.989
