input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_3H_dp_n_10.0MeV.out,p_t_dp_n,multi_body,multibody_flat,10.0,-6.257230048095401,1710537756900.5923,d;n;p
p_3H_dp_n_100.0MeV.out,p_t_dp_n,multi_body,multibody_flat,100.0,-6.257230048095401,17105378185.6276,d;n;p
p_3H_dp_n_105.0MeV.out,p_t_dp_n,multi_body,multibody_flat,105.0,-6.257230048095401,15515070381.157003,d;n;p
p_3H_dp_n_110.0MeV.out,p_t_dp_n,multi_body,multibody_flat,110.0,-6.257230048095401,14136707930.433735,d;n;p
p_3H_dp_n_115.0MeV.out,p_t_dp_n,multi_body,multibody_flat,115.0,-6.257230048095401,12933930005.29333,d;n;p
p_3H_dp_n_120.0MeV.out,p_t_dp_n,multi_body,multibody_flat,120.0,-6.257230048095401,11878509120.66167,d;n;p
p_3H_dp_n_125.0MeV.out,p_t_dp_n,multi_body,multibody_flat,125.0,-6.257230048095401,10947480542.974669,d;n;p
p_3H_dp_n_130.0MeV.out,p_t_dp_n,multi_body,multibody_flat,130.0,-6.257230048095401,10121706994.247591,d;n;p
p_3H_dp_n_135.0MeV.out,p_t_dp_n,multi_body,multibody_flat,135.0,-6.257230048095401,9385400220.186659,d;n;p
p_3H_dp_n_140.0MeV.out,p_t_dp_n,multi_body,multibody_flat,140.0,-6.257230048095401,8727077853.920944,d;n;p
p_3H_dp_n_145.0MeV.out,p_t_dp_n,multi_body,multibody_flat,145.0,-6.257230048095401,8135735960.658174,d;n;p
p_3H_dp_n_15.0MeV.out,p_t_dp_n,multi_body,multibody_flat,15.0,-6.257230048095401,760228371454.7542,d;n;p
p_3H_dp_n_150.0MeV.out,p_t_dp_n,multi_body,multibody_flat,150.0,-6.257230048095401,7602284333.315414,d;n;p
p_3H_dp_n_155.0MeV.out,p_t_dp_n,multi_body,multibody_flat,155.0,-6.257230048095401,7119546492.676369,d;n;p
p_3H_dp_n_160.0MeV.out,p_t_dp_n,multi_body,multibody_flat,160.0,-6.257230048095401,6681781255.298251,d;n;p
p_3H_dp_n_165.0MeV.out,p_t_dp_n,multi_body,multibody_flat,165.0,-6.257230048095401,6282769005.807807,d;n;p
p_3H_dp_n_170.0MeV.out,p_t_dp_n,multi_body,multibody_flat,170.0,-6.257230048095401,5918682288.641671,d;n;p
p_3H_dp_n_175.0MeV.out,p_t_dp_n,multi_body,multibody_flat,175.0,-6.257230048095401,5585215216.315902,d;n;p
p_3H_dp_n_180.0MeV.out,p_t_dp_n,multi_body,multibody_flat,180.0,-6.257230048095401,5279497197.029656,d;n;p
p_3H_dp_n_185.0MeV.out,p_t_dp_n,multi_body,multibody_flat,185.0,-6.257230048095401,4997700775.263264,d;n;p
p_3H_dp_n_190.0MeV.out,p_t_dp_n,multi_body,multibody_flat,190.0,-6.257230048095401,4738294968.716535,d;n;p
p_3H_dp_n_195.0MeV.out,p_t_dp_n,multi_body,multibody_flat,195.0,-6.257230048095401,4498409185.723735,d;n;p
p_3H_dp_n_20.0MeV.out,p_t_dp_n,multi_body,multibody_flat,20.0,-6.257230048095401,427636831701.84033,d;n;p
p_3H_dp_n_200.0MeV.out,p_t_dp_n,multi_body,multibody_flat,200.0,-6.257230048095401,4276321071.25511,d;n;p
p_3H_dp_n_205.0MeV.out,p_t_dp_n,multi_body,multibody_flat,205.0,-6.257230048095401,4070260427.1027293,d;n;p
p_3H_dp_n_210.0MeV.out,p_t_dp_n,multi_body,multibody_flat,210.0,-6.257230048095401,3878744114.2244916,d;n;p
p_3H_dp_n_215.0MeV.out,p_t_dp_n,multi_body,multibody_flat,215.0,-6.257230048095401,3700432523.1496162,d;n;p
p_3H_dp_n_220.0MeV.out,p_t_dp_n,multi_body,multibody_flat,220.0,-6.257230048095401,3534129574.0309153,d;n;p
p_3H_dp_n_225.0MeV.out,p_t_dp_n,multi_body,multibody_flat,225.0,-6.257230048095401,3378782716.568081,d;n;p
p_3H_dp_n_230.0MeV.out,p_t_dp_n,multi_body,multibody_flat,230.0,-6.257230048095401,3233482930.058523,d;n;p
p_3H_dp_n_235.0MeV.out,p_t_dp_n,multi_body,multibody_flat,235.0,-6.257230048095401,3097369036.9966173,d;n;p
p_3H_dp_n_240.0MeV.out,p_t_dp_n,multi_body,multibody_flat,240.0,-6.257230048095401,2969627703.069804,d;n;p
p_3H_dp_n_245.0MeV.out,p_t_dp_n,multi_body,multibody_flat,245.0,-6.257230048095401,2849684809.9357314,d;n;p
p_3H_dp_n_25.0MeV.out,p_t_dp_n,multi_body,multibody_flat,25.0,-6.257230048095401,273686998364.9796,d;n;p
p_3H_dp_n_250.0MeV.out,p_t_dp_n,multi_body,multibody_flat,250.0,-6.257230048095401,2736822709.6755075,d;n;p
p_3H_dp_n_255.0MeV.out,p_t_dp_n,multi_body,multibody_flat,255.0,-6.257230048095401,2630562970.3403788,d;n;p
p_3H_dp_n_260.0MeV.out,p_t_dp_n,multi_body,multibody_flat,260.0,-6.257230048095401,2530331473.59213,d;n;p
p_3H_dp_n_265.0MeV.out,p_t_dp_n,multi_body,multibody_flat,265.0,-6.257230048095401,2435745473.8219333,d;n;p
p_3H_dp_n_270.0MeV.out,p_t_dp_n,multi_body,multibody_flat,270.0,-6.257230048095401,2346374382.335839,d;n;p
p_3H_dp_n_275.0MeV.out,p_t_dp_n,multi_body,multibody_flat,275.0,-6.257230048095401,2261835453.593624,d;n;p
p_3H_dp_n_280.0MeV.out,p_t_dp_n,multi_body,multibody_flat,280.0,-6.257230048095401,2181745942.009412,d;n;p
p_3H_dp_n_285.0MeV.out,p_t_dp_n,multi_body,multibody_flat,285.0,-6.257230048095401,2105866631.6029103,d;n;p
p_3H_dp_n_290.0MeV.out,p_t_dp_n,multi_body,multibody_flat,290.0,-6.257230048095401,2033910463.206741,d;n;p
p_3H_dp_n_295.0MeV.out,p_t_dp_n,multi_body,multibody_flat,295.0,-6.257230048095401,1965542534.458781,d;n;p
p_3H_dp_n_30.0MeV.out,p_t_dp_n,multi_body,multibody_flat,30.0,-6.257230048095401,190061877583.63168,d;n;p
p_3H_dp_n_300.0MeV.out,p_t_dp_n,multi_body,multibody_flat,300.0,-6.257230048095401,1900571472.5774248,d;n;p
p_3H_dp_n_305.0MeV.out,p_t_dp_n,multi_body,multibody_flat,305.0,-6.257230048095401,1838758061.5901432,d;n;p
p_3H_dp_n_310.0MeV.out,p_t_dp_n,multi_body,multibody_flat,310.0,-6.257230048095401,1779910928.7172868,d;n;p
p_3H_dp_n_315.0MeV.out,p_t_dp_n,multi_body,multibody_flat,315.0,-6.257230048095401,1723838701.1753967,d;n;p
p_3H_dp_n_320.0MeV.out,p_t_dp_n,multi_body,multibody_flat,320.0,-6.257230048095401,1670397849.3834577,d;n;p
p_3H_dp_n_325.0MeV.out,p_t_dp_n,multi_body,multibody_flat,325.0,-6.257230048095401,1619397000.5599544,d;n;p
p_3H_dp_n_330.0MeV.out,p_t_dp_n,multi_body,multibody_flat,330.0,-6.257230048095401,1570692625.110453,d;n;p
p_3H_dp_n_335.0MeV.out,p_t_dp_n,multi_body,multibody_flat,335.0,-6.257230048095401,1524141193.4708161,d;n;p
p_3H_dp_n_340.0MeV.out,p_t_dp_n,multi_body,multibody_flat,340.0,-6.257230048095401,1479647019.2399526,d;n;p
p_3H_dp_n_345.0MeV.out,p_t_dp_n,multi_body,multibody_flat,345.0,-6.257230048095401,1437066572.8349884,d;n;p
p_3H_dp_n_35.0MeV.out,p_t_dp_n,multi_body,multibody_flat,35.0,-6.257230048095401,139635149910.5362,d;n;p
p_3H_dp_n_350.0MeV.out,p_t_dp_n,multi_body,multibody_flat,350.0,-6.257230048095401,1396304167.8640027,d;n;p
p_3H_dp_n_355.0MeV.out,p_t_dp_n,multi_body,multibody_flat,355.0,-6.257230048095401,1357264117.936997,d;n;p
p_3H_dp_n_360.0MeV.out,p_t_dp_n,multi_body,multibody_flat,360.0,-6.257230048095401,1319802893.4730313,d;n;p
p_3H_dp_n_365.0MeV.out,p_t_dp_n,multi_body,multibody_flat,365.0,-6.257230048095401,1283920494.4659247,d;n;p
p_3H_dp_n_370.0MeV.out,p_t_dp_n,multi_body,multibody_flat,370.0,-6.257230048095401,1249425548.1399765,d;n;p
p_3H_dp_n_375.0MeV.out,p_t_dp_n,multi_body,multibody_flat,375.0,-6.257230048095401,1216365897.6857007,d;n;p
p_3H_dp_n_380.0MeV.out,p_t_dp_n,multi_body,multibody_flat,380.0,-6.257230048095401,1184550170.3293216,d;n;p
p_3H_dp_n_385.0MeV.out,p_t_dp_n,multi_body,multibody_flat,385.0,-6.257230048095401,1153978366.068505,d;n;p
p_3H_dp_n_390.0MeV.out,p_t_dp_n,multi_body,multibody_flat,390.0,-6.257230048095401,1124554798.4793565,d;n;p
p_3H_dp_n_395.0MeV.out,p_t_dp_n,multi_body,multibody_flat,395.0,-6.257230048095401,1096279467.5973175,d;n;p
p_3H_dp_n_40.0MeV.out,p_t_dp_n,multi_body,multibody_flat,40.0,-6.257230048095401,106910404436.42929,d;n;p
p_3H_dp_n_400.0MeV.out,p_t_dp_n,multi_body,multibody_flat,400.0,-6.257230048095401,1069056687.0550494,d;n;p
p_3H_dp_n_45.0MeV.out,p_t_dp_n,multi_body,multibody_flat,45.0,-6.257230048095401,84471945915.87485,d;n;p
p_3H_dp_n_5.0MeV.out,p_t_dp_n,multi_body,multibody_flat,5.0,-6.257230048095401,6842055340013.597,d;n;p
p_3H_dp_n_50.0MeV.out,p_t_dp_n,multi_body,multibody_flat,50.0,-6.257230048095401,68420553947.655655,d;n;p
p_3H_dp_n_55.0MeV.out,p_t_dp_n,multi_body,multibody_flat,55.0,-6.257230048095401,56545872916.55565,d;n;p
p_3H_dp_n_60.0MeV.out,p_t_dp_n,multi_body,multibody_flat,60.0,-6.257230048095401,47514991406.307594,d;n;p
p_3H_dp_n_65.0MeV.out,p_t_dp_n,multi_body,multibody_flat,65.0,-6.257230048095401,40486347614.142975,d;n;p
p_3H_dp_n_70.0MeV.out,p_t_dp_n,multi_body,multibody_flat,70.0,-6.257230048095401,34908787931.34886,d;n;p
p_3H_dp_n_75.0MeV.out,p_t_dp_n,multi_body,multibody_flat,75.0,-6.257230048095401,30409613867.131462,d;n;p
p_3H_dp_n_80.0MeV.out,p_t_dp_n,multi_body,multibody_flat,80.0,-6.257230048095401,26727123143.564827,d;n;p
p_3H_dp_n_85.0MeV.out,p_t_dp_n,multi_body,multibody_flat,85.0,-6.257230048095401,23675205731.19969,d;n;p
p_3H_dp_n_90.0MeV.out,p_t_dp_n,multi_body,multibody_flat,90.0,-6.257230048095401,21117986955.669254,d;n;p
p_3H_dp_n_95.0MeV.out,p_t_dp_n,multi_body,multibody_flat,95.0,-6.257230048095401,18953082379.137962,d;n;p
