theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,8938200000000.0,0.99998
1.0,81361.0,0.9102
2.0,4984.824612,0.89213
3.0,1785.40942,1.6172
4.0,1443.783299,4.1318
5.0,1400.864379,9.783
6.0,1390.034204,20.118
7.0,1372.05914,36.765
8.0,1342.140662,61.304
9.0,1301.519263,95.144
10.0,1252.27918,139.39
11.0,1196.359912,194.76
12.0,1135.423719,261.49
13.0,1070.889467,339.26
14.0,1003.983261,427.23
15.0,935.77713,523.99
16.0,867.214276,627.63
17.0,799.124493,735.83
18.0,732.233371,845.93
19.0,667.167964,955.05
20.0,604.460728,1060.2
21.0,544.552898,1158.6
22.0,487.798,1247.4
23.0,434.465904,1324.1
24.0,384.747581,1386.9
25.0,338.760616,1434.2
26.0,296.555403,1464.9
27.0,258.1219,1478.8
28.0,223.396801,1476.2
29.0,192.270928,1457.7
30.0,164.596687,1424.8
31.0,140.195398,1379.4
32.0,118.864375,1323.6
33.0,100.383597,1260.0
34.0,84.521885,1191.4
35.0,71.042488,1120.6
36.0,59.708045,1050.3
37.0,50.284863,983.33
38.0,42.546538,922.12
39.0,36.276893,868.89
40.0,31.272295,825.51
41.0,27.343368,793.43
42.0,24.316158,773.69
43.0,22.032814,766.88
44.0,20.351841,773.15
45.0,19.147978,792.21
46.0,18.31178,823.38
47.0,17.748946,865.62
48.0,17.379457,917.58
49.0,17.136574,977.66
50.0,16.965735,1044.1
51.0,16.823395,1114.8
52.0,16.675844,1188.0
53.0,16.498031,1261.5
54.0,16.27241,1333.5
55.0,15.987844,1402.1
56.0,15.638558,1465.5
57.0,15.223178,1522.3
58.0,14.74384,1571.3
59.0,14.205392,1611.3
60.0,13.614675,1641.5
61.0,12.9799,1661.5
62.0,12.310107,1671.0
63.0,11.614703,1670.0
64.0,10.903085,1658.6
65.0,10.184336,1637.4
66.0,9.466978,1607.0
67.0,8.758804,1568.0
68.0,8.066749,1521.6
69.0,7.396816,1468.6
70.0,6.754042,1410.2
71.0,6.142498,1347.5
72.0,5.565315,1281.5
73.0,5.024737,1213.4
74.0,4.522186,1144.3
75.0,4.058339,1075.2
76.0,3.633213,1007.0
77.0,3.246254,940.45
78.0,2.896426,876.41
79.0,2.582293,815.46
80.0,2.302107,758.14
81.0,2.053876,704.87
82.0,1.83544,655.95
83.0,1.644527,611.58
84.0,1.47881,571.89
85.0,1.335952,536.88
86.0,1.213645,506.5
87.0,1.109645,480.61
88.0,1.021795,458.99
89.0,0.948046,441.4
90.0,0.886475,427.53
91.0,0.835294,417.03
92.0,0.792857,409.53
93.0,0.757667,404.65
94.0,0.728375,402.0
95.0,0.70378,401.16
96.0,0.682822,401.75
97.0,0.664584,403.39
98.0,0.64828,405.73
99.0,0.63325,408.43
100.0,0.61895,411.18
101.0,0.604944,413.71
102.0,0.590895,415.79
103.0,0.576551,417.23
104.0,0.561739,417.85
105.0,0.546351,417.54
106.0,0.530338,416.2
107.0,0.513697,413.79
108.0,0.496463,410.27
109.0,0.478699,405.66
110.0,0.46049,399.98
111.0,0.441937,393.27
112.0,0.423146,385.61
113.0,0.40423,377.06
114.0,0.385297,367.72
115.0,0.366454,357.68
116.0,0.347798,347.03
117.0,0.329418,335.87
118.0,0.311394,324.29
119.0,0.293794,312.38
120.0,0.276675,300.23
121.0,0.260086,287.91
122.0,0.244062,275.51
123.0,0.228632,263.08
124.0,0.213816,250.69
125.0,0.199627,238.39
126.0,0.186071,226.23
127.0,0.17315,214.26
128.0,0.16086,202.51
129.0,0.149195,191.01
130.0,0.138147,179.8
131.0,0.127706,168.91
132.0,0.117861,158.36
133.0,0.1086,148.18
134.0,0.099912,138.38
135.0,0.091787,129.0
136.0,0.084214,120.06
137.0,0.077185,111.58
138.0,0.070694,103.6
139.0,0.064734,96.125
140.0,0.059302,89.2
141.0,0.054395,82.851
142.0,0.050012,77.111
143.0,0.046155,72.011
144.0,0.042824,67.587
145.0,0.040021,63.873
146.0,0.037749,60.905
147.0,0.036012,58.716
148.0,0.034812,57.339
149.0,0.03415,56.805
150.0,0.034027,57.141
151.0,0.03444,58.37
152.0,0.035386,60.507
153.0,0.036857,63.563
154.0,0.038843,67.541
155.0,0.041328,72.432
156.0,0.044294,78.219
157.0,0.047715,84.876
158.0,0.051564,92.361
159.0,0.055807,100.63
160.0,0.060404,109.6
161.0,0.065312,119.22
162.0,0.070483,129.4
163.0,0.075866,140.03
164.0,0.081403,151.01
165.0,0.087036,162.23
166.0,0.092705,173.56
167.0,0.098346,184.89
168.0,0.103896,196.07
169.0,0.10929,206.98
170.0,0.114467,217.48
171.0,0.119364,227.44
172.0,0.123924,236.74
173.0,0.128091,245.26
174.0,0.131813,252.89
175.0,0.135046,259.53
176.0,0.137748,265.08
177.0,0.139886,269.49
178.0,0.141433,272.67
179.0,0.142369,274.6
179.99,0.142683,275.25
