E_lab_MeV,sigma_tot_mb
5.0,6842055340013.597
10.0,1710537756900.5923
15.0,760228371454.7542
20.0,427636831701.84033
25.0,273686998364.9796
30.0,190061877583.63168
35.0,139635149910.5362
40.0,106910404436.42929
45.0,84471945915.87485
50.0,68420553947.655655
55.0,56545872916.55565
60.0,47514991406.307594
65.0,40486347614.142975
70.0,34908787931.34886
75.0,30409613867.131462
80.0,26727123143.564827
85.0,23675205731.19969
90.0,21117986955.669254
95.0,18953082379.137962
100.0,17105378185.6276
105.0,15515070381.157003
110.0,14136707930.433735
115.0,12933930005.29333
120.0,11878509120.66167
125.0,10947480542.974669
130.0,10121706994.247591
135.0,9385400220.186659
140.0,8727077853.920944
145.0,8135735960.658174
150.0,7602284333.315414
155.0,7119546492.676369
160.0,6681781255.298251
165.0,6282769005.807807
170.0,5918682288.641671
175.0,5585215216.315902
180.0,5279497197.029656
185.0,4997700775.263264
190.0,4738294968.716535
195.0,4498409185.723735
200.0,4276321071.25511
205.0,4070260427.1027293
210.0,3878744114.2244916
215.0,3700432523.1496162
220.0,3534129574.0309153
225.0,3378782716.568081
230.0,3233482930.058523
235.0,3097369036.9966173
240.0,2969627703.069804
245.0,2849684809.9357314
250.0,2736822709.6755075
255.0,2630562970.3403788
260.0,2530331473.59213
265.0,2435745473.8219333
270.0,2346374382.335839
275.0,2261835453.593624
280.0,2181745942.009412
285.0,2105866631.6029103
290.0,2033910463.206741
295.0,1965542534.458781
300.0,1900571472.5774248
305.0,1838758061.5901432
310.0,1779910928.7172868
315.0,1723838701.1753967
320.0,1670397849.3834577
325.0,1619397000.5599544
330.0,1570692625.110453
335.0,1524141193.4708161
340.0,1479647019.2399526
345.0,1437066572.8349884
350.0,1396304167.8640027
355.0,1357264117.936997
360.0,1319802893.4730313
365.0,1283920494.4659247
370.0,1249425548.1399765
375.0,1216365897.6857007
380.0,1184550170.3293216
385.0,1153978366.068505
390.0,1124554798.4793565
395.0,1096279467.5973175
400.0,1069056687.0550494
