input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_3H_pnn_p_10.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,10.0,-8.4817960913874,1710537756900.5923,n;p
p_3H_pnn_p_100.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,100.0,-8.4817960913874,17105378185.6276,n;p
p_3H_pnn_p_105.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,105.0,-8.4817960913874,15515070381.157003,n;p
p_3H_pnn_p_110.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,110.0,-8.4817960913874,14136707930.433735,n;p
p_3H_pnn_p_115.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,115.0,-8.4817960913874,12933930005.29333,n;p
p_3H_pnn_p_120.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,120.0,-8.4817960913874,11878509120.66167,n;p
p_3H_pnn_p_125.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,125.0,-8.4817960913874,10947480542.974669,n;p
p_3H_pnn_p_130.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,130.0,-8.4817960913874,10121706994.247591,n;p
p_3H_pnn_p_135.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,135.0,-8.4817960913874,9385400220.186659,n;p
p_3H_pnn_p_140.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,140.0,-8.4817960913874,8727077853.920944,n;p
p_3H_pnn_p_145.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,145.0,-8.4817960913874,8135735960.658174,n;p
p_3H_pnn_p_15.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,15.0,-8.4817960913874,760228371454.7542,n;p
p_3H_pnn_p_150.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,150.0,-8.4817960913874,7602284333.315414,n;p
p_3H_pnn_p_155.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,155.0,-8.4817960913874,7119546492.676369,n;p
p_3H_pnn_p_160.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,160.0,-8.4817960913874,6681781255.298251,n;p
p_3H_pnn_p_165.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,165.0,-8.4817960913874,6282769005.807807,n;p
p_3H_pnn_p_170.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,170.0,-8.4817960913874,5918682288.641671,n;p
p_3H_pnn_p_175.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,175.0,-8.4817960913874,5585215216.315902,n;p
p_3H_pnn_p_180.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,180.0,-8.4817960913874,5279497197.029656,n;p
p_3H_pnn_p_185.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,185.0,-8.4817960913874,4997700775.263264,n;p
p_3H_pnn_p_190.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,190.0,-8.4817960913874,4738294968.716535,n;p
p_3H_pnn_p_195.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,195.0,-8.4817960913874,4498409185.723735,n;p
p_3H_pnn_p_20.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,20.0,-8.4817960913874,427636831701.84033,n;p
p_3H_pnn_p_200.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,200.0,-8.4817960913874,4276321071.25511,n;p
p_3H_pnn_p_205.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,205.0,-8.4817960913874,4070260427.1027293,n;p
p_3H_pnn_p_210.0MeV.out,p_t_pnn_p,multi_body,multibody_flat,210.0,-8.4817960913874,3878744114.2244916,n;p
