theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,143010000000000.0,1.0
1.0,1418500.0,0.99179
2.0,87624.0,0.98013
3.0,17377.0,0.98377
4.0,5748.212191,1.0281
5.0,2625.635689,1.146
6.0,1522.483357,1.3772
7.0,1055.308775,1.7673
8.0,829.111568,2.3669
9.0,706.928907,3.2299
10.0,634.159272,4.4118
11.0,586.619103,5.9688
12.0,552.68149,7.9552
13.0,526.379782,10.422
14.0,504.488001,13.417
15.0,485.188359,16.98
16.0,467.423811,21.143
17.0,450.566289,25.93
18.0,434.238723,31.354
19.0,418.215653,37.417
20.0,402.365731,44.11
21.0,386.617352,51.41
22.0,370.93752,59.283
23.0,355.318485,67.682
24.0,339.769077,76.548
25.0,324.308946,85.811
26.0,308.964654,95.389
27.0,293.766957,105.19
28.0,278.748879,115.12
29.0,263.944322,125.07
30.0,249.387052,134.93
31.0,235.109942,144.58
32.0,221.144413,153.91
33.0,207.520008,162.8
34.0,194.264087,171.15
35.0,181.401595,178.83
36.0,168.954905,185.75
37.0,156.943714,191.82
38.0,145.384988,196.94
39.0,134.29294,201.03
40.0,123.679043,204.05
41.0,113.552078,205.94
42.0,103.918196,206.65
43.0,94.781004,206.19
44.0,86.141672,204.53
45.0,77.99905,201.69
46.0,70.349798,197.7
47.0,63.188528,192.61
48.0,56.507952,186.47
49.0,50.299029,179.35
50.0,44.55113,171.35
51.0,39.252188,162.57
52.0,34.388862,153.12
53.0,29.946688,143.12
54.0,25.910238,132.71
55.0,22.263265,122.02
56.0,18.988853,111.22
57.0,16.069554,100.44
58.0,13.487519,89.837
59.0,11.224628,79.573
60.0,9.262604,69.799
61.0,7.583128,60.668
62.0,6.167936,52.328
63.0,4.998915,44.921
64.0,4.058189,38.584
65.0,3.328196,33.443
66.0,2.791753,29.617
67.0,2.43212,27.213
68.0,2.233053,26.326
69.0,2.178845,27.038
70.0,2.254368,29.419
71.0,2.445101,33.523
72.0,2.737158,39.392
73.0,3.117302,47.051
74.0,3.572963,56.509
75.0,4.09224,67.762
76.0,4.66391,80.789
77.0,5.277425,95.556
78.0,5.922906,112.01
79.0,6.591138,130.09
80.0,7.273555,149.71
81.0,7.962233,170.78
82.0,8.649868,193.2
83.0,9.329764,216.85
84.0,9.995812,241.6
85.0,10.642472,267.31
86.0,11.264752,293.83
87.0,11.858187,321.0
88.0,12.418819,348.66
89.0,12.943173,376.64
90.0,13.428239,404.76
91.0,13.871449,432.84
92.0,14.270659,460.7
93.0,14.624123,488.15
94.0,14.930481,515.01
95.0,15.188732,541.1
96.0,15.398221,566.24
97.0,15.558617,590.24
98.0,15.669901,612.95
99.0,15.732342,634.18
100.0,15.746485,653.79
101.0,15.713135,671.62
102.0,15.633342,687.54
103.0,15.508384,701.42
104.0,15.339754,713.15
105.0,15.129146,722.63
106.0,14.878441,729.77
107.0,14.589694,734.51
108.0,14.265119,736.79
109.0,13.907077,736.57
110.0,13.518062,733.85
111.0,13.100688,728.63
112.0,12.657677,720.92
113.0,12.191841,710.77
114.0,11.706074,698.25
115.0,11.203336,683.44
116.0,10.686639,666.44
117.0,10.159034,647.37
118.0,9.623593,626.38
119.0,9.083403,603.62
120.0,8.541544,579.29
121.0,8.001078,553.57
122.0,7.465034,526.68
123.0,6.936395,498.84
124.0,6.418081,470.31
125.0,5.912937,441.32
126.0,5.42372,412.15
127.0,4.953082,383.07
128.0,4.503558,354.35
129.0,4.077557,326.28
130.0,3.677341,299.14
131.0,3.305023,273.21
132.0,2.962547,248.78
133.0,2.651685,226.13
134.0,2.374021,205.51
135.0,2.130946,187.18
136.0,1.923649,171.41
137.0,1.753111,158.4
138.0,1.620097,148.38
139.0,1.525154,141.55
140.0,1.468606,138.07
141.0,1.450552,138.09
142.0,1.470865,141.74
143.0,1.529193,149.12
144.0,1.624961,160.29
145.0,1.757372,175.3
146.0,1.925413,194.15
147.0,2.12786,216.83
148.0,2.363286,243.29
149.0,2.630066,273.43
150.0,2.926392,307.15
151.0,3.250275,344.29
152.0,3.599568,384.68
153.0,3.971967,428.12
154.0,4.365034,474.37
155.0,4.776207,523.17
156.0,5.202814,574.24
157.0,5.642096,627.26
158.0,6.091216,681.91
159.0,6.547281,737.84
160.0,7.007357,794.69
161.0,7.468492,852.08
162.0,7.927727,909.63
163.0,8.382121,966.95
164.0,8.828765,1023.6
165.0,9.264802,1079.3
166.0,9.687444,1133.6
167.0,10.093992,1186.0
168.0,10.481847,1236.3
169.0,10.848535,1284.1
170.0,11.191713,1329.0
171.0,11.509191,1370.6
172.0,11.798944,1408.8
173.0,12.059123,1443.1
174.0,12.288069,1473.5
175.0,12.484319,1499.5
176.0,12.646624,1521.1
177.0,12.773947,1538.0
178.0,12.865477,1550.2
179.0,12.920629,1557.6
179.99,12.939051,1560.0
