input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_3He_dp_p_10.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,10.0,-5.49342330533787,6842055339126.502,d;p
p_3He_dp_p_100.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,100.0,-5.49342330533787,68420553904.80458,d;p
p_3He_dp_p_105.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,105.0,-5.49342330533787,62062193274.364975,d;p
p_3He_dp_p_110.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,110.0,-5.49342330533787,56545872877.779755,d;p
p_3He_dp_p_115.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,115.0,-5.49342330533787,51737631768.29622,d;p
p_3He_dp_p_120.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,120.0,-5.49342330533787,47514991366.905106,d;p
p_3He_dp_p_125.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,125.0,-5.49342330533787,43789920194.44291,d;p
p_3He_dp_p_130.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,130.0,-5.49342330533787,40485869138.79715,d;p
p_3He_dp_p_135.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,135.0,-5.49342330533787,37542555774.157394,d;p
p_3He_dp_p_140.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,140.0,-5.49342330533787,34908787881.78925,d;p
p_3He_dp_p_145.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,145.0,-5.49342330533787,32542941881.933685,d;p
p_3He_dp_p_15.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,15.0,-5.49342330533787,3040961327222.987,d;p
p_3He_dp_p_150.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,150.0,-5.49342330533787,30409613810.24799,d;p
p_3He_dp_p_155.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,155.0,-5.49342330533787,28479140885.76461,d;p
p_3He_dp_p_160.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,160.0,-5.49342330533787,26727123078.976665,d;p
p_3He_dp_p_165.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,165.0,-5.49342330533787,25131552520.15056,d;p
p_3He_dp_p_170.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,170.0,-5.49342330533787,23675205658.763412,d;p
p_3He_dp_p_175.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,175.0,-5.49342330533787,22341815808.96523,d;p
p_3He_dp_p_180.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,180.0,-5.49342330533787,21117508443.992348,d;p
p_3He_dp_p_185.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,185.0,-5.49342330533787,19991758060.856598,d;p
p_3He_dp_p_190.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,190.0,-5.49342330533787,18953082292.79683,d;p
p_3He_dp_p_195.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,195.0,-5.49342330533787,17993826228.552753,d;p
p_3He_dp_p_20.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,20.0,-5.49342330533787,1710537756431.4785,d;p
p_3He_dp_p_200.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,200.0,-5.49342330533787,17105378093.028692,d;p
p_3He_dp_p_205.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,205.0,-5.49342330533787,16281039838.93739,d;p
p_3He_dp_p_210.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,210.0,-5.49342330533787,15515070282.842932,d;p
p_3He_dp_p_215.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,215.0,-5.49342330533787,14801728241.337645,d;p
p_3He_dp_p_220.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,220.0,-5.49342330533787,14136707826.826916,d;p
p_3He_dp_p_225.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,225.0,-5.49342330533787,13515224719.877441,d;p
p_3He_dp_p_230.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,230.0,-5.49342330533787,12933929896.815924,d;p
p_3He_dp_p_235.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,235.0,-5.49342330533787,12389474333.96928,d;p
p_3He_dp_p_240.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,240.0,-5.49342330533787,11878509007.680267,d;p
p_3He_dp_p_245.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,245.0,-5.49342330533787,11398641758.214329,d;p
p_3He_dp_p_25.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,25.0,-5.49342330533787,1094747991693.6461,d;p
p_3He_dp_p_250.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,250.0,-5.49342330533787,10947480425.783709,d;p
p_3He_dp_p_255.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,255.0,-5.49342330533787,10522154418.737423,d;p
p_3He_dp_p_260.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,260.0,-5.49342330533787,10121228441.20672,d;p
p_3He_dp_p_265.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,265.0,-5.49342330533787,9743267197.187574,d;p
p_3He_dp_p_270.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,270.0,-5.49342330533787,9385400095.199707,d;p
p_3He_dp_p_275.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,275.0,-5.49342330533787,9047148703.234507,d;p
p_3He_dp_p_280.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,280.0,-5.49342330533787,8727077725.423252,d;p
p_3He_dp_p_285.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,285.0,-5.49342330533787,8423751865.8958025,d;p
p_3He_dp_p_290.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,290.0,-5.49342330533787,8135735828.840075,d;p
p_3He_dp_p_295.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,295.0,-5.49342330533787,7862072750.315757,d;p
p_3He_dp_p_30.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,30.0,-5.49342330533787,760228371258.3062,d;p
p_3He_dp_p_300.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,300.0,-5.49342330533787,7602284198.369068,d;p
p_3He_dp_p_305.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,305.0,-5.49342330533787,7354934877.189509,d;p
p_3He_dp_p_310.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,310.0,-5.49342330533787,7119546354.785929,d;p
p_3He_dp_p_315.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,315.0,-5.49342330533787,6895640199.186692,d;p
p_3He_dp_p_320.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,320.0,-5.49342330533787,6681781114.620745,d;p
p_3He_dp_p_325.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,325.0,-5.49342330533787,6477490669.078845,d;p
p_3He_dp_p_330.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,330.0,-5.49342330533787,6282768862.543224,d;p
p_3He_dp_p_335.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,335.0,-5.49342330533787,6096658831.161095,d;p
p_3He_dp_p_340.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,340.0,-5.49342330533787,5918682142.968269,d;p
p_3He_dp_p_345.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,345.0,-5.49342330533787,5748360366.013933,d;p
p_3He_dp_p_35.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,35.0,-5.49342330533787,558521460546.9755,d;p
p_3He_dp_p_350.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,350.0,-5.49342330533787,5585215068.347463,d;p
p_3He_dp_p_355.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,355.0,-5.49342330533787,5429246249.93362,d;p
p_3He_dp_p_360.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,360.0,-5.49342330533787,5279497046.918414,d;p
p_3He_dp_p_365.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,365.0,-5.49342330533787,5135489027.353639,d;p
p_3He_dp_p_370.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,370.0,-5.49342330533787,4997700623.146508,d;p
p_3He_dp_p_375.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,375.0,-5.49342330533787,4865653402.358652,d;p
p_3He_dp_p_380.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,380.0,-5.49342330533787,4738246971.54082,d;p
p_3He_dp_p_385.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,385.0,-5.49342330533787,4615959762.606327,d;p
p_3He_dp_p_390.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,390.0,-5.49342330533787,4498361186.745806,d;p
p_3He_dp_p_395.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,395.0,-5.49342330533787,4385212028.056004,d;p
p_3He_dp_p_40.0MeV.out,p_he3_dp_p,multi_body,multibody_flat,40.0,-5.49342330533787,427636831602.0498,d;p
