theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,143010000000000.0,1.0
1.0,1397500.0,0.97712
2.0,83294.0,0.93169
3.0,15860.0,0.89789
4.0,5152.030121,0.92149
5.0,2429.816435,1.0605
6.0,1529.527007,1.3835
7.0,1174.358055,1.9667
8.0,1012.539425,2.8906
9.0,927.269014,4.2366
10.0,874.37565,6.083
11.0,835.531635,8.5014
12.0,802.628257,11.553
13.0,771.940271,15.285
14.0,741.746356,19.727
15.0,711.287793,24.893
16.0,680.285568,30.771
17.0,648.705297,37.333
18.0,616.637957,44.524
19.0,584.237125,52.271
20.0,551.684859,60.479
21.0,519.172585,69.037
22.0,486.890085,77.815
23.0,455.018998,86.674
24.0,423.728919,95.464
25.0,393.175039,104.03
26.0,363.496762,112.22
27.0,334.816948,119.89
28.0,307.241598,126.89
29.0,280.859873,133.08
30.0,255.744354,138.37
31.0,231.951517,142.64
32.0,209.522369,145.82
33.0,188.483217,147.87
34.0,168.846564,148.75
35.0,150.612085,148.48
36.0,133.767676,147.07
37.0,118.290559,144.57
38.0,104.148409,141.08
39.0,91.300509,136.68
40.0,79.698889,131.49
41.0,69.289461,125.66
42.0,60.013118,119.34
43.0,51.806791,112.7
44.0,44.604459,105.9
45.0,38.338096,99.135
46.0,32.93855,92.566
47.0,28.336356,86.373
48.0,24.462471,80.722
49.0,21.248928,75.767
50.0,18.629418,71.652
51.0,16.539793,68.502
52.0,14.918495,66.425
53.0,13.706903,65.507
54.0,12.849624,65.813
55.0,12.294703,67.387
56.0,11.993787,70.247
57.0,11.902214,74.39
58.0,11.979068,79.789
59.0,12.187172,86.396
60.0,12.493048,94.142
61.0,12.86684,102.94
62.0,13.282197,112.68
63.0,13.716144,123.26
64.0,14.148915,134.52
65.0,14.563778,146.34
66.0,14.946845,158.57
67.0,15.286871,171.05
68.0,15.575044,183.62
69.0,15.804775,196.13
70.0,15.97149,208.42
71.0,16.072416,220.36
72.0,16.106379,231.8
73.0,16.073607,242.61
74.0,15.975534,252.66
75.0,15.81462,261.87
76.0,15.594184,270.13
77.0,15.318233,277.36
78.0,14.991324,283.51
79.0,14.618415,288.52
80.0,14.204749,292.37
81.0,13.755735,295.05
82.0,13.276848,296.55
83.0,12.77354,296.9
84.0,12.251161,296.11
85.0,11.714894,294.24
86.0,11.169692,291.35
87.0,10.620239,287.49
88.0,10.070907,282.74
89.0,9.52573,277.19
90.0,8.988379,270.93
91.0,8.462152,264.05
92.0,7.949964,256.65
93.0,7.454346,248.83
94.0,6.977449,240.68
95.0,6.52105,232.31
96.0,6.086566,223.82
97.0,5.675069,215.29
98.0,5.287302,206.82
99.0,4.923703,198.48
100.0,4.584421,190.34
101.0,4.269348,182.48
102.0,3.978136,174.95
103.0,3.710223,167.81
104.0,3.464863,161.08
105.0,3.241148,154.81
106.0,3.038032,149.01
107.0,2.85436,143.7
108.0,2.688886,138.88
109.0,2.540302,134.54
110.0,2.407257,130.68
111.0,2.288378,127.27
112.0,2.18229,124.29
113.0,2.087634,121.71
114.0,2.003085,119.48
115.0,1.927367,117.58
116.0,1.859265,115.95
117.0,1.797639,114.55
118.0,1.741432,113.35
119.0,1.689682,112.29
120.0,1.641527,111.33
121.0,1.59621,110.44
122.0,1.553084,109.57
123.0,1.511612,108.71
124.0,1.471372,107.82
125.0,1.43205,106.88
126.0,1.393443,105.89
127.0,1.355451,104.83
128.0,1.318075,103.71
129.0,1.281411,102.54
130.0,1.24564,101.33
131.0,1.211023,100.11
132.0,1.17789,98.915
133.0,1.146633,97.78
134.0,1.117693,96.753
135.0,1.091551,95.883
136.0,1.068717,95.227
137.0,1.049721,94.847
138.0,1.035099,94.804
139.0,1.025383,95.164
140.0,1.021095,95.994
141.0,1.022729,97.36
142.0,1.030747,99.327
143.0,1.04557,101.96
144.0,1.067566,105.31
145.0,1.097047,109.43
146.0,1.134257,114.38
147.0,1.179372,120.18
148.0,1.23249,126.88
149.0,1.293629,134.49
150.0,1.362727,143.03
151.0,1.439636,152.49
152.0,1.524123,162.88
153.0,1.615869,174.17
154.0,1.714476,186.32
155.0,1.81946,199.3
156.0,1.930263,213.04
157.0,2.046254,227.49
158.0,2.166733,242.56
159.0,2.290939,258.17
160.0,2.418055,274.23
161.0,2.54722,290.61
162.0,2.67753,307.22
163.0,2.808052,323.93
164.0,2.937833,340.62
165.0,3.065904,357.16
166.0,3.191297,373.43
167.0,3.313047,389.28
168.0,3.430209,404.59
169.0,3.541861,419.23
170.0,3.647116,433.07
171.0,3.745132,446.0
172.0,3.835117,457.91
173.0,3.916341,468.68
174.0,3.988142,478.22
175.0,4.04993,486.44
176.0,4.101196,493.27
177.0,4.141517,498.65
178.0,4.17056,502.53
179.0,4.188082,504.88
179.99,4.193939,505.66
