E_lab_MeV,sigma_tot_mb
5.0,27368699789456.484
10.0,6842055339126.502
15.0,3040961327222.987
20.0,1710537756431.4785
25.0,1094747991693.6461
30.0,760228371258.3062
35.0,558521460546.9755
40.0,427636831602.0498
45.0,337882997517.41394
50.0,273686998277.61703
55.0,226188274143.40265
60.0,190061877496.18304
65.0,161944431717.86414
70.0,139635149830.99387
75.0,121636539827.24956
80.0,106910404370.84169
85.0,94700820978.47758
90.0,84471945864.175
95.0,75812327549.41565
100.0,68420553904.80458
105.0,62062193274.364975
110.0,56545872877.779755
115.0,51737631768.29622
120.0,47514991366.905106
125.0,43789920194.44291
130.0,40485869138.79715
135.0,37542555774.157394
140.0,34908787881.78925
145.0,32542941881.933685
150.0,30409613810.24799
155.0,28479140885.76461
160.0,26727123078.976665
165.0,25131552520.15056
170.0,23675205658.763412
175.0,22341815808.96523
180.0,21117508443.992348
185.0,19991758060.856598
190.0,18953082292.79683
195.0,17993826228.552753
200.0,17105378093.028692
205.0,16281039838.93739
210.0,15515070282.842932
215.0,14801728241.337645
220.0,14136707826.826916
225.0,13515224719.877441
230.0,12933929896.815924
235.0,12389474333.96928
240.0,11878509007.680267
245.0,11398641758.214329
250.0,10947480425.783709
255.0,10522154418.737423
260.0,10121228441.20672
265.0,9743267197.187574
270.0,9385400095.199707
275.0,9047148703.234507
280.0,8727077725.423252
285.0,8423751865.8958025
290.0,8135735828.840075
295.0,7862072750.315757
300.0,7602284198.369068
305.0,7354934877.189509
310.0,7119546354.785929
315.0,6895640199.186692
320.0,6681781114.620745
325.0,6477490669.078845
330.0,6282768862.543224
335.0,6096658831.161095
340.0,5918682142.968269
345.0,5748360366.013933
350.0,5585215068.347463
355.0,5429246249.93362
360.0,5279497046.918414
365.0,5135489027.353639
370.0,4997700623.146508
375.0,4865653402.358652
380.0,4738246971.54082
385.0,4615959762.606327
390.0,4498361186.745806
395.0,4385212028.056004
400.0,4276273070.604411
