input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_3He_ppn_p_10.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,10.0,-7.717989348629868,6842055339126.502,n;p
p_3He_ppn_p_100.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,100.0,-7.717989348629868,68420553904.80458,n;p
p_3He_ppn_p_105.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,105.0,-7.717989348629868,62062193274.364975,n;p
p_3He_ppn_p_110.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,110.0,-7.717989348629868,56545872877.779755,n;p
p_3He_ppn_p_115.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,115.0,-7.717989348629868,51737631768.29622,n;p
p_3He_ppn_p_120.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,120.0,-7.717989348629868,47514991366.905106,n;p
p_3He_ppn_p_125.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,125.0,-7.717989348629868,43789920194.44291,n;p
p_3He_ppn_p_130.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,130.0,-7.717989348629868,40485869138.79715,n;p
p_3He_ppn_p_135.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,135.0,-7.717989348629868,37542555774.157394,n;p
p_3He_ppn_p_140.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,140.0,-7.717989348629868,34908787881.78925,n;p
p_3He_ppn_p_145.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,145.0,-7.717989348629868,32542941881.933685,n;p
p_3He_ppn_p_15.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,15.0,-7.717989348629868,3040961327222.987,n;p
p_3He_ppn_p_150.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,150.0,-7.717989348629868,30409613810.24799,n;p
p_3He_ppn_p_155.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,155.0,-7.717989348629868,28479140885.76461,n;p
p_3He_ppn_p_160.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,160.0,-7.717989348629868,26727123078.976665,n;p
p_3He_ppn_p_165.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,165.0,-7.717989348629868,25131552520.15056,n;p
p_3He_ppn_p_170.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,170.0,-7.717989348629868,23675205658.763412,n;p
p_3He_ppn_p_175.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,175.0,-7.717989348629868,22341815808.96523,n;p
p_3He_ppn_p_180.0MeV.out,p_he3_ppn_p,multi_body,multibody_flat,180.0,-7.717989348629868,21117508443.992348,n;p
