theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,572050000000000.0,1.0
1.0,5669800.0,0.99108
2.0,347950.0,0.97299
3.0,67391.0,0.95379
4.0,21058.0,0.9416
5.0,8667.748243,0.9458
6.0,4321.036029,0.97716
7.0,2502.338211,1.0477
8.0,1639.840584,1.1703
9.0,1189.733972,1.3589
10.0,935.760578,1.6275
11.0,782.381949,1.9902
12.0,683.769299,2.4605
13.0,616.436415,3.0514
14.0,567.678315,3.7745
15.0,530.307655,4.6398
16.0,500.104422,5.6553
17.0,474.513434,6.827
18.0,451.948358,8.1582
19.0,431.40492,9.6494
20.0,412.238399,11.298
21.0,394.03165,13.099
22.0,376.514636,15.044
23.0,359.514143,17.12
24.0,342.921627,19.315
25.0,326.672227,21.609
26.0,310.730797,23.983
27.0,295.082444,26.416
28.0,279.726005,28.881
29.0,264.669488,31.353
30.0,249.926836,33.804
31.0,235.515601,36.207
32.0,221.455258,38.531
33.0,207.765969,40.749
34.0,194.46768,42.832
35.0,181.579451,44.752
36.0,169.118967,46.483
37.0,157.102195,48.003
38.0,145.543127,49.287
39.0,134.453624,50.319
40.0,123.843314,51.081
41.0,113.719541,51.56
42.0,104.087366,51.748
43.0,94.949591,51.638
44.0,86.306819,51.23
45.0,78.15753,50.525
46.0,70.49818,49.53
47.0,63.323317,48.255
48.0,56.625695,46.714
49.0,50.396416,44.925
50.0,44.625061,42.909
51.0,39.299836,40.692
52.0,34.407714,38.3
53.0,29.934579,35.765
54.0,25.865371,33.119
55.0,22.184224,30.398
56.0,18.874605,27.637
57.0,15.919445,24.875
58.0,13.301267,22.149
59.0,11.002304,19.499
60.0,9.004616,16.964
61.0,7.290194,14.581
62.0,5.841063,12.389
63.0,4.639368,10.423
64.0,3.667462,8.7173
65.0,2.907983,7.3052
66.0,2.343916,6.2166
67.0,1.958661,5.4789
68.0,1.736081,5.1167
69.0,1.66055,5.1516
70.0,1.716991,5.6016
71.0,1.89091,6.4813
72.0,2.168422,7.8018
73.0,2.53627,9.5702
74.0,2.981841,11.79
75.0,3.493178,14.461
76.0,4.058982,17.578
77.0,4.668616,21.133
78.0,5.312102,25.115
79.0,5.980115,29.507
80.0,6.663976,34.291
81.0,7.355638,39.443
82.0,8.047677,44.938
83.0,8.733271,50.747
84.0,9.406189,56.837
85.0,10.06077,63.174
86.0,10.691906,69.721
87.0,11.295019,76.438
88.0,11.866046,83.285
89.0,12.401413,90.218
90.0,12.898019,97.194
91.0,13.353215,104.17
92.0,13.764778,111.09
93.0,14.130901,117.92
94.0,14.450163,124.61
95.0,14.721515,131.11
96.0,14.944262,137.39
97.0,15.118042,143.38
98.0,15.242806,149.06
99.0,15.318807,154.38
100.0,15.346576,159.3
101.0,15.326911,163.78
102.0,15.260856,167.79
103.0,15.14969,171.3
104.0,14.994907,174.28
105.0,14.798207,176.71
106.0,14.561473,178.56
107.0,14.286765,179.81
108.0,13.976299,180.47
109.0,13.632438,180.51
110.0,13.257672,179.93
111.0,12.854612,178.74
112.0,12.425967,176.93
113.0,11.974539,174.53
114.0,11.503199,171.54
115.0,11.014885,167.99
116.0,10.512576,163.9
117.0,9.999287,159.3
118.0,9.478049,154.23
119.0,8.951898,148.72
120.0,8.423861,142.83
121.0,7.896941,136.59
122.0,7.3741,130.07
123.0,6.858252,123.31
124.0,6.352242,116.37
125.0,5.85884,109.32
126.0,5.380718,102.22
127.0,4.920448,95.136
128.0,4.48048,88.134
129.0,4.063137,81.281
130.0,3.670597,74.648
131.0,3.304889,68.301
132.0,2.967876,62.308
133.0,2.661251,56.735
134.0,2.386524,51.647
135.0,2.145017,47.105
136.0,1.937856,43.168
137.0,1.765963,39.89
138.0,1.630056,37.324
139.0,1.530639,35.514
140.0,1.468004,34.502
141.0,1.442228,34.324
142.0,1.453171,35.008
143.0,1.50048,36.579
144.0,1.583587,39.052
145.0,1.701716,42.437
146.0,1.853886,46.735
147.0,2.038915,51.943
148.0,2.255431,58.046
149.0,2.501876,65.026
150.0,2.776517,72.854
151.0,3.077455,81.496
152.0,3.402638,90.909
153.0,3.749874,101.05
154.0,4.11684,111.85
155.0,4.5011,123.26
156.0,4.900118,135.21
157.0,5.311273,147.62
158.0,5.731877,160.42
159.0,6.159188,173.53
160.0,6.59043,186.85
161.0,7.022808,200.31
162.0,7.453526,213.8
163.0,7.879802,227.25
164.0,8.298891,240.55
165.0,8.708095,253.61
166.0,9.104784,266.35
167.0,9.486411,278.66
168.0,9.850526,290.46
169.0,10.194797,301.67
170.0,10.517017,312.21
171.0,10.815124,321.99
172.0,11.08721,330.95
173.0,11.331534,339.02
174.0,11.546534,346.13
175.0,11.730836,352.25
176.0,11.883261,357.32
177.0,12.002835,361.3
178.0,12.088796,364.16
179.0,12.140593,365.89
179.99,12.157893,366.47
