input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_4He_2n_3p_10.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,10.0,-28.29561059421679,10691040389310.057,n;p
p_4He_2n_3p_100.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,100.0,-28.29561059421679,106910404345.92699,n;p
p_4He_2n_3p_105.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,105.0,-28.29561059421679,96968588403.88596,n;p
p_4He_2n_3p_110.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,110.0,-28.29561059421679,88352028966.35806,n;p
p_4He_2n_3p_115.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,115.0,-28.29561059421679,80840647335.2957,n;p
p_4He_2n_3p_120.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,120.0,-28.29561059421679,74243070730.81137,n;p
p_4He_2n_3p_125.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,125.0,-28.29561059421679,68420553887.03254,n;p
p_4He_2n_3p_130.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,130.0,-28.29561059421679,63258273135.285164,n;p
p_4He_2n_3p_135.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,135.0,-28.29561059421679,58660542085.56648,n;p
p_4He_2n_3p_140.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,140.0,-28.29561059421679,54546027306.407555,n;p
p_4He_2n_3p_145.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,145.0,-28.29561059421679,50847748324.481926,n;p
p_4He_2n_3p_15.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,15.0,-28.29561059421679,4751499083477.533,n;p
p_4He_2n_3p_150.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,150.0,-28.29561059421679,47514991353.16731,n;p
p_4He_2n_3p_155.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,155.0,-28.29561059421679,44498956333.34236,n;p
p_4He_2n_3p_160.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,160.0,-28.29561059421679,41760890277.017914,n;p
p_4He_2n_3p_165.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,165.0,-28.29561059421679,39268259811.4659,n;p
p_4He_2n_3p_170.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,170.0,-28.29561059421679,36992359019.72975,n;p
p_4He_2n_3p_175.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,175.0,-28.29561059421679,34908787872.24413,n;p
p_4He_2n_3p_180.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,180.0,-28.29561059421679,32996495363.172455,n;p
p_4He_2n_3p_185.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,185.0,-28.29561059421679,31236822646.445965,n;p
p_4He_2n_3p_190.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,190.0,-28.29561059421679,29614459899.601173,n;p
p_4He_2n_3p_195.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,195.0,-28.29561059421679,28115054164.109543,n;p
p_4He_2n_3p_20.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,20.0,-28.29561059421679,2672712254047.9536,n;p
p_4He_2n_3p_200.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,200.0,-28.29561059421679,26727123073.129547,n;p
p_4He_2n_3p_205.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,205.0,-28.29561059421679,25439184259.888676,n;p
p_4He_2n_3p_210.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,210.0,-28.29561059421679,24242147517.258938,n;p
p_4He_2n_3p_215.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,215.0,-28.29561059421679,23127879502.11142,n;p
p_4He_2n_3p_220.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,220.0,-28.29561059421679,22088246871.288605,n;p
p_4He_2n_3p_225.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,225.0,-28.29561059421679,21117508441.34063,n;p
p_4He_2n_3p_230.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,230.0,-28.29561059421679,20209444596.92913,n;p
p_4He_2n_3p_235.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,235.0,-28.29561059421679,19358792586.585934,n;p
p_4He_2n_3p_240.0MeV.out,p_he4_2n_3p,multi_body,multibody_flat,240.0,-28.29561059421679,18560289658.882435,n;p
