theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,55864000000000.0,0.99999
1.0,532670.0,0.95347
2.0,30403.0,0.8706
3.0,5957.567019,0.86342
4.0,2392.246175,1.0954
5.0,1588.277173,1.7747
6.0,1356.570321,3.1414
7.0,1271.473546,5.4511
8.0,1225.665905,8.9575
9.0,1187.878307,13.894
10.0,1148.54753,20.455
11.0,1105.058126,28.784
12.0,1057.168205,38.955
13.0,1005.454144,50.965
14.0,950.74758,64.732
15.0,893.923884,80.088
16.0,835.821796,96.786
17.0,777.213572,114.51
18.0,718.794867,132.87
19.0,661.182312,151.44
20.0,604.914114,169.77
21.0,550.451888,187.38
22.0,498.183134,203.83
23.0,448.42418,218.67
24.0,401.423571,231.52
25.0,357.36592,242.07
26.0,316.376195,250.05
27.0,278.524413,255.32
28.0,243.830677,257.79
29.0,212.270464,257.49
30.0,183.780081,254.54
31.0,158.262179,249.14
32.0,135.59122,241.58
33.0,115.618822,232.21
34.0,98.178872,221.43
35.0,83.09235,209.7
36.0,70.171806,197.5
37.0,59.225422,185.31
38.0,50.060659,173.6
39.0,42.48744,162.82
40.0,36.320883,153.4
41.0,31.383577,145.71
42.0,27.507425,140.04
43.0,24.535063,136.64
44.0,22.320894,135.67
45.0,20.731771,137.24
46.0,19.64735,141.35
47.0,18.960169,147.95
48.0,18.57548,156.92
49.0,18.410879,168.06
50.0,18.39576,181.13
51.0,18.470643,195.84
52.0,18.586397,211.86
53.0,18.703389,228.83
54.0,18.790599,246.38
55.0,18.824698,264.14
56.0,18.789141,281.72
57.0,18.673272,298.78
58.0,18.471458,314.96
59.0,18.182274,329.97
60.0,17.807735,343.53
61.0,17.352595,355.4
62.0,16.823704,365.39
63.0,16.229438,373.35
64.0,15.579192,379.19
65.0,14.882945,382.85
66.0,14.150885,384.32
67.0,13.393103,383.63
68.0,12.619335,380.85
69.0,11.838772,376.09
70.0,11.059902,369.48
71.0,10.290411,361.18
72.0,9.53711,351.37
73.0,8.8059,340.25
74.0,8.101768,328.03
75.0,7.428797,314.91
76.0,6.790206,301.11
77.0,6.188392,286.85
78.0,5.624991,272.32
79.0,5.100946,257.73
80.0,4.616573,243.26
81.0,4.171638,229.07
82.0,3.765428,215.31
83.0,3.396824,202.12
84.0,3.064368,189.61
85.0,2.766334,177.87
86.0,2.500781,166.99
87.0,2.265617,157.0
88.0,2.058647,147.96
89.0,1.877623,139.87
90.0,1.720279,132.74
91.0,1.584372,126.56
92.0,1.46771,121.3
93.0,1.368179,116.91
94.0,1.283762,113.36
95.0,1.212558,110.59
96.0,1.15279,108.52
97.0,1.102817,107.1
98.0,1.061136,106.26
99.0,1.026387,105.92
100.0,0.997346,106.01
101.0,0.972926,106.46
102.0,0.952171,107.2
103.0,0.934247,108.17
104.0,0.918435,109.31
105.0,0.904121,110.55
106.0,0.890787,111.85
107.0,0.878002,113.16
108.0,0.865409,114.43
109.0,0.852722,115.62
110.0,0.83971,116.7
111.0,0.826193,117.63
112.0,0.812036,118.4
113.0,0.797138,118.97
114.0,0.781427,119.32
115.0,0.76486,119.45
116.0,0.747411,119.32
117.0,0.729075,118.94
118.0,0.70986,118.28
119.0,0.689787,117.35
120.0,0.668886,116.13
121.0,0.647199,114.63
122.0,0.624773,112.84
123.0,0.601664,110.77
124.0,0.577935,108.42
125.0,0.553655,105.79
126.0,0.528899,102.89
127.0,0.503747,99.736
128.0,0.478285,96.339
129.0,0.452607,92.715
130.0,0.426808,88.881
131.0,0.400991,84.86
132.0,0.375265,80.674
133.0,0.349742,76.351
134.0,0.324539,71.92
135.0,0.299777,67.412
136.0,0.275583,62.862
137.0,0.252083,58.308
138.0,0.22941,53.789
139.0,0.207695,49.346
140.0,0.187071,45.022
141.0,0.16767,40.862
142.0,0.149621,36.91
143.0,0.13305,33.214
144.0,0.118076,29.817
145.0,0.104811,26.765
146.0,0.093359,24.1
147.0,0.08381,21.864
148.0,0.076244,20.093
149.0,0.070722,18.822
150.0,0.067291,18.08
151.0,0.065979,17.892
152.0,0.066792,18.273
153.0,0.069719,19.238
154.0,0.074722,20.788
155.0,0.081746,22.923
156.0,0.09071,25.63
157.0,0.101513,28.891
158.0,0.114031,32.68
159.0,0.12812,36.962
160.0,0.143619,41.696
161.0,0.160347,46.832
162.0,0.178108,52.317
163.0,0.196694,58.087
164.0,0.215886,64.078
165.0,0.235456,70.22
166.0,0.255173,76.439
167.0,0.274802,82.659
168.0,0.294108,88.806
169.0,0.312863,94.801
170.0,0.330841,100.57
171.0,0.347828,106.04
172.0,0.363621,111.14
173.0,0.378033,115.81
174.0,0.39089,119.99
175.0,0.402039,123.62
176.0,0.411349,126.66
177.0,0.418707,129.06
178.0,0.424026,130.8
179.0,0.427243,131.85
179.99,0.42832,132.2
