input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_4He_2p_3H_10.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,10.0,-19.813814502830216,10691040389310.057,p;t
p_4He_2p_3H_100.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,100.0,-19.813814502830216,106910404345.92699,p;t
p_4He_2p_3H_105.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,105.0,-19.813814502830216,96968588403.88596,p;t
p_4He_2p_3H_110.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,110.0,-19.813814502830216,88352028966.35806,p;t
p_4He_2p_3H_115.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,115.0,-19.813814502830216,80840647335.2957,p;t
p_4He_2p_3H_120.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,120.0,-19.813814502830216,74243070730.81137,p;t
p_4He_2p_3H_125.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,125.0,-19.813814502830216,68420553887.03254,p;t
p_4He_2p_3H_130.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,130.0,-19.813814502830216,63258273135.285164,p;t
p_4He_2p_3H_135.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,135.0,-19.813814502830216,58660542085.56648,p;t
p_4He_2p_3H_140.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,140.0,-19.813814502830216,54546027306.407555,p;t
p_4He_2p_3H_145.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,145.0,-19.813814502830216,50847748324.481926,p;t
p_4He_2p_3H_15.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,15.0,-19.813814502830216,4751499083477.533,p;t
p_4He_2p_3H_150.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,150.0,-19.813814502830216,47514991353.16731,p;t
p_4He_2p_3H_155.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,155.0,-19.813814502830216,44498956333.34236,p;t
p_4He_2p_3H_160.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,160.0,-19.813814502830216,41760890277.017914,p;t
p_4He_2p_3H_165.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,165.0,-19.813814502830216,39268259811.4659,p;t
p_4He_2p_3H_170.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,170.0,-19.813814502830216,36992359019.72975,p;t
p_4He_2p_3H_175.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,175.0,-19.813814502830216,34908787872.24413,p;t
p_4He_2p_3H_180.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,180.0,-19.813814502830216,32996495363.172455,p;t
p_4He_2p_3H_185.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,185.0,-19.813814502830216,31236822646.445965,p;t
p_4He_2p_3H_190.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,190.0,-19.813814502830216,29614459899.601173,p;t
p_4He_2p_3H_195.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,195.0,-19.813814502830216,28115054164.109543,p;t
p_4He_2p_3H_20.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,20.0,-19.813814502830216,2672712254047.9536,p;t
p_4He_2p_3H_200.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,200.0,-19.813814502830216,26727123073.129547,p;t
p_4He_2p_3H_205.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,205.0,-19.813814502830216,25439184259.888676,p;t
p_4He_2p_3H_210.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,210.0,-19.813814502830216,24242147517.258938,p;t
p_4He_2p_3H_215.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,215.0,-19.813814502830216,23127879502.11142,p;t
p_4He_2p_3H_220.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,220.0,-19.813814502830216,22088246871.288605,p;t
p_4He_2p_3H_225.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,225.0,-19.813814502830216,21117508441.34063,p;t
p_4He_2p_3H_230.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,230.0,-19.813814502830216,20209444596.92913,p;t
p_4He_2p_3H_235.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,235.0,-19.813814502830216,19358792586.585934,p;t
p_4He_2p_3H_240.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,240.0,-19.813814502830216,18560289658.882435,p;t
p_4He_2p_3H_245.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,245.0,-19.813814502830216,17810586790.11314,p;t
p_4He_2p_3H_25.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,25.0,-19.813814502830216,1710537756384.5356,p;t
p_4He_2p_3H_250.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,250.0,-19.813814502830216,17105378092.766,p;t
p_4He_2p_3H_255.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,255.0,-19.813814502830216,16440836111.23917,p;t
p_4He_2p_3H_260.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,260.0,-19.813814502830216,15814568685.723688,p;t
p_4He_2p_3H_265.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,265.0,-19.813814502830216,15223705224.54273,p;t
p_4He_2p_3H_270.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,270.0,-19.813814502830216,14664896704.092524,p;t
p_4He_2p_3H_275.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,275.0,-19.813814502830216,14136707828.473984,p;t
p_4He_2p_3H_280.0MeV.out,p_he4_2p_t,multi_body,multibody_flat,280.0,-19.813814502830216,13636268005.986797,p;t
