theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,18241000000000.0,0.99998
1.0,163270.0,0.89501
2.0,8708.342337,0.76368
3.0,2377.806764,1.0554
4.0,1743.252206,2.4445
5.0,1685.081992,5.7662
6.0,1682.121816,11.929
7.0,1661.67059,21.817
8.0,1616.955698,36.19
9.0,1552.00029,55.593
10.0,1471.901535,80.281
11.0,1381.130074,110.17
12.0,1283.384305,144.83
13.0,1181.711845,183.44
14.0,1078.636911,224.91
15.0,976.252736,267.86
16.0,876.283602,310.75
17.0,780.127197,351.99
18.0,688.885955,389.97
19.0,603.393091,423.24
20.0,524.236763,450.57
21.0,451.784156,470.99
22.0,386.206215,483.91
23.0,327.503121,489.09
24.0,275.530171,486.67
25.0,230.023559,477.17
26.0,190.625452,461.41
27.0,156.907804,440.49
28.0,128.394384,415.72
29.0,104.580646,388.51
30.0,84.951145,360.33
31.0,68.994368,332.63
32.0,56.214915,306.73
33.0,46.143121,283.81
34.0,38.342236,264.83
35.0,32.413385,250.52
36.0,27.998541,241.33
37.0,24.781795,237.46
38.0,22.489188,238.83
39.0,20.887397,245.14
40.0,19.781514,255.87
41.0,19.012179,270.32
42.0,18.452266,287.69
43.0,18.003316,307.05
44.0,17.591867,327.47
45.0,17.165822,348.0
46.0,16.690937,367.74
47.0,16.147537,385.88
48.0,15.527484,401.7
49.0,14.831466,414.61
50.0,14.0666,424.16
51.0,13.244382,430.05
52.0,12.378962,432.12
53.0,11.485732,430.35
54.0,10.580218,424.85
55.0,9.677235,415.84
56.0,8.790283,403.64
57.0,7.931149,388.63
58.0,7.109678,371.27
59.0,6.333697,352.02
60.0,5.609031,331.38
61.0,4.939616,309.83
62.0,4.327667,287.85
63.0,3.773872,265.88
64.0,3.277617,244.31
65.0,2.83721,223.52
66.0,2.450096,203.78
67.0,2.113062,185.36
68.0,1.822428,168.44
69.0,1.574206,153.15
70.0,1.364245,139.58
71.0,1.188358,127.74
72.0,1.042417,117.62
73.0,0.922438,109.15
74.0,0.824648,102.25
75.0,0.74553,96.784
76.0,0.681863,92.601
77.0,0.630743,89.537
78.0,0.589597,87.417
79.0,0.55618,86.062
80.0,0.528576,85.296
81.0,0.505179,84.952
82.0,0.484677,84.874
83.0,0.466025,84.922
84.0,0.448419,84.973
85.0,0.431266,84.924
86.0,0.414154,84.693
87.0,0.396818,84.216
88.0,0.379118,83.447
89.0,0.361006,82.36
90.0,0.342505,80.939
91.0,0.323689,79.186
92.0,0.304665,77.11
93.0,0.285558,74.73
94.0,0.266505,72.072
95.0,0.247643,69.167
96.0,0.229103,66.051
97.0,0.211011,62.76
98.0,0.193482,59.335
99.0,0.176617,55.817
100.0,0.160508,52.247
101.0,0.145231,48.667
102.0,0.130847,45.116
103.0,0.117406,41.631
104.0,0.104942,38.25
105.0,0.093471,35.002
106.0,0.083,31.917
107.0,0.073516,29.017
108.0,0.064996,26.319
109.0,0.057405,23.837
110.0,0.050695,21.576
111.0,0.04481,19.539
112.0,0.03969,17.723
113.0,0.035268,16.12
114.0,0.031477,14.72
115.0,0.028249,13.511
116.0,0.02552,12.477
117.0,0.023228,11.605
118.0,0.021317,10.878
119.0,0.019736,10.282
120.0,0.018438,9.8035
121.0,0.017383,9.4288
122.0,0.016535,9.1459
123.0,0.015861,8.9431
124.0,0.015334,8.8095
125.0,0.014926,8.7341
126.0,0.014613,8.7062
127.0,0.014373,8.7148
128.0,0.014183,8.7488
129.0,0.014023,8.7972
130.0,0.013875,8.8492
131.0,0.013724,8.8943
132.0,0.013553,8.9231
133.0,0.013353,8.9272
134.0,0.013114,8.9
135.0,0.012831,8.8364
136.0,0.012501,8.7332
137.0,0.012125,8.5893
138.0,0.011706,8.4053
139.0,0.011247,8.1835
140.0,0.010755,7.9272
141.0,0.010238,7.641
142.0,0.009702,7.3299
143.0,0.009155,6.9989
144.0,0.008603,6.6531
145.0,0.008052,6.2971
146.0,0.007508,5.9352
147.0,0.006973,5.5708
148.0,0.006452,5.2071
149.0,0.005947,4.8469
150.0,0.00546,4.4926
151.0,0.004994,4.147
152.0,0.004551,3.813
153.0,0.004135,3.494
154.0,0.003748,3.1937
155.0,0.003396,2.9164
156.0,0.003082,2.6669
157.0,0.002811,2.4499
158.0,0.002586,2.2698
159.0,0.002412,2.1306
160.0,0.002289,2.0355
161.0,0.002221,1.9863
162.0,0.002205,1.9833
163.0,0.002239,2.0253
164.0,0.002321,2.1096
165.0,0.002444,2.232
166.0,0.002602,2.3868
167.0,0.002787,2.5676
168.0,0.002993,2.7675
169.0,0.00321,2.979
170.0,0.003432,3.1953
171.0,0.003652,3.4094
172.0,0.003862,3.6153
173.0,0.004058,3.8078
174.0,0.004236,3.9823
175.0,0.004391,4.1352
176.0,0.004522,4.2637
177.0,0.004625,4.3656
178.0,0.004699,4.4394
179.0,0.004744,4.4841
179.99,0.00476,4.499
