input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_4He_2p_dn_10.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,10.0,-26.071044550925617,10691040389310.057,d;n;p
p_4He_2p_dn_100.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,100.0,-26.071044550925617,106910404345.92699,d;n;p
p_4He_2p_dn_105.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,105.0,-26.071044550925617,96968588403.88596,d;n;p
p_4He_2p_dn_110.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,110.0,-26.071044550925617,88352028966.35806,d;n;p
p_4He_2p_dn_115.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,115.0,-26.071044550925617,80840647335.2957,d;n;p
p_4He_2p_dn_120.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,120.0,-26.071044550925617,74243070730.81137,d;n;p
p_4He_2p_dn_125.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,125.0,-26.071044550925617,68420553887.03254,d;n;p
p_4He_2p_dn_130.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,130.0,-26.071044550925617,63258273135.285164,d;n;p
p_4He_2p_dn_135.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,135.0,-26.071044550925617,58660542085.56648,d;n;p
p_4He_2p_dn_140.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,140.0,-26.071044550925617,54546027306.407555,d;n;p
p_4He_2p_dn_145.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,145.0,-26.071044550925617,50847748324.481926,d;n;p
p_4He_2p_dn_15.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,15.0,-26.071044550925617,4751499083477.533,d;n;p
p_4He_2p_dn_150.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,150.0,-26.071044550925617,47514991353.16731,d;n;p
p_4He_2p_dn_155.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,155.0,-26.071044550925617,44498956333.34236,d;n;p
p_4He_2p_dn_160.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,160.0,-26.071044550925617,41760890277.017914,d;n;p
p_4He_2p_dn_165.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,165.0,-26.071044550925617,39268259811.4659,d;n;p
p_4He_2p_dn_170.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,170.0,-26.071044550925617,36992359019.72975,d;n;p
p_4He_2p_dn_175.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,175.0,-26.071044550925617,34908787872.24413,d;n;p
p_4He_2p_dn_180.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,180.0,-26.071044550925617,32996495363.172455,d;n;p
p_4He_2p_dn_185.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,185.0,-26.071044550925617,31236822646.445965,d;n;p
p_4He_2p_dn_190.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,190.0,-26.071044550925617,29614459899.601173,d;n;p
p_4He_2p_dn_195.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,195.0,-26.071044550925617,28115054164.109543,d;n;p
p_4He_2p_dn_20.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,20.0,-26.071044550925617,2672712254047.9536,d;n;p
p_4He_2p_dn_200.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,200.0,-26.071044550925617,26727123073.129547,d;n;p
p_4He_2p_dn_205.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,205.0,-26.071044550925617,25439184259.888676,d;n;p
p_4He_2p_dn_210.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,210.0,-26.071044550925617,24242147517.258938,d;n;p
p_4He_2p_dn_215.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,215.0,-26.071044550925617,23127879502.11142,d;n;p
p_4He_2p_dn_220.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,220.0,-26.071044550925617,22088246871.288605,d;n;p
p_4He_2p_dn_225.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,225.0,-26.071044550925617,21117508441.34063,d;n;p
p_4He_2p_dn_230.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,230.0,-26.071044550925617,20209444596.92913,d;n;p
p_4He_2p_dn_235.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,235.0,-26.071044550925617,19358792586.585934,d;n;p
p_4He_2p_dn_240.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,240.0,-26.071044550925617,18560289658.882435,d;n;p
p_4He_2p_dn_245.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,245.0,-26.071044550925617,17810586790.11314,d;n;p
p_4He_2p_dn_25.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,25.0,-26.071044550925617,1710537756384.5356,d;n;p
p_4He_2p_dn_250.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,250.0,-26.071044550925617,17105378092.766,d;n;p
p_4He_2p_dn_255.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,255.0,-26.071044550925617,16440836111.23917,d;n;p
p_4He_2p_dn_260.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,260.0,-26.071044550925617,15814568685.723688,d;n;p
p_4He_2p_dn_265.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,265.0,-26.071044550925617,15223705224.54273,d;n;p
p_4He_2p_dn_270.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,270.0,-26.071044550925617,14664896704.092524,d;n;p
p_4He_2p_dn_275.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,275.0,-26.071044550925617,14136707828.473984,d;n;p
p_4He_2p_dn_280.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,280.0,-26.071044550925617,13636268005.986797,d;n;p
p_4He_2p_dn_285.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,285.0,-26.071044550925617,13162141940.793245,d;n;p
p_4He_2p_dn_290.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,290.0,-26.071044550925617,12711937473.141233,d;n;p
p_4He_2p_dn_295.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,295.0,-26.071044550925617,12284697739.11058,d;n;p
p_4He_2p_dn_30.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,30.0,-26.071044550925617,1187898692605.014,d;n;p
p_4He_2p_dn_300.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,300.0,-26.071044550925617,11878509010.920254,d;n;p
p_4He_2p_dn_305.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,305.0,-26.071044550925617,11492414424.646564,d;n;p
p_4He_2p_dn_310.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,310.0,-26.071044550925617,11124500252.512592,d;n;p
p_4He_2p_dn_315.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,315.0,-26.071044550925617,10774288062.538805,d;n;p
p_4He_2p_dn_320.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,320.0,-26.071044550925617,10440342558.890741,d;n;p
p_4He_2p_dn_325.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,325.0,-26.071044550925617,10121228445.734787,d;n;p
p_4He_2p_dn_330.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,330.0,-26.071044550925617,9816945723.039167,d;n;p
p_4He_2p_dn_335.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,335.0,-26.071044550925617,9526059094.992294,d;n;p
p_4He_2p_dn_340.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,340.0,-26.071044550925617,9248090129.58525,d;n;p
p_4He_2p_dn_345.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,345.0,-26.071044550925617,8982081962.956556,d;n;p
p_4He_2p_dn_35.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,35.0,-26.071044550925617,872707723001.3792,d;n;p
p_4He_2p_dn_350.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,350.0,-26.071044550925617,8727077731.225899,d;n;p
p_4He_2p_dn_355.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,355.0,-26.071044550925617,8483077434.351307,d;n;p
p_4He_2p_dn_360.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,360.0,-26.071044550925617,8249124208.433868,d;n;p
p_4He_2p_dn_365.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,365.0,-26.071044550925617,8024739621.560925,d;n;p
p_4He_2p_dn_370.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,370.0,-26.071044550925617,7808966809.814878,d;n;p
p_4He_2p_dn_375.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,375.0,-26.071044550925617,7602284205.096512,d;n;p
p_4He_2p_dn_380.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,380.0,-26.071044550925617,7403734943.576583,d;n;p
p_4He_2p_dn_385.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,385.0,-26.071044550925617,7212362161.30342,d;n;p
p_4He_2p_dn_390.0MeV.out,p_he4_2p_dn,multi_body,multibody_flat,390.0,-26.071044550925617,7028644290.280034,d;n;p
