theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,99314000000000.0,0.99999
1.0,962850.0,0.96945
2.0,56565.0,0.91111
3.0,10799.0,0.88036
4.0,3705.631483,0.95442
5.0,1959.41344,1.2315
6.0,1402.230879,1.8265
7.0,1187.915327,2.8647
8.0,1088.666595,4.4754
9.0,1031.133641,6.784
10.0,988.730877,9.9051
11.0,951.096165,13.935
12.0,914.084247,18.946
13.0,876.112948,24.98
14.0,836.712351,32.044
15.0,795.909259,40.11
16.0,753.951729,49.109
17.0,711.18026,58.937
18.0,667.965285,69.452
19.0,624.675833,80.48
20.0,581.663373,91.823
21.0,539.253318,103.26
22.0,497.740533,114.55
23.0,457.38705,125.46
24.0,418.421103,135.75
25.0,381.036996,145.18
26.0,345.39557,153.56
27.0,311.625132,160.68
28.0,279.822754,166.41
29.0,250.055881,170.62
30.0,222.3642,173.24
31.0,196.761718,174.23
32.0,173.238998,173.62
33.0,151.765523,171.45
34.0,132.292121,167.83
35.0,114.753426,162.9
36.0,99.070331,156.85
37.0,85.152383,149.87
38.0,72.900108,142.2
39.0,62.207218,134.1
40.0,52.962691,125.83
41.0,45.052689,117.66
42.0,38.36232,109.86
43.0,32.777209,102.68
44.0,28.184899,96.364
45.0,24.476056,91.138
46.0,21.545498,87.19
47.0,19.29304,84.683
48.0,17.624173,83.745
49.0,16.450577,84.467
50.0,15.690489,86.902
51.0,15.268929,91.064
52.0,15.117804,96.929
53.0,15.175896,104.44
54.0,15.388765,113.5
55.0,15.708557,123.98
56.0,16.093745,135.74
57.0,16.50882,148.58
58.0,16.923927,162.32
59.0,17.314476,176.75
60.0,17.660725,191.64
61.0,17.947347,206.76
62.0,18.163,221.89
63.0,18.29989,236.8
64.0,18.353343,251.28
65.0,18.321399,265.11
66.0,18.204414,278.11
67.0,18.004687,290.1
68.0,17.726116,300.93
69.0,17.373875,310.46
70.0,16.954117,318.59
71.0,16.473716,325.24
72.0,15.940025,330.34
73.0,15.36067,333.86
74.0,14.74337,335.77
75.0,14.095782,336.11
76.0,13.425371,334.88
77.0,12.739305,332.16
78.0,12.044371,328.0
79.0,11.346906,322.49
80.0,10.652752,315.74
81.0,9.967223,307.86
82.0,9.295087,298.97
83.0,8.640557,289.2
84.0,8.007292,278.69
85.0,7.398413,267.59
86.0,6.816515,256.03
87.0,6.263691,244.16
88.0,5.741562,232.12
89.0,5.251301,220.05
90.0,4.793669,208.07
91.0,4.369046,196.31
92.0,3.977465,184.9
93.0,3.618646,173.94
94.0,3.292028,163.52
95.0,2.996804,153.74
96.0,2.731948,144.67
97.0,2.496251,136.37
98.0,2.288346,128.9
99.0,2.106737,122.29
100.0,1.949823,116.58
101.0,1.815926,111.77
102.0,1.703311,107.87
103.0,1.610208,104.87
104.0,1.53483,102.75
105.0,1.475394,101.48
106.0,1.430134,101.01
107.0,1.397315,101.3
108.0,1.37525,102.28
109.0,1.362306,103.9
110.0,1.356921,106.07
111.0,1.357604,108.73
112.0,1.362949,111.78
113.0,1.371639,115.15
114.0,1.382449,118.74
115.0,1.394253,122.48
116.0,1.406025,126.26
117.0,1.416842,130.01
118.0,1.425883,133.64
119.0,1.432433,137.07
120.0,1.435882,140.23
121.0,1.43572,143.04
122.0,1.431543,145.44
123.0,1.423046,147.37
124.0,1.410021,148.79
125.0,1.392357,149.65
126.0,1.370035,149.92
127.0,1.343122,149.58
128.0,1.31177,148.63
129.0,1.27621,147.05
130.0,1.236746,144.87
131.0,1.19375,142.1
132.0,1.147653,138.78
133.0,1.098942,134.95
134.0,1.04815,130.66
135.0,0.995847,125.97
136.0,0.942636,120.95
137.0,0.889138,115.69
138.0,0.835992,110.26
139.0,0.783838,104.76
140.0,0.733312,99.273
141.0,0.685038,93.907
142.0,0.639619,88.757
143.0,0.597627,83.918
144.0,0.559598,79.488
145.0,0.526022,75.558
146.0,0.497339,72.217
147.0,0.473933,69.545
148.0,0.456126,67.616
149.0,0.444172,66.495
150.0,0.438258,66.237
151.0,0.438497,66.885
152.0,0.444931,68.471
153.0,0.457527,71.014
154.0,0.476177,74.518
155.0,0.500703,78.978
156.0,0.530855,84.371
157.0,0.566316,90.663
158.0,0.606705,97.805
159.0,0.651583,105.74
160.0,0.700456,114.39
161.0,0.752781,123.67
162.0,0.807974,133.5
163.0,0.865415,143.76
164.0,0.924455,154.35
165.0,0.984427,165.14
166.0,1.044648,176.02
167.0,1.104433,186.87
168.0,1.163098,197.55
169.0,1.219971,207.94
170.0,1.274398,217.91
171.0,1.325754,227.35
172.0,1.373445,236.14
173.0,1.41692,244.17
174.0,1.455677,251.35
175.0,1.489266,257.58
176.0,1.517297,262.79
177.0,1.539444,266.91
178.0,1.555451,269.89
179.0,1.565129,271.7
179.99,1.568368,272.3
