bin_low_MeV,bin_high_MeV,sigma_bin_mb,eta
0.0,5.0,0.0,0.0
5.0,10.0,0.0,0.0
10.0,15.0,0.0,0.0
15.0,20.0,0.05315092716760398,1.7947626716069122e-12
20.0,25.0,0.11048872188904864,3.730904506231992e-12
25.0,30.0,0.06952703602103104,2.3477394575738106e-12
30.0,35.0,0.16649125559361036,5.621958197382236e-12
35.0,40.0,0.2935982144778167,9.91401550030533e-12
40.0,45.0,0.44775888482051707,1.5119603272810223e-11
45.0,50.0,0.4887031500975286,1.650218007535265e-11
50.0,55.0,0.557565945498911,1.8827489928540613e-11
55.0,60.0,0.5066000347568794,1.710650933612677e-11
60.0,65.0,0.6907259748613902,2.3323943006324838e-11
65.0,70.0,0.7458820039114484,2.5186412530910055e-11
70.0,75.0,1.1025720555676504,3.723086827534879e-11
75.0,80.0,2.25120343786344,7.601703510702072e-11
80.0,85.0,3.148836666664042,1.063276749715921e-10
85.0,90.0,4.739863299391783,1.600523296882958e-10
90.0,95.0,7.999192325268953,2.7011103198869005e-10
95.0,100.0,9.920815753953613,3.3499904396660023e-10
100.0,105.0,11.889158571519205,4.0146464300972506e-10
105.0,110.0,9.165757522433466,3.0950277511415643e-10
110.0,115.0,16.49222046983167,5.568975603723156e-10
115.0,120.0,67.71305935303373,2.286486384779404e-09
120.0,125.0,277.6997872001159,9.377168725736434e-09
125.0,130.0,29614459483.348217,0.9999999859442663
130.0,135.0,0.0,0.0
135.0,140.0,0.0,0.0
140.0,145.0,0.0,0.0
145.0,150.0,0.0,0.0
150.0,155.0,0.0,0.0
155.0,160.0,0.0,0.0
160.0,165.0,0.0,0.0
165.0,170.0,0.0,0.0
170.0,175.0,0.0,0.0
175.0,180.0,0.0,0.0
180.0,185.0,0.0,0.0
185.0,190.0,0.0,0.0
190.0,195.0,0.0,0.0
195.0,200.0,0.0,0.0
200.0,205.0,0.0,0.0
205.0,210.0,0.0,0.0
210.0,215.0,0.0,0.0
215.0,220.0,0.0,0.0
220.0,225.0,0.0,0.0
225.0,230.0,0.0,0.0
230.0,235.0,0.0,0.0
235.0,240.0,0.0,0.0
240.0,245.0,0.0,0.0
245.0,250.0,0.0,0.0
250.0,255.0,0.0,0.0
255.0,260.0,0.0,0.0
260.0,265.0,0.0,0.0
265.0,270.0,0.0,0.0
270.0,275.0,0.0,0.0
275.0,280.0,0.0,0.0
280.0,285.0,0.0,0.0
285.0,290.0,0.0,0.0
290.0,295.0,0.0,0.0
295.0,300.0,0.0,0.0
300.0,305.0,0.0,0.0
305.0,310.0,0.0,0.0
310.0,315.0,0.0,0.0
315.0,320.0,0.0,0.0
320.0,325.0,0.0,0.0
325.0,330.0,0.0,0.0
330.0,335.0,0.0,0.0
335.0,340.0,0.0,0.0
340.0,345.0,0.0,0.0
345.0,350.0,0.0,0.0
350.0,355.0,0.0,0.0
355.0,360.0,0.0,0.0
360.0,365.0,0.0,0.0
365.0,370.0,0.0,0.0
370.0,375.0,0.0,0.0
375.0,380.0,0.0,0.0
380.0,385.0,0.0,0.0
385.0,390.0,0.0,0.0
390.0,395.0,0.0,0.0
395.0,400.0,0.0,0.0
