input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_4He_d_3He_10.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,10.0,-18.35305520229575,10691040389310.057,d
p_4He_d_3He_100.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,100.0,-18.35305520229575,106910404345.92699,d
p_4He_d_3He_105.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,105.0,-18.35305520229575,96968588403.88596,d
p_4He_d_3He_110.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,110.0,-18.35305520229575,88352028966.35806,d
p_4He_d_3He_115.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,115.0,-18.35305520229575,80840647335.2957,d
p_4He_d_3He_120.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,120.0,-18.35305520229575,74243070730.81137,d
p_4He_d_3He_125.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,125.0,-18.35305520229575,68420553887.03254,d
p_4He_d_3He_130.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,130.0,-18.35305520229575,63258273135.285164,d
p_4He_d_3He_135.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,135.0,-18.35305520229575,58660542085.56648,d
p_4He_d_3He_140.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,140.0,-18.35305520229575,54546027306.407555,d
p_4He_d_3He_145.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,145.0,-18.35305520229575,50847748324.481926,d
p_4He_d_3He_15.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,15.0,-18.35305520229575,4751499083477.533,d
p_4He_d_3He_150.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,150.0,-18.35305520229575,47514991353.16731,d
p_4He_d_3He_155.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,155.0,-18.35305520229575,44498956333.34236,d
p_4He_d_3He_160.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,160.0,-18.35305520229575,41760890277.017914,d
p_4He_d_3He_165.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,165.0,-18.35305520229575,39268259811.4659,d
p_4He_d_3He_170.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,170.0,-18.35305520229575,36992359019.72975,d
p_4He_d_3He_175.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,175.0,-18.35305520229575,34908787872.24413,d
p_4He_d_3He_180.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,180.0,-18.35305520229575,32996495363.172455,d
p_4He_d_3He_185.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,185.0,-18.35305520229575,31236822646.445965,d
p_4He_d_3He_190.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,190.0,-18.35305520229575,29614459899.601173,d
p_4He_d_3He_195.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,195.0,-18.35305520229575,28115054164.109543,d
p_4He_d_3He_20.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,20.0,-18.35305520229575,2672712254047.9536,d
p_4He_d_3He_200.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,200.0,-18.35305520229575,26727123073.129547,d
p_4He_d_3He_205.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,205.0,-18.35305520229575,25439184259.888676,d
p_4He_d_3He_210.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,210.0,-18.35305520229575,24242147517.258938,d
p_4He_d_3He_215.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,215.0,-18.35305520229575,23127879502.11142,d
p_4He_d_3He_220.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,220.0,-18.35305520229575,22088246871.288605,d
p_4He_d_3He_225.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,225.0,-18.35305520229575,21117508441.34063,d
p_4He_d_3He_230.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,230.0,-18.35305520229575,20209444596.92913,d
p_4He_d_3He_235.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,235.0,-18.35305520229575,19358792586.585934,d
p_4He_d_3He_240.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,240.0,-18.35305520229575,18560289658.882435,d
p_4He_d_3He_245.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,245.0,-18.35305520229575,17810586790.11314,d
p_4He_d_3He_25.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,25.0,-18.35305520229575,1710537756384.5356,d
p_4He_d_3He_250.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,250.0,-18.35305520229575,17105378092.766,d
p_4He_d_3He_255.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,255.0,-18.35305520229575,16440836111.23917,d
p_4He_d_3He_260.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,260.0,-18.35305520229575,15814568685.723688,d
p_4He_d_3He_265.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,265.0,-18.35305520229575,15223705224.54273,d
p_4He_d_3He_270.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,270.0,-18.35305520229575,14664896704.092524,d
p_4He_d_3He_275.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,275.0,-18.35305520229575,14136707828.473984,d
p_4He_d_3He_280.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,280.0,-18.35305520229575,13636268005.986797,d
p_4He_d_3He_285.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,285.0,-18.35305520229575,13162141940.793245,d
p_4He_d_3He_290.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,290.0,-18.35305520229575,12711937473.141233,d
p_4He_d_3He_295.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,295.0,-18.35305520229575,12284697739.11058,d
p_4He_d_3He_30.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,30.0,-18.35305520229575,1187898692605.014,d
p_4He_d_3He_300.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,300.0,-18.35305520229575,11878509010.920254,d
p_4He_d_3He_305.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,305.0,-18.35305520229575,11492414424.646564,d
p_4He_d_3He_310.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,310.0,-18.35305520229575,11124500252.512592,d
p_4He_d_3He_315.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,315.0,-18.35305520229575,10774288062.538805,d
p_4He_d_3He_320.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,320.0,-18.35305520229575,10440342558.890741,d
p_4He_d_3He_325.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,325.0,-18.35305520229575,10121228445.734787,d
p_4He_d_3He_330.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,330.0,-18.35305520229575,9816945723.039167,d
p_4He_d_3He_335.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,335.0,-18.35305520229575,9526059094.992294,d
p_4He_d_3He_340.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,340.0,-18.35305520229575,9248090129.58525,d
p_4He_d_3He_345.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,345.0,-18.35305520229575,8982081962.956556,d
p_4He_d_3He_35.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,35.0,-18.35305520229575,872707723001.3792,d
p_4He_d_3He_350.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,350.0,-18.35305520229575,8727077731.225899,d
p_4He_d_3He_355.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,355.0,-18.35305520229575,8483077434.351307,d
p_4He_d_3He_360.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,360.0,-18.35305520229575,8249124208.433868,d
p_4He_d_3He_365.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,365.0,-18.35305520229575,8024739621.560925,d
p_4He_d_3He_370.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,370.0,-18.35305520229575,7808966809.814878,d
p_4He_d_3He_375.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,375.0,-18.35305520229575,7602284205.096512,d
p_4He_d_3He_380.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,380.0,-18.35305520229575,7403734943.576583,d
p_4He_d_3He_385.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,385.0,-18.35305520229575,7212362161.30342,d
p_4He_d_3He_390.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,390.0,-18.35305520229575,7028644290.280034,d
p_4He_d_3He_395.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,395.0,-18.35305520229575,6852102898.489763,d
p_4He_d_3He_40.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,40.0,-18.35305520229575,668178063767.0795,d
p_4He_d_3He_400.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,400.0,-18.35305520229575,6681781122.092537,d
p_4He_d_3He_45.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,45.0,-18.35305520229575,527949658804.59595,d
p_4He_d_3He_5.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,5.0,-18.35305520229575,42763683127484.81,d
p_4He_d_3He_50.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,50.0,-18.35305520229575,427636831549.2443,d
p_4He_d_3He_55.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,55.0,-18.35305520229575,353417682925.2937,d
p_4He_d_3He_60.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,60.0,-18.35305520229575,296967496978.90765,d
p_4He_d_3He_65.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,65.0,-18.35305520229575,253037875203.5996,d
p_4He_d_3He_70.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,70.0,-18.35305520229575,218179323229.6919,d
p_4He_d_3He_75.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,75.0,-18.35305520229575,190061877453.02713,d
p_4He_d_3He_80.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,80.0,-18.35305520229575,167044516279.99286,d
p_4He_d_3He_85.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,85.0,-18.35305520229575,147969434387.36057,d
p_4He_d_3He_90.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,90.0,-18.35305520229575,131985022900.89409,d
p_4He_d_3He_95.0MeV.out,p_he4_d_he3,two_body,two_body_kinematics,95.0,-18.35305520229575,118459751644.13315,d
