theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,8.9383e+16,1.0
1.0,893410000.0,0.99948
2.0,55746000.0,0.99767
3.0,10982000.0,0.99479
4.0,3463200.0,0.99107
5.0,1412900.0,0.98672
6.0,678440.0,0.9819
7.0,364530.0,0.97676
8.0,212680.0,0.97145
9.0,132150.0,0.96606
10.0,86310.0,0.96073
11.0,58695.0,0.95554
12.0,41276.0,0.9506
13.0,29860.0,0.94598
14.0,22132.0,0.94177
15.0,16753.0,0.93806
16.0,12918.0,0.9349
17.0,10126.0,0.93239
18.0,8054.949704,0.93057
19.0,6493.278843,0.92952
20.0,5298.021958,0.92929
21.0,4370.880069,0.92994
22.0,3642.92004,0.93154
23.0,3064.979009,0.93412
24.0,2601.452655,0.93775
25.0,2226.192843,0.94247
26.0,1919.748583,0.94831
27.0,1667.479294,0.95534
28.0,1458.244697,0.96358
29.0,1283.482211,0.97307
30.0,1136.548711,0.98385
31.0,1012.245195,0.99595
32.0,906.469654,1.0094
33.0,815.960893,1.0242
34.0,738.107626,1.0404
35.0,670.804882,1.0581
36.0,612.345084,1.0772
37.0,561.33474,1.0977
38.0,516.630245,1.1197
39.0,477.288043,1.1432
40.0,442.525688,1.1682
41.0,411.691202,1.1946
42.0,384.238828,1.2226
43.0,359.709734,1.252
44.0,337.716556,1.283
45.0,317.930969,1.3154
46.0,300.073627,1.3493
47.0,283.905995,1.3846
48.0,269.223675,1.4214
49.0,255.850933,1.4597
50.0,243.636197,1.4993
51.0,232.448331,1.5404
52.0,222.173541,1.5828
53.0,212.712801,1.6265
54.0,203.9797,1.6716
55.0,195.898634,1.7179
56.0,188.403283,1.7656
57.0,181.435332,1.8144
58.0,174.943376,1.8644
59.0,168.882002,1.9156
60.0,163.210995,1.9678
61.0,157.894672,2.0212
62.0,152.901299,2.0755
63.0,148.202599,2.1308
64.0,143.773326,2.1871
65.0,139.590895,2.2443
66.0,135.635064,2.3023
67.0,131.887657,2.3611
68.0,128.332328,2.4207
69.0,124.954345,2.481
70.0,121.740412,2.5419
71.0,118.678509,2.6034
72.0,115.757751,2.6655
73.0,112.968264,2.7281
74.0,110.301079,2.7912
75.0,107.748038,2.8547
76.0,105.301703,2.9185
77.0,102.95529,2.9827
78.0,100.702598,3.0471
79.0,98.537953,3.1117
80.0,96.456151,3.1766
81.0,94.452421,3.2415
82.0,92.522374,3.3065
83.0,90.661973,3.3716
84.0,88.867494,3.4367
85.0,87.135505,3.5017
86.0,85.46283,3.5667
87.0,83.846533,3.6315
88.0,82.283892,3.6962
89.0,80.77238,3.7607
90.0,79.309653,3.8249
91.0,77.893526,3.8889
92.0,76.521966,3.9526
93.0,75.193076,4.0159
94.0,73.905085,4.0789
95.0,72.656335,4.1415
96.0,71.445274,4.2036
97.0,70.270446,4.2653
98.0,69.130487,4.3266
99.0,68.02411,4.3873
100.0,66.950107,4.4476
101.0,65.907337,4.5073
102.0,64.894725,4.5664
103.0,63.911254,4.625
104.0,62.955962,4.683
105.0,62.027938,4.7403
106.0,61.126318,4.7971
107.0,60.25028,4.8532
108.0,59.399045,4.9087
109.0,58.571869,4.9635
110.0,57.768045,5.0177
111.0,56.986897,5.0711
112.0,56.22778,5.1239
113.0,55.490077,5.176
114.0,54.773198,5.2274
115.0,54.076577,5.2782
116.0,53.399672,5.3282
117.0,52.741963,5.3774
118.0,52.102948,5.426
119.0,51.482147,5.4739
120.0,50.879097,5.521
121.0,50.293352,5.5674
122.0,49.724482,5.6131
123.0,49.172072,5.6581
124.0,48.635723,5.7023
125.0,48.115046,5.7458
126.0,47.609669,5.7886
127.0,47.119231,5.8307
128.0,46.643382,5.872
129.0,46.181783,5.9126
130.0,45.734107,5.9525
131.0,45.300037,5.9916
132.0,44.879265,6.0301
133.0,44.471493,6.0678
134.0,44.076433,6.1047
135.0,43.693804,6.141
136.0,43.323335,6.1765
137.0,42.964762,6.2113
138.0,42.61783,6.2453
139.0,42.282291,6.2786
140.0,41.957906,6.3112
141.0,41.64444,6.3431
142.0,41.341669,6.3742
143.0,41.049374,6.4046
144.0,40.767342,6.4342
145.0,40.495369,6.4631
146.0,40.233255,6.4912
147.0,39.980808,6.5186
148.0,39.737842,6.5453
149.0,39.504177,6.5711
150.0,39.279639,6.5963
151.0,39.064061,6.6206
152.0,38.857281,6.6442
153.0,38.659143,6.6671
154.0,38.469497,6.6891
155.0,38.288198,6.7104
156.0,38.115109,6.7309
157.0,37.950096,6.7506
158.0,37.793032,6.7695
159.0,37.643796,6.7876
160.0,37.502271,6.8049
161.0,37.368347,6.8214
162.0,37.24192,6.837
163.0,37.122888,6.8519
164.0,37.01116,6.8659
165.0,36.906645,6.8792
166.0,36.809261,6.8915
167.0,36.718931,6.9031
168.0,36.635581,6.9138
169.0,36.559145,6.9237
170.0,36.489561,6.9327
171.0,36.426774,6.9409
172.0,36.370732,6.9482
173.0,36.32139,6.9546
174.0,36.278708,6.9603
175.0,36.242651,6.965
176.0,36.21319,6.9689
177.0,36.190301,6.9719
178.0,36.173965,6.9741
179.0,36.164169,6.9754
179.99,36.160904,6.9758
