E_lab_MeV,sigma_tot_mb
5.0,42763683127484.81
10.0,10691040389310.057
15.0,4751499083477.533
20.0,2672712254047.9536
25.0,1710537756384.5356
30.0,1187898692605.014
35.0,872707723001.3792
40.0,668178063767.0795
45.0,527949658804.59595
50.0,427636831549.2443
55.0,353417682925.2937
60.0,296967496978.90765
65.0,253037875203.5996
70.0,218179323229.6919
75.0,190061877453.02713
80.0,167044516279.99286
85.0,147969434387.36057
90.0,131985022900.89409
95.0,118459751644.13315
100.0,106910404345.92699
105.0,96968588403.88596
110.0,88352028966.35806
115.0,80840647335.2957
120.0,74243070730.81137
125.0,68420553887.03254
130.0,63258273135.285164
135.0,58660542085.56648
140.0,54546027306.407555
145.0,50847748324.481926
150.0,47514991353.16731
155.0,44498956333.34236
160.0,41760890277.017914
165.0,39268259811.4659
170.0,36992359019.72975
175.0,34908787872.24413
180.0,32996495363.172455
185.0,31236822646.445965
190.0,29614459899.601173
195.0,28115054164.109543
200.0,26727123073.129547
205.0,25439184259.888676
210.0,24242147517.258938
215.0,23127879502.11142
220.0,22088246871.288605
225.0,21117508441.34063
230.0,20209444596.92913
235.0,19358792586.585934
240.0,18560289658.882435
245.0,17810586790.11314
250.0,17105378092.766
255.0,16440836111.23917
260.0,15814568685.723688
265.0,15223705224.54273
270.0,14664896704.092524
275.0,14136707828.473984
280.0,13636268005.986797
285.0,13162141940.793245
290.0,12711937473.141233
295.0,12284697739.11058
300.0,11878509010.920254
305.0,11492414424.646564
310.0,11124500252.512592
315.0,10774288062.538805
320.0,10440342558.890741
325.0,10121228445.734787
330.0,9816945723.039167
335.0,9526059094.992294
340.0,9248090129.58525
345.0,8982081962.956556
350.0,8727077731.225899
355.0,8483077434.351307
360.0,8249124208.433868
365.0,8024739621.560925
370.0,7808966809.814878
375.0,7602284205.096512
380.0,7403734943.576583
385.0,7212362161.30342
390.0,7028644290.280034
395.0,6852102898.489763
400.0,6681781122.092537
