input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_4He_p_2d_10.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,10.0,-23.846478507633616,10691040389310.057,d;p
p_4He_p_2d_100.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,100.0,-23.846478507633616,106910404345.92699,d;p
p_4He_p_2d_105.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,105.0,-23.846478507633616,96968588403.88596,d;p
p_4He_p_2d_110.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,110.0,-23.846478507633616,88352028966.35806,d;p
p_4He_p_2d_115.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,115.0,-23.846478507633616,80840647335.2957,d;p
p_4He_p_2d_120.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,120.0,-23.846478507633616,74243070730.81137,d;p
p_4He_p_2d_125.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,125.0,-23.846478507633616,68420553887.03254,d;p
p_4He_p_2d_130.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,130.0,-23.846478507633616,63258273135.285164,d;p
p_4He_p_2d_135.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,135.0,-23.846478507633616,58660542085.56648,d;p
p_4He_p_2d_140.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,140.0,-23.846478507633616,54546027306.407555,d;p
p_4He_p_2d_145.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,145.0,-23.846478507633616,50847748324.481926,d;p
p_4He_p_2d_15.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,15.0,-23.846478507633616,4751499083477.533,d;p
p_4He_p_2d_150.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,150.0,-23.846478507633616,47514991353.16731,d;p
p_4He_p_2d_155.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,155.0,-23.846478507633616,44498956333.34236,d;p
p_4He_p_2d_160.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,160.0,-23.846478507633616,41760890277.017914,d;p
p_4He_p_2d_165.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,165.0,-23.846478507633616,39268259811.4659,d;p
p_4He_p_2d_170.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,170.0,-23.846478507633616,36992359019.72975,d;p
p_4He_p_2d_175.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,175.0,-23.846478507633616,34908787872.24413,d;p
p_4He_p_2d_180.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,180.0,-23.846478507633616,32996495363.172455,d;p
p_4He_p_2d_185.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,185.0,-23.846478507633616,31236822646.445965,d;p
p_4He_p_2d_190.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,190.0,-23.846478507633616,29614459899.601173,d;p
p_4He_p_2d_195.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,195.0,-23.846478507633616,28115054164.109543,d;p
p_4He_p_2d_20.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,20.0,-23.846478507633616,2672712254047.9536,d;p
p_4He_p_2d_200.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,200.0,-23.846478507633616,26727123073.129547,d;p
p_4He_p_2d_205.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,205.0,-23.846478507633616,25439184259.888676,d;p
p_4He_p_2d_210.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,210.0,-23.846478507633616,24242147517.258938,d;p
p_4He_p_2d_215.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,215.0,-23.846478507633616,23127879502.11142,d;p
p_4He_p_2d_220.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,220.0,-23.846478507633616,22088246871.288605,d;p
p_4He_p_2d_225.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,225.0,-23.846478507633616,21117508441.34063,d;p
p_4He_p_2d_230.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,230.0,-23.846478507633616,20209444596.92913,d;p
p_4He_p_2d_235.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,235.0,-23.846478507633616,19358792586.585934,d;p
p_4He_p_2d_240.0MeV.out,p_he4_p_2d,multi_body,multibody_flat,240.0,-23.846478507633616,18560289658.882435,d;p
