input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_4He_pn_3He_10.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,10.0,-20.57762124558692,10691040389310.057,he3;n;p
p_4He_pn_3He_100.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,100.0,-20.57762124558692,106910404345.92699,he3;n;p
p_4He_pn_3He_105.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,105.0,-20.57762124558692,96968588403.88596,he3;n;p
p_4He_pn_3He_110.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,110.0,-20.57762124558692,88352028966.35806,he3;n;p
p_4He_pn_3He_115.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,115.0,-20.57762124558692,80840647335.2957,he3;n;p
p_4He_pn_3He_120.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,120.0,-20.57762124558692,74243070730.81137,he3;n;p
p_4He_pn_3He_125.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,125.0,-20.57762124558692,68420553887.03254,he3;n;p
p_4He_pn_3He_130.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,130.0,-20.57762124558692,63258273135.285164,he3;n;p
p_4He_pn_3He_135.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,135.0,-20.57762124558692,58660542085.56648,he3;n;p
p_4He_pn_3He_140.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,140.0,-20.57762124558692,54546027306.407555,he3;n;p
p_4He_pn_3He_145.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,145.0,-20.57762124558692,50847748324.481926,he3;n;p
p_4He_pn_3He_15.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,15.0,-20.57762124558692,4751499083477.533,he3;n;p
p_4He_pn_3He_150.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,150.0,-20.57762124558692,47514991353.16731,he3;n;p
p_4He_pn_3He_155.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,155.0,-20.57762124558692,44498956333.34236,he3;n;p
p_4He_pn_3He_160.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,160.0,-20.57762124558692,41760890277.017914,he3;n;p
p_4He_pn_3He_165.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,165.0,-20.57762124558692,39268259811.4659,he3;n;p
p_4He_pn_3He_170.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,170.0,-20.57762124558692,36992359019.72975,he3;n;p
p_4He_pn_3He_175.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,175.0,-20.57762124558692,34908787872.24413,he3;n;p
p_4He_pn_3He_180.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,180.0,-20.57762124558692,32996495363.172455,he3;n;p
p_4He_pn_3He_185.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,185.0,-20.57762124558692,31236822646.445965,he3;n;p
p_4He_pn_3He_190.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,190.0,-20.57762124558692,29614459899.601173,he3;n;p
p_4He_pn_3He_195.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,195.0,-20.57762124558692,28115054164.109543,he3;n;p
p_4He_pn_3He_20.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,20.0,-20.57762124558692,2672712254047.9536,he3;n;p
p_4He_pn_3He_200.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,200.0,-20.57762124558692,26727123073.129547,he3;n;p
p_4He_pn_3He_205.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,205.0,-20.57762124558692,25439184259.888676,he3;n;p
p_4He_pn_3He_210.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,210.0,-20.57762124558692,24242147517.258938,he3;n;p
p_4He_pn_3He_215.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,215.0,-20.57762124558692,23127879502.11142,he3;n;p
p_4He_pn_3He_220.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,220.0,-20.57762124558692,22088246871.288605,he3;n;p
p_4He_pn_3He_225.0MeV.out,p_he4_pn_he3,multi_body,multibody_flat,225.0,-20.57762124558692,21117508441.34063,he3;n;p
