bin_low_MeV,bin_high_MeV,sigma_bin_mb,eta
0.0,5.0,0.0,0.0
5.0,10.0,0.0,0.0
10.0,15.0,0.0,0.0
15.0,20.0,0.0,0.0
20.0,25.0,0.0,0.0
25.0,30.0,0.0,0.0
30.0,35.0,0.0,0.0
35.0,40.0,0.0,0.0
40.0,45.0,0.0011868810815316632,2.2281058107447146e-14
45.0,50.0,0.061614519227491754,1.1566758494444324e-12
50.0,55.0,0.04060151991874772,7.622034242831234e-13
55.0,60.0,0.04283588055466447,8.041485862176347e-13
60.0,65.0,0.03083673454466599,5.788912511327245e-13
65.0,70.0,0.034553665997508684,6.486683896943324e-13
70.0,75.0,0.02964520820086578,5.565229885360152e-13
75.0,80.0,0.04667285584384181,8.761792813776523e-13
80.0,85.0,0.04237899962700774,7.95571660815667e-13
85.0,90.0,0.05112572534888231,9.597720235070077e-13
90.0,95.0,0.04040802646134957,7.585710140654667e-13
95.0,100.0,0.07292016210489716,1.3689142023958823e-12
100.0,105.0,0.09182971189055605,1.7238990312181713e-12
105.0,110.0,0.07435135820312096,1.3957817327018875e-12
110.0,115.0,0.1355083839850073,2.5438691580793057e-12
115.0,120.0,0.10885450728771075,2.04350177947487e-12
120.0,125.0,0.12557872419503688,2.357461833697659e-12
125.0,130.0,0.2227670387480348,4.181956736864947e-12
130.0,135.0,0.17295141467119984,3.2467789570638525e-12
135.0,140.0,0.19316591847773543,3.626261401375284e-12
140.0,145.0,0.3275657788229739,6.149320488407459e-12
145.0,150.0,0.2427236212093613,4.556597280358195e-12
150.0,155.0,0.2609731804036386,4.899192250629562e-12
155.0,160.0,0.27793800227352883,5.217669129018857e-12
160.0,165.0,0.29375724208207343,5.514640246744454e-12
165.0,170.0,0.3090324518675607,5.801398408223168e-12
170.0,175.0,0.494141604480246,9.276411911902065e-12
175.0,180.0,0.35456425989072726,6.656157049242283e-12
180.0,185.0,0.38242131584212147,7.1791114479714556e-12
185.0,190.0,0.4213579125749269,7.91005963461734e-12
190.0,195.0,0.47615629550318106,8.93877765297426e-12
195.0,200.0,0.5521435630714372,1.036526995322185e-11
200.0,205.0,1.0306209649940978,1.9347621227690905e-11
205.0,210.0,0.8703887077432882,1.633961622192785e-11
210.0,215.0,1.0610052886466221,1.9918019468417528e-11
215.0,220.0,1.2916374041189318,2.4247625564801248e-11
220.0,225.0,1.5615286719722432,2.931423511423637e-11
225.0,230.0,2.923279406698615,5.4878082849632013e-11
230.0,235.0,2.3718366061450293,4.452596815739016e-11
235.0,240.0,4.210914950821414,7.905058237485007e-11
240.0,245.0,3.220910795242599,6.046545159780577e-11
245.0,250.0,3.5070264603536807,6.583663819685751e-11
250.0,255.0,5.65611364212876,1.061809802882374e-10
255.0,260.0,5.8780158139814835,1.1034670106865356e-10
260.0,265.0,5.797192997595634,1.0882943207151299e-10
265.0,270.0,3.706328541577273,6.957809243500861e-11
270.0,275.0,5.30807112056824,9.964725440160947e-11
275.0,280.0,7.2461772058162115,1.3603089466326018e-10
280.0,285.0,6.896572104593252,1.294678348115046e-10
285.0,290.0,14.731389837820508,2.7654914893104114e-10
290.0,295.0,26.875586233557705,5.045294830791612e-10
295.0,300.0,60.8047299689557,1.1414738533851944e-09
300.0,305.0,120.57243765339425,2.2634799149759272e-09
305.0,310.0,224.1713031498885,4.208318684344592e-09
310.0,315.0,53268613380.82041,0.9999999903187714
315.0,320.0,0.0,0.0
320.0,325.0,0.0,0.0
325.0,330.0,0.0,0.0
330.0,335.0,0.0,0.0
335.0,340.0,0.0,0.0
340.0,345.0,0.0,0.0
345.0,350.0,0.0,0.0
350.0,355.0,0.0,0.0
355.0,360.0,0.0,0.0
360.0,365.0,0.0,0.0
365.0,370.0,0.0,0.0
370.0,375.0,0.0,0.0
375.0,380.0,0.0,0.0
380.0,385.0,0.0,0.0
385.0,390.0,0.0,0.0
390.0,395.0,0.0,0.0
395.0,400.0,0.0,0.0
