E_lab_MeV,sigma_tot_mb
5.0,246320690281044.9
10.0,61578976488152.36
15.0,27368699788929.93
20.0,15394983336498.186
25.0,9852827609478.781
30.0,6842055338361.801
35.0,5026884514225.286
40.0,3848745833625.2153
45.0,3040961326725.2437
50.0,2463206902121.2974
55.0,2035680110297.9841
60.0,1710537756049.348
65.0,1457495096928.3704
70.0,1256745050103.8308
75.0,1094747991351.2726
80.0,962174497613.5929
85.0,852326521570.3408
90.0,760228370918.398
95.0,682339649233.7319
100.0,615789764803.1567
105.0,558521460232.5135
110.0,508908066884.21014
115.0,465629112572.20465
120.0,427636831324.60144
125.0,394108320183.8953
130.0,364373774417.28284
135.0,337882997279.19946
140.0,314181478418.6108
145.0,292886472267.6343
150.0,273686998068.0973
155.0,256315133922.29984
160.0,240546016813.0389
165.0,226188273959.99197
170.0,213079238499.48093
175.0,201075380846.39526
180.0,190061877332.07993
185.0,179923904288.9319
190.0,170580128284.3869
195.0,161944431563.9806
200.0,153949833661.679
205.0,146529354101.0118
210.0,139635149686.5429
215.0,133214592903.9392
220.0,127229409196.61066
225.0,121636539689.54613
230.0,116407278465.08807
235.0,111508135287.00365
240.0,106910404238.23532
245.0,102590163721.17424
250.0,98528276457.61603
255.0,94700820850.31477
260.0,91093443939.54547
265.0,87687008448.89532
270.0,84471945737.1376
275.0,81429118529.12201
280.0,78544173865.19824
285.0,75812327425.41673
290.0,73219226251.46616
295.0,70760086023.79604
300.0,68420553783.71498
305.0,66195845212.08622
310.0,64076391669.50052
315.0,62062193155.92128
320.0,60134112393.96589
325.0,58301718021.78433
330.0,56545872761.99701
335.0,54871360933.66982
340.0,53268613896.52603
345.0,51737631653.276375
350.0,50268845563.86848
355.0,48862255628.12561
360.0,47514991254.14306
365.0,46221789690.66697
370.0,44981215641.739105
375.0,43789441651.81779
380.0,42645032424.98173
385.0,41544160505.72826
390.0,40485869030.050064
395.0,39467287406.32143
400.0,38486980338.61083
