input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_7Li_4He_4He_10.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,10.0,17.34545262438446,61578976488152.36,he4
p_7Li_4He_4He_100.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,100.0,17.34545262438446,615789764803.1567,he4
p_7Li_4He_4He_105.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,105.0,17.34545262438446,558521460232.5135,he4
p_7Li_4He_4He_110.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,110.0,17.34545262438446,508908066884.21014,he4
p_7Li_4He_4He_115.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,115.0,17.34545262438446,465629112572.20465,he4
p_7Li_4He_4He_120.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,120.0,17.34545262438446,427636831324.60144,he4
p_7Li_4He_4He_125.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,125.0,17.34545262438446,394108320183.8953,he4
p_7Li_4He_4He_130.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,130.0,17.34545262438446,364373774417.28284,he4
p_7Li_4He_4He_135.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,135.0,17.34545262438446,337882997279.19946,he4
p_7Li_4He_4He_140.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,140.0,17.34545262438446,314181478418.6108,he4
p_7Li_4He_4He_145.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,145.0,17.34545262438446,292886472267.6343,he4
p_7Li_4He_4He_15.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,15.0,17.34545262438446,27368699788929.93,he4
p_7Li_4He_4He_150.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,150.0,17.34545262438446,273686998068.0973,he4
p_7Li_4He_4He_155.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,155.0,17.34545262438446,256315133922.29984,he4
p_7Li_4He_4He_160.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,160.0,17.34545262438446,240546016813.0389,he4
p_7Li_4He_4He_165.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,165.0,17.34545262438446,226188273959.99197,he4
p_7Li_4He_4He_170.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,170.0,17.34545262438446,213079238499.48093,he4
p_7Li_4He_4He_175.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,175.0,17.34545262438446,201075380846.39526,he4
p_7Li_4He_4He_180.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,180.0,17.34545262438446,190061877332.07993,he4
p_7Li_4He_4He_185.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,185.0,17.34545262438446,179923904288.9319,he4
p_7Li_4He_4He_190.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,190.0,17.34545262438446,170580128284.3869,he4
p_7Li_4He_4He_195.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,195.0,17.34545262438446,161944431563.9806,he4
p_7Li_4He_4He_20.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,20.0,17.34545262438446,15394983336498.186,he4
p_7Li_4He_4He_200.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,200.0,17.34545262438446,153949833661.679,he4
p_7Li_4He_4He_205.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,205.0,17.34545262438446,146529354101.0118,he4
p_7Li_4He_4He_210.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,210.0,17.34545262438446,139635149686.5429,he4
p_7Li_4He_4He_215.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,215.0,17.34545262438446,133214592903.9392,he4
p_7Li_4He_4He_220.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,220.0,17.34545262438446,127229409196.61066,he4
