theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,105070000000000.0,0.99999
1.0,1003100.0,0.95468
2.0,56813.0,0.86496
3.0,10473.0,0.80701
4.0,3632.564228,0.88434
5.0,2061.233728,1.2245
6.0,1600.472397,1.9705
7.0,1434.269203,3.2693
8.0,1353.795093,5.2604
9.0,1296.617933,8.0633
10.0,1242.651003,11.767
11.0,1185.632207,16.42
12.0,1124.168094,22.024
13.0,1058.632232,28.531
14.0,990.012599,35.838
15.0,919.46183,43.798
16.0,848.116509,52.216
17.0,777.024107,60.866
18.0,707.114452,69.494
19.0,639.190222,77.839
20.0,573.925911,85.638
21.0,511.870892,92.645
22.0,453.454773,98.641
23.0,398.99426,103.45
24.0,348.70117,106.93
25.0,302.691369,109.01
26.0,260.994447,109.68
27.0,223.563904,108.96
28.0,190.287659,106.96
29.0,160.998637,103.84
30.0,135.48522,99.771
31.0,113.50134,95.001
32.0,94.776048,89.78
33.0,79.022374,84.381
34.0,65.945363,79.078
35.0,55.249194,74.135
36.0,46.643324,69.799
37.0,39.847629,66.288
38.0,34.596554,63.787
39.0,30.642312,62.436
40.0,27.757172,62.332
41.0,25.734934,63.526
42.0,24.39166,66.022
43.0,23.56577,69.777
44.0,23.117589,74.709
45.0,22.928468,80.698
46.0,22.899548,87.593
47.0,22.950276,95.217
48.0,23.016753,103.38
49.0,23.049978,111.87
50.0,23.014061,120.48
51.0,22.884457,129.01
52.0,22.646251,137.24
53.0,22.292544,145.01
54.0,21.822955,152.14
55.0,21.242253,158.47
56.0,20.559129,163.9
57.0,19.785122,168.31
58.0,18.933677,171.65
59.0,18.019351,173.87
60.0,17.057146,174.95
61.0,16.061963,174.91
62.0,15.048165,173.77
63.0,14.029244,171.59
64.0,13.017573,168.46
65.0,12.024229,164.46
66.0,11.05889,159.69
67.0,10.129783,154.27
68.0,9.243676,148.33
69.0,8.405912,141.98
70.0,7.62047,135.36
71.0,6.890051,128.58
72.0,6.216178,121.77
73.0,5.599313,115.03
74.0,5.038981,108.47
75.0,4.533891,102.19
76.0,4.082063,96.245
77.0,3.680956,90.717
78.0,3.327582,85.654
79.0,3.018621,81.092
80.0,2.750523,77.057
81.0,2.519604,73.56
82.0,2.322133,70.597
83.0,2.154399,68.158
84.0,2.012785,66.217
85.0,1.893813,64.744
86.0,1.794191,63.699
87.0,1.710847,63.036
88.0,1.640951,62.706
89.0,1.581935,62.656
90.0,1.531496,62.833
91.0,1.487605,63.181
92.0,1.448499,63.648
93.0,1.412675,64.183
94.0,1.378874,64.739
95.0,1.346071,65.271
96.0,1.313452,65.741
97.0,1.280398,66.115
98.0,1.246462,66.363
99.0,1.211351,66.463
100.0,1.174902,66.397
101.0,1.137062,66.151
102.0,1.097873,65.719
103.0,1.057446,65.098
104.0,1.015954,64.288
105.0,0.973608,63.297
106.0,0.930649,62.131
107.0,0.887334,60.804
108.0,0.843929,59.329
109.0,0.800695,57.722
110.0,0.75789,56.001
111.0,0.715754,54.184
112.0,0.674512,52.29
113.0,0.63437,50.338
114.0,0.595508,48.349
115.0,0.558086,46.339
116.0,0.522238,44.328
117.0,0.488073,42.333
118.0,0.455677,40.369
119.0,0.425113,38.452
120.0,0.396418,36.594
121.0,0.369611,34.807
122.0,0.34469,33.101
123.0,0.321632,31.483
124.0,0.300399,29.962
125.0,0.280936,28.54
126.0,0.263177,27.221
127.0,0.247042,26.006
128.0,0.232443,24.894
129.0,0.219285,23.883
130.0,0.207466,22.971
131.0,0.196884,22.153
132.0,0.187434,21.424
133.0,0.179015,20.778
134.0,0.171526,20.21
135.0,0.164872,19.712
136.0,0.158966,19.28
137.0,0.153725,18.905
138.0,0.149079,18.585
139.0,0.144963,18.312
140.0,0.141326,18.084
141.0,0.138125,17.897
142.0,0.135327,17.75
143.0,0.132911,17.641
144.0,0.130865,17.57
145.0,0.129185,17.54
146.0,0.127875,17.551
147.0,0.126948,17.608
148.0,0.126419,17.714
149.0,0.126309,17.873
150.0,0.126641,18.092
151.0,0.127438,18.374
152.0,0.128722,18.724
153.0,0.130513,19.147
154.0,0.132826,19.648
155.0,0.135672,20.228
156.0,0.139052,20.889
157.0,0.142962,21.633
158.0,0.14739,22.459
159.0,0.152313,23.363
160.0,0.1577,24.343
161.0,0.163512,25.392
162.0,0.1697,26.503
163.0,0.176208,27.667
164.0,0.18297,28.875
165.0,0.189916,30.114
166.0,0.196969,31.371
167.0,0.204049,32.633
168.0,0.211069,33.885
169.0,0.217945,35.112
170.0,0.224588,36.299
171.0,0.230913,37.43
172.0,0.236835,38.489
173.0,0.242274,39.463
174.0,0.247155,40.338
175.0,0.25141,41.102
176.0,0.254979,41.742
177.0,0.257809,42.251
178.0,0.259861,42.619
179.0,0.261105,42.843
179.99,0.261521,42.918
