E_lab_MeV,sigma_tot_mb
5.0,3848745835044.213
10.0,962174498306.874
15.0,427636831749.8652
20.0,240546017124.50662
25.0,153949833937.76605
30.0,106910404494.54272
35.0,78544174106.36728
40.0,60134112620.27261
45.0,47514991469.899124
50.0,38486980547.17587
55.0,31807592074.30177
60.0,26727123183.528664
65.0,22773361538.25904
70.0,19636283233.938114
75.0,17105378211.46771
80.0,15034246293.533262
85.0,13317154018.847795
90.0,11878509138.8645
95.0,10661378251.78466
100.0,9621745618.262129
105.0,8727077865.615305
110.0,7952018100.445073
115.0,7275515317.040251
120.0,6681781261.043474
125.0,6157898269.732988
130.0,5693340840.350456
135.0,5279497197.761578
140.0,4909190862.69954
145.0,4576297906.206459
150.0,4276321067.9376903
155.0,4004858773.9611483
160.0,3758466314.23593
165.0,3534129567.248741
170.0,3329312844.0972095
175.0,3141767514.4142323
180.0,2969627693.591384
185.0,2811266712.997243
190.0,2665249276.7842703
195.0,2530331461.882856
200.0,2405412874.8082986
205.0,2289488808.4122624
210.0,2181745928.482443
215.0,2081466587.0441163
220.0,1987933136.1702368
225.0,1900571457.524026
230.0,1818807432.7612364
235.0,1742258316.3226156
240.0,1670397833.0628245
245.0,1602938923.8105206
250.0,1539450999.8082535
255.0,1479647001.8887458
260.0,1423287713.9774108
265.0,1370086077.0404022
270.0,1319802875.1080043
275.0,1272246735.3520722
280.0,1227226284.9896088
285.0,1184550151.241521
290.0,1144026961.3287854
295.0,1105608872.0510268
300.0,1069056667.4345769
305.0,1034274661.0901511
310.0,1001167166.6227762
315.0,969638497.6071913
320.0,939592967.7214936
325.0,910887047.3487642
330.0,883520736.4856932
335.0,857350505.5466038
340.0,832280668.1406347
345.0,808359067.4612875
350.0,785394330.7301449
355.0,763434301.1369554
360.0,742383292.2948341
365.0,722193461.0040517
370.0,702816964.0725648
375.0,684205958.302314
380.0,666312600.4341866
385.0,649089047.3997928
390.0,632583142.2939063
395.0,616651355.6011264
400.0,601341530.4799997
