input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_d_pn_p_10.0MeV.out,p_d_pn_p,multi_body,multibody_flat,10.0,-2.224566043291999,962174498306.874,n;p
p_d_pn_p_100.0MeV.out,p_d_pn_p,multi_body,multibody_flat,100.0,-2.224566043291999,9621745618.262129,n;p
p_d_pn_p_105.0MeV.out,p_d_pn_p,multi_body,multibody_flat,105.0,-2.224566043291999,8727077865.615305,n;p
p_d_pn_p_110.0MeV.out,p_d_pn_p,multi_body,multibody_flat,110.0,-2.224566043291999,7952018100.445073,n;p
p_d_pn_p_115.0MeV.out,p_d_pn_p,multi_body,multibody_flat,115.0,-2.224566043291999,7275515317.040251,n;p
p_d_pn_p_120.0MeV.out,p_d_pn_p,multi_body,multibody_flat,120.0,-2.224566043291999,6681781261.043474,n;p
p_d_pn_p_125.0MeV.out,p_d_pn_p,multi_body,multibody_flat,125.0,-2.224566043291999,6157898269.732988,n;p
p_d_pn_p_130.0MeV.out,p_d_pn_p,multi_body,multibody_flat,130.0,-2.224566043291999,5693340840.350456,n;p
p_d_pn_p_135.0MeV.out,p_d_pn_p,multi_body,multibody_flat,135.0,-2.224566043291999,5279497197.761578,n;p
p_d_pn_p_140.0MeV.out,p_d_pn_p,multi_body,multibody_flat,140.0,-2.224566043291999,4909190862.69954,n;p
p_d_pn_p_145.0MeV.out,p_d_pn_p,multi_body,multibody_flat,145.0,-2.224566043291999,4576297906.206459,n;p
p_d_pn_p_15.0MeV.out,p_d_pn_p,multi_body,multibody_flat,15.0,-2.224566043291999,427636831749.8652,n;p
p_d_pn_p_150.0MeV.out,p_d_pn_p,multi_body,multibody_flat,150.0,-2.224566043291999,4276321067.9376903,n;p
p_d_pn_p_155.0MeV.out,p_d_pn_p,multi_body,multibody_flat,155.0,-2.224566043291999,4004858773.9611483,n;p
p_d_pn_p_160.0MeV.out,p_d_pn_p,multi_body,multibody_flat,160.0,-2.224566043291999,3758466314.23593,n;p
p_d_pn_p_165.0MeV.out,p_d_pn_p,multi_body,multibody_flat,165.0,-2.224566043291999,3534129567.248741,n;p
p_d_pn_p_170.0MeV.out,p_d_pn_p,multi_body,multibody_flat,170.0,-2.224566043291999,3329312844.0972095,n;p
p_d_pn_p_175.0MeV.out,p_d_pn_p,multi_body,multibody_flat,175.0,-2.224566043291999,3141767514.4142323,n;p
p_d_pn_p_180.0MeV.out,p_d_pn_p,multi_body,multibody_flat,180.0,-2.224566043291999,2969627693.591384,n;p
