theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,8044500000000000.0,1.0
1.0,80364000.0,0.99895
2.0,5013900.0,0.99704
3.0,988710.0,0.99508
4.0,312470.0,0.99356
5.0,127960.0,0.99289
6.0,61777.0,0.99344
7.0,33439.0,0.99555
8.0,19696.0,0.99958
9.0,12384.0,1.0059
10.0,8205.751595,1.0149
11.0,5677.043288,1.0269
12.0,4073.415878,1.0423
13.0,3015.928334,1.0616
14.0,2295.075315,1.0851
15.0,1789.46734,1.1133
16.0,1425.900509,1.1466
17.0,1158.678196,1.1855
18.0,958.402126,1.2302
19.0,805.650641,1.2814
20.0,687.28709,1.3395
21.0,594.23676,1.4048
22.0,520.110928,1.4778
23.0,460.334032,1.5589
24.0,411.577574,1.6485
25.0,371.385488,1.747
26.0,337.921624,1.8547
27.0,309.79667,1.9721
28.0,285.94766,2.0994
29.0,265.552903,2.237
30.0,247.971109,2.3851
31.0,232.697308,2.5439
32.0,219.330552,2.7137
33.0,207.550002,2.8947
34.0,197.097047,3.087
35.0,187.761804,3.2907
36.0,179.372845,3.5059
37.0,171.7893,3.7326
38.0,164.894752,3.9709
39.0,158.592477,4.2206
40.0,152.801707,4.4818
41.0,147.454679,4.7542
42.0,142.494283,5.0376
43.0,137.872184,5.332
44.0,133.547314,5.637
45.0,129.484645,5.9524
46.0,125.654199,6.2777
47.0,122.03023,6.6127
48.0,118.590562,6.9569
49.0,115.316034,7.3099
50.0,112.190049,7.6712
51.0,109.198189,8.0402
52.0,106.327901,8.4164
53.0,103.568231,8.7993
54.0,100.9096,9.1883
55.0,98.343614,9.5826
56.0,95.862905,9.9816
57.0,93.460994,10.385
58.0,91.132173,10.791
59.0,88.871409,11.2
60.0,86.674254,11.611
61.0,84.536775,12.024
62.0,82.455489,12.436
63.0,80.427306,12.849
64.0,78.449484,13.26
65.0,76.519588,13.669
66.0,74.635448,14.076
67.0,72.795135,14.48
68.0,70.996926,14.88
69.0,69.239286,15.275
70.0,67.52084,15.665
71.0,65.840361,16.048
72.0,64.196745,16.425
73.0,62.589004,16.794
74.0,61.016249,17.156
75.0,59.477679,17.509
76.0,57.972569,17.853
77.0,56.500263,18.187
78.0,55.060167,18.511
79.0,53.651736,18.825
80.0,52.274473,19.128
81.0,50.927923,19.42
82.0,49.611662,19.7
83.0,48.325299,19.969
84.0,47.068469,20.225
85.0,45.840829,20.469
86.0,44.642053,20.701
87.0,43.471834,20.92
88.0,42.329875,21.127
89.0,41.215892,21.322
90.0,40.129609,21.504
91.0,39.070755,21.674
92.0,38.039066,21.831
93.0,37.03428,21.977
94.0,36.056137,22.111
95.0,35.104377,22.233
96.0,34.17874,22.344
97.0,33.278965,22.444
98.0,32.404788,22.534
99.0,31.555942,22.614
100.0,30.732155,22.684
101.0,29.933152,22.745
102.0,29.158654,22.798
103.0,28.408374,22.842
104.0,27.682021,22.879
105.0,26.979297,22.909
106.0,26.299899,22.933
107.0,25.643517,22.951
108.0,25.009835,22.964
109.0,24.398528,22.973
110.0,23.809266,22.978
111.0,23.241713,22.98
112.0,22.695524,22.98
113.0,22.17035,22.978
114.0,21.665832,22.975
115.0,21.181607,22.971
116.0,20.717306,22.968
117.0,20.27255,22.966
118.0,19.846959,22.965
119.0,19.440142,22.966
120.0,19.051707,22.97
121.0,18.681253,22.978
122.0,18.328375,22.989
123.0,17.992665,23.004
124.0,17.673707,23.024
125.0,17.371083,23.049
126.0,17.084371,23.08
127.0,16.813144,23.117
128.0,16.556973,23.16
129.0,16.315426,23.209
130.0,16.088068,23.266
131.0,15.874461,23.329
132.0,15.674168,23.4
133.0,15.486747,23.478
134.0,15.311759,23.564
135.0,15.148762,23.657
136.0,14.997314,23.757
137.0,14.856975,23.865
138.0,14.727305,23.98
139.0,14.607864,24.102
140.0,14.498216,24.231
141.0,14.397926,24.367
142.0,14.306562,24.509
143.0,14.223696,24.658
144.0,14.148901,24.812
145.0,14.081758,24.972
146.0,14.021849,25.136
147.0,13.968765,25.306
148.0,13.922098,25.479
149.0,13.881449,25.656
150.0,13.846425,25.836
151.0,13.816641,26.019
152.0,13.791717,26.203
153.0,13.771283,26.388
154.0,13.754977,26.575
155.0,13.742444,26.761
156.0,13.733341,26.947
157.0,13.727333,27.131
158.0,13.724095,27.314
159.0,13.723314,27.494
160.0,13.724687,27.671
161.0,13.727921,27.844
162.0,13.732737,28.012
163.0,13.738866,28.176
164.0,13.746054,28.334
165.0,13.754056,28.485
166.0,13.762644,28.63
167.0,13.7716,28.767
168.0,13.780722,28.896
169.0,13.789821,29.017
170.0,13.798722,29.129
171.0,13.807265,29.232
172.0,13.815304,29.325
173.0,13.822707,29.408
174.0,13.829359,29.48
175.0,13.83516,29.542
176.0,13.840023,29.593
177.0,13.843878,29.633
178.0,13.846671,29.662
179.0,13.848362,29.679
179.99,13.848928,29.684
